blinded_video_id,source_blinded_video_id,manual_audit_id,ai_label,reviewer_confidence,model_family,suite,canonical_parent_key,branch_id,arm,role,dose,duration,auto_physical_class,auto_v_phys_label,auto_valid_primary,auto_abstain_primary,telemetry_rows,telemetry_valid_rows,contact_true,contact_false,support_true,support_false,distance_max_m,distance_mean_m,blinded_note
W-21833cf64a1c3798,V-4fbc8fd39863631c,MA-R1-21833cf64a1c3798,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_object,libero_object/task_09/state_23,Z3-3125817c8073208e2647,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,NO_PHYSICAL_FAILURE,NO_PHYSICAL_VULNERABILITY,True,False,13,13,13,0,0,13,0.035055645052373144,0.03289546605606679,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-2399b1a156e015bf,V-f3cc01ab2bfbacfd,MA-R1-2399b1a156e015bf,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_10,libero_10/task_01/state_35,Z3-96538e59eed87f2ce261,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.24647631742617473,0.21117548330119196,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-244136799105b2bf,V-6541681001f7a693,MA-R1-244136799105b2bf,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_spatial,libero_spatial/task_04/state_31,Z3-88086d81a71debfd4226,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.20357462566338405,0.17298273369157227,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-257bdeedad6ff42a,V-410e82563f1de4ec,MA-R1-257bdeedad6ff42a,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_10,libero_10/task_01/state_35,Z3-6199ab09bd18ba1e0d9d,COMMAND_OPEN_T10_CRITICAL,CRITICAL_OPEN_PRIMARY,10,10,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,20,20,0,20,16,4,0.17700526401020986,0.15211628294919055,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-2935871a3efce738,V-b8ac53b4ade1e074,MA-R1-2935871a3efce738,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_object,libero_object/task_02/state_26,Z3-e2700a718b1a574c98de,CLEAN_BRANCH_CRITICAL,CLEAN_REFERENCE,0,0,GRIPPER_CONTACT_LOSS,,False,False,20,20,0,20,18,2,0.26512799404629045,0.185516864497807,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-2a1d35a4bd92a6c8,V-51d436df09859b80,MA-R1-2a1d35a4bd92a6c8,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_10,libero_10/task_02/state_30,Z3-4d6c6b473f49f87d8efb,CLEAN_BRANCH_CRITICAL,CLEAN_REFERENCE,0,0,GRIPPER_CONTACT_LOSS,,False,False,20,20,0,20,18,2,0.16893475709205713,0.1500147835997306,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-317f0342a16fd327,V-4e01531a34d418d6,MA-R1-317f0342a16fd327,STABLE_GRASP,HIGH,M2_PI05_LIBERO,libero_10,libero_10/task_01/state_35,Z3-54ebb78f1b977271d704,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,13,13,0,13,8,5,0.27429933154986763,0.200133276058754,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-3692f941cc8581ba,V-f398fe6d49ef85db,MA-R1-3692f941cc8581ba,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_spatial,libero_spatial/task_07/state_28,Z3-cf0ece53087589870a02,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,13,13,0,13,13,0,0.094797528821038,0.09340382173926859,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-3d1276515f5afec1,V-429dd92ed93fd3c5,MA-R1-3d1276515f5afec1,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_object,libero_object/task_03/state_29,Z3-900c306be812c567de30,COMMAND_OPEN_T10_CRITICAL,CRITICAL_OPEN_PRIMARY,10,10,PREMATURE_OBJECT_RELEASE,CONTROL_CONTAMINATION_ABSTAIN,False,True,20,20,0,20,20,0,0.15405984929567307,0.0669935070043468,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-3d3a53ad2bd74f86,V-15c955a5899177da,MA-R1-3d3a53ad2bd74f86,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_spatial,libero_spatial/task_07/state_28,Z3-e5d7bfc25b1ee4ee08d9,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.21599300835229868,0.13958203156524643,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-40950ac1f5130ac4,V-0f6bc5fc1a0fd47c,MA-R1-40950ac1f5130ac4,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_object,libero_object/task_09/state_23,Z3-f5c2a64fe987efcb50f2,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,NO_PHYSICAL_FAILURE,NO_PHYSICAL_VULNERABILITY,True,False,15,15,15,0,0,15,0.035150874961978516,0.03308194529282017,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-413779c40f5f393a,V-54bac13befc71ee0,MA-R1-413779c40f5f393a,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_spatial,libero_spatial/task_01/state_38,Z3-92060c1348db3a31d953,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.38346826652571214,0.3311788599638537,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-435b9f1bbb266f6d,V-340ca756f43d32f7,MA-R1-435b9f1bbb266f6d,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_10,libero_10/task_03/state_45,Z3-2afb19098d17063edf7b,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.3637860553001335,0.34849162622868607,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-43c51453ff5ec2c6,V-21871aea4bb3206e,MA-R1-43c51453ff5ec2c6,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_spatial,libero_spatial/task_04/state_31,Z3-d76525d63c32b64a2d3b,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,13,13,0,13,13,0,0.07873256511743455,0.0782474699060423,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-460797a912224304,V-6c2974568eefcd53,MA-R1-460797a912224304,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_object,libero_object/task_02/state_26,Z3-3ea3657e3489ac6ea0b8,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,15,15,0,15,13,2,0.22884825561055816,0.16362209441585632,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-470c4a1b0f7f9cfd,V-8d6eb6170c067865,MA-R1-470c4a1b0f7f9cfd,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_goal,libero_goal/task_08/state_20,Z3-4fde7787169f4508996c,COMMAND_OPEN_T10_CRITICAL,CRITICAL_OPEN_PRIMARY,10,10,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,20,20,0,20,20,0,0.121500768170573,0.12094421733834532,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-4a3206df2c12c559,V-c3aa6196d59d14c4,MA-R1-4a3206df2c12c559,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_goal,libero_goal/task_05/state_26,Z3-0c37dfc52c90492461c1,COMMAND_OPEN_T10_CRITICAL,CRITICAL_OPEN_PRIMARY,10,10,NO_PHYSICAL_FAILURE,NO_PHYSICAL_VULNERABILITY,True,False,20,20,20,0,20,0,0.03778926310853585,0.030035702271754776,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-4c0033b5db953dc0,V-d689234cddd2aef7,MA-R1-4c0033b5db953dc0,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_goal,libero_goal/task_05/state_26,Z3-6662448d005e28f47c8a,COMMAND_OPEN_T10_CRITICAL,CRITICAL_OPEN_PRIMARY,10,10,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,20,20,8,12,18,2,0.09127307209369716,0.08133583383514777,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-4dd83f3891a538aa,V-d0f3ff2c37bedf8f,MA-R1-4dd83f3891a538aa,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_goal,libero_goal/task_08/state_20,Z3-0e08807dd3825346b943,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,15,15,0,15,15,0,0.07409075410344168,0.07085346337030617,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-52530073d9ef92e6,V-2c5eae0fb4f665f7,MA-R1-52530073d9ef92e6,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_spatial,libero_spatial/task_00/state_37,Z3-0f51fa3206e86d524ba0,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.2763234904410122,0.2358105537080477,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-528590f0b70cd22b,V-607fd24884693941,MA-R1-528590f0b70cd22b,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_goal,libero_goal/task_05/state_26,Z3-194d6f635f3395c1ccdf,CLEAN_BRANCH_CRITICAL,CLEAN_REFERENCE,0,0,NO_PHYSICAL_FAILURE,,False,False,20,20,20,0,20,0,0.03778926310853585,0.030035702271754776,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-53832919b68a3026,V-b71e621e8288e200,MA-R1-53832919b68a3026,AMBIGUOUS_OR_OCCLUDED,LOW,M0_OPENVLA,libero_10,libero_10/task_01/state_35,Z3-315f47245751ef27aca4,CLEAN_BRANCH_CRITICAL,CLEAN_REFERENCE,0,0,GRIPPER_CONTACT_LOSS,,False,False,20,20,0,20,17,3,0.17702408379285575,0.15216090774069277,Target-like object becomes partially occluded near the receptacle/end-effector; the clip does not resolve stable grasp versus intended placement versus loss.
W-559865c66d70e7a3,V-c84ddef5c9dc3988,MA-R1-559865c66d70e7a3,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_goal,libero_goal/task_05/state_26,Z3-75da5975c3af87ba4e1b,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,15,15,0,15,15,0,0.10983577321442085,0.09972233861710422,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-583e4a17e92b3763,V-c3251948a54edc0d,MA-R1-583e4a17e92b3763,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_spatial,libero_spatial/task_04/state_31,Z3-22efcf638c451ec1cf7f,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,15,15,0,15,15,0,0.07873256511743455,0.07817395637265018,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-586cb78e4118463b,V-427f21178237193a,MA-R1-586cb78e4118463b,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_object,libero_object/task_02/state_26,Z3-b1755b4215f2ed89f623,COMMAND_OPEN_T10_CRITICAL,CRITICAL_OPEN_PRIMARY,10,10,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,20,20,0,20,18,2,0.2650257347734097,0.18548748786514668,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-5a608a3745847100,V-e35774f5be171ef1,MA-R1-5a608a3745847100,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_10,libero_10/task_01/state_35,Z3-34724e5b6321b5a05278,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,13,13,0,13,9,4,0.1754912796458658,0.14072415472523822,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-5b84f6c7f01c2f70,V-1b9526dfb7a01fa5,MA-R1-5b84f6c7f01c2f70,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_object,libero_object/task_02/state_26,Z3-094a06764395729769bb,COMMAND_OPEN_T10_CRITICAL,CRITICAL_OPEN_PRIMARY,10,10,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,20,20,0,20,20,0,0.1405147155986022,0.08489235284163416,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-5bad41d8088395e1,V-5cb2841d30d56534,MA-R1-5bad41d8088395e1,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_object,libero_object/task_03/state_29,Z3-66bb9c689f3db8399403,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,PREMATURE_OBJECT_RELEASE,CONTROL_CONTAMINATION_ABSTAIN,False,True,13,13,4,9,9,4,0.04577131413372056,0.03386203373405595,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-5f5ff37d9d09df8b,V-cdcd31384868b6ca,MA-R1-5f5ff37d9d09df8b,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_spatial,libero_spatial/task_00/state_37,Z3-44459e14117ea00fde44,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,GRIPPER_CONTACT_LOSS,CONTROL_CONTAMINATION_ABSTAIN,False,True,13,13,5,8,10,3,0.09029477610827001,0.085242545807853,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-625798efa70105e2,V-1cd272cc0d972993,MA-R1-625798efa70105e2,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_goal,libero_goal/task_02/state_34,Z3-68d2b28e5cb2181f83d2,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.28824364170257205,0.2879927277933158,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-631bf01ff37e8c80,V-7d13f2e633d0ca07,MA-R1-631bf01ff37e8c80,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_10,libero_10/task_02/state_30,Z3-96cb4e3e26f082317831,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,15,15,0,15,13,2,0.16636824249931584,0.14393505900866288,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-63aceec6571d27cb,V-e2d2c1886e16a878,MA-R1-63aceec6571d27cb,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_object,libero_object/task_03/state_29,Z3-f1ca78540c0b564c19e4,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,PREMATURE_OBJECT_RELEASE,CONTROL_CONTAMINATION_ABSTAIN,False,True,15,15,0,15,15,0,0.09661609638397492,0.0454563404523293,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-651fabb62fb40bc1,V-cc2105c1b825e41e,MA-R1-651fabb62fb40bc1,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_spatial,libero_spatial/task_07/state_28,Z3-303c529e456f8f96db82,COMMAND_OPEN_T10_CRITICAL,CRITICAL_OPEN_PRIMARY,10,10,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,20,20,5,15,19,1,0.09778988866660215,0.09449543113888519,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-65ceb79cb28345ce,V-64e21613e53b447a,MA-R1-65ceb79cb28345ce,OBJECT_DISPLACEMENT,MEDIUM,M0_OPENVLA,libero_goal,libero_goal/task_02/state_34,Z3-bbe5ef823588bba24e20,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,15,15,0,15,10,5,0.3870138871651297,0.32661494809036334,"A clearly visible object changes pose/location substantially and comes to rest on the work surface; displacement is visually consistent with loss of support, although prior grasp state is not fully visible."
W-68f7baf3458df644,V-a592fb274e9680de,MA-R1-68f7baf3458df644,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_object,libero_object/task_02/state_26,Z3-0d053a763234a85b8d54,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,13,13,0,13,13,0,0.09282307195245114,0.0660452285559353,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-6a01df582fd149a0,V-1192aba989037cfc,MA-R1-6a01df582fd149a0,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_spatial,libero_spatial/task_08/state_32,Z3-f887a8079f69d7558b61,CLEAN_BRANCH_CRITICAL,CLEAN_REFERENCE,0,0,GRIPPER_CONTACT_LOSS,,False,False,20,20,0,20,18,2,0.1540531130377641,0.13083676075855571,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-6e5bf479d9747b07,V-e883d6583a56d559,MA-R1-6e5bf479d9747b07,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_goal,libero_goal/task_08/state_20,Z3-e07ab601e65f2d272a9d,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.12150076817057298,0.12114117928075249,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-722429b78c38b5f0,V-6ed7bb777097e57d,MA-R1-722429b78c38b5f0,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_goal,libero_goal/task_08/state_20,Z3-7615fe3bc3ee8aae1b30,COMMAND_OPEN_T10_CRITICAL,CRITICAL_OPEN_PRIMARY,10,10,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,20,20,5,15,17,3,0.07409075410344168,0.06877496136954972,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-73b772978785da32,V-5148aa60d4343672,MA-R1-73b772978785da32,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_object,libero_object/task_01/state_40,Z3-79b05c91dd5e1d331c02,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,13,13,2,11,13,0,0.03811896237430982,0.029205953715680428,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-773699248b398d75,V-92ed154e3b598889,MA-R1-773699248b398d75,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_10,libero_10/task_03/state_45,Z3-1c27282df682e7ba4375,CLEAN_BRANCH_CRITICAL,CLEAN_REFERENCE,0,0,GRIPPER_CONTACT_LOSS,,False,False,20,20,11,9,20,0,0.05516115682889127,0.05479980950702585,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
