task_key,state_id,in_e4c,in_fresh,in_500
butter,6,False,True,True
butter,7,False,True,True
butter,8,False,True,True
butter,9,False,True,True
chocolate_pudding,0,False,True,True
chocolate_pudding,1,True,False,True
chocolate_pudding,10,True,False,True
chocolate_pudding,11,True,False,True
chocolate_pudding,12,True,False,True
chocolate_pudding,13,True,False,True
chocolate_pudding,14,True,False,True
chocolate_pudding,15,True,False,True
chocolate_pudding,16,False,True,True
chocolate_pudding,17,True,False,True
chocolate_pudding,18,True,False,True
chocolate_pudding,19,True,False,True
chocolate_pudding,2,True,False,True
chocolate_pudding,20,True,False,True
chocolate_pudding,21,True,False,True
chocolate_pudding,22,True,False,True
chocolate_pudding,23,True,False,True
chocolate_pudding,24,True,False,True
chocolate_pudding,25,True,False,True
chocolate_pudding,26,True,False,True
chocolate_pudding,27,True,False,True
chocolate_pudding,28,True,False,True
chocolate_pudding,29,True,False,True
chocolate_pudding,3,False,True,True
chocolate_pudding,30,True,False,True
chocolate_pudding,31,True,False,True
chocolate_pudding,32,True,False,True
chocolate_pudding,33,True,False,True
chocolate_pudding,34,True,False,True
chocolate_pudding,35,True,False,True
chocolate_pudding,36,True,False,True
chocolate_pudding,37,True,False,True
chocolate_pudding,38,True,False,True
chocolate_pudding,39,True,False,True
chocolate_pudding,4,False,True,True
chocolate_pudding,40,True,False,True
chocolate_pudding,41,True,False,True
chocolate_pudding,42,True,False,True
chocolate_pudding,43,True,False,True
chocolate_pudding,44,True,False,True
chocolate_pudding,45,True,False,True
chocolate_pudding,46,True,False,True
chocolate_pudding,47,True,False,True
chocolate_pudding,48,True,False,True
chocolate_pudding,49,True,False,True
chocolate_pudding,5,False,True,True
chocolate_pudding,6,False,True,True
chocolate_pudding,7,False,True,True
chocolate_pudding,8,False,True,True
chocolate_pudding,9,False,True,True
cream_cheese,0,False,True,True
cream_cheese,1,True,False,True
cream_cheese,10,True,False,True
cream_cheese,11,True,False,True
cream_cheese,12,True,False,True
cream_cheese,13,True,False,True
cream_cheese,14,True,False,True
cream_cheese,15,True,False,True
cream_cheese,16,True,False,True
cream_cheese,17,True,False,True
cream_cheese,18,True,False,True
cream_cheese,19,True,False,True
cream_cheese,2,True,False,True
cream_cheese,20,True,False,True
cream_cheese,21,True,False,True
cream_cheese,22,True,False,True
cream_cheese,23,True,False,True
cream_cheese,24,True,False,True
cream_cheese,25,True,False,True
cream_cheese,26,True,False,True
cream_cheese,27,True,False,True
cream_cheese,28,True,False,True
cream_cheese,29,True,False,True
cream_cheese,3,False,True,True
cream_cheese,30,True,False,True
cream_cheese,31,True,False,True
cream_cheese,32,True,False,True
cream_cheese,33,True,False,True
cream_cheese,34,True,False,True
cream_cheese,35,True,False,True
cream_cheese,36,True,False,True
cream_cheese,37,True,False,True
cream_cheese,38,True,False,True
cream_cheese,39,True,False,True
cream_cheese,4,False,True,True
cream_cheese,40,True,False,True
cream_cheese,41,True,False,True
cream_cheese,42,True,False,True
cream_cheese,43,True,False,True
cream_cheese,44,True,False,True
cream_cheese,45,True,False,True
cream_cheese,46,True,False,True
cream_cheese,47,True,False,True
cream_cheese,48,True,False,True
cream_cheese,49,True,False,True
cream_cheese,5,False,True,True
cream_cheese,6,False,True,True
cream_cheese,7,False,True,True
cream_cheese,8,False,True,True
cream_cheese,9,False,True,True
ketchup,0,False,True,True
ketchup,1,False,True,True
ketchup,10,True,False,True
ketchup,11,True,False,True
ketchup,12,True,False,True
ketchup,13,True,False,True
ketchup,14,True,False,True
ketchup,15,True,False,True
ketchup,16,True,False,True
ketchup,17,True,False,True
ketchup,18,True,False,True
ketchup,19,True,False,True
ketchup,2,True,False,True
ketchup,20,True,False,True
ketchup,21,True,False,True
ketchup,22,True,False,True
ketchup,23,True,False,True
ketchup,24,True,False,True
ketchup,25,True,False,True
ketchup,26,True,False,True
ketchup,27,True,False,True
ketchup,28,True,False,True
ketchup,29,True,False,True
ketchup,3,True,False,True
ketchup,30,True,False,True
ketchup,31,True,False,True
ketchup,32,True,False,True
ketchup,33,True,False,True
ketchup,34,True,False,True
ketchup,35,True,False,True
ketchup,36,True,False,True
ketchup,37,True,False,True
ketchup,38,True,False,True
ketchup,39,True,False,True
ketchup,4,False,True,True
ketchup,40,True,False,True
ketchup,41,True,False,True
ketchup,42,True,False,True
ketchup,43,True,False,True
ketchup,44,True,False,True
ketchup,45,True,False,True
ketchup,46,True,False,True
ketchup,47,True,False,True
ketchup,48,True,False,True
ketchup,49,True,False,True
ketchup,5,False,True,True
ketchup,6,False,True,True
ketchup,7,False,True,True
ketchup,8,False,True,True
ketchup,9,False,True,True
milk,0,False,True,True
milk,1,True,False,True
milk,10,True,False,True
milk,11,True,False,True
milk,12,True,False,True
milk,13,True,False,True
milk,14,True,False,True
milk,15,True,False,True
milk,16,True,False,True
milk,17,True,False,True
milk,18,True,False,True
milk,19,True,False,True
milk,2,True,False,True
milk,20,True,False,True
milk,21,True,False,True
milk,22,True,False,True
milk,23,True,False,True
milk,24,True,False,True
milk,25,True,False,True
milk,26,True,False,True
milk,27,True,False,True
milk,28,True,False,True
milk,29,True,False,True
milk,3,False,True,True
milk,30,True,False,True
milk,31,True,False,True
milk,32,True,False,True
milk,33,True,False,True
milk,34,True,False,True
milk,35,True,False,True
milk,36,True,False,True
milk,37,True,False,True
milk,38,True,False,True
milk,39,True,False,True
milk,4,False,True,True
milk,40,True,False,True
milk,41,True,False,True
milk,42,True,False,True
milk,43,True,False,True
milk,44,True,False,True
milk,45,True,False,True
milk,46,True,False,True
milk,47,False,True,True
milk,48,True,False,True
milk,49,True,False,True
milk,5,False,True,True
milk,6,False,True,True
milk,7,False,True,True
milk,8,False,True,True
milk,9,False,True,True
orange_juice,0,False,True,True
orange_juice,1,True,False,True
orange_juice,10,True,False,True
orange_juice,11,True,False,True
orange_juice,12,True,False,True
orange_juice,13,True,False,True
orange_juice,14,True,False,True
orange_juice,15,True,False,True
orange_juice,16,True,False,True
orange_juice,17,True,False,True
orange_juice,18,True,False,True
orange_juice,19,True,False,True
orange_juice,2,True,False,True
orange_juice,20,True,False,True
orange_juice,21,True,False,True
orange_juice,22,True,False,True
orange_juice,23,True,False,True
orange_juice,24,True,False,True
orange_juice,25,True,False,True
orange_juice,26,True,False,True
orange_juice,27,True,False,True
orange_juice,28,True,False,True
orange_juice,29,True,False,True
orange_juice,3,False,True,True
orange_juice,30,True,False,True
orange_juice,31,True,False,True
orange_juice,32,True,False,True
orange_juice,33,False,True,True
orange_juice,34,True,False,True
orange_juice,35,True,False,True
orange_juice,36,True,False,True
orange_juice,37,True,False,True
orange_juice,38,True,False,True
orange_juice,39,True,False,True
orange_juice,4,False,True,True
orange_juice,40,True,False,True
orange_juice,41,True,False,True
orange_juice,42,True,False,True
orange_juice,43,True,False,True
orange_juice,44,True,False,True
orange_juice,45,True,False,True
orange_juice,46,True,False,True
orange_juice,47,True,False,True
orange_juice,48,True,False,True
orange_juice,49,True,False,True
orange_juice,5,False,True,True
orange_juice,6,False,True,True
orange_juice,7,False,True,True
orange_juice,8,False,True,True
orange_juice,9,False,True,True
salad_dressing,0,False,True,True
salad_dressing,1,True,False,True
salad_dressing,10,True,False,True
salad_dressing,11,True,False,True
salad_dressing,12,True,False,True
salad_dressing,13,True,False,True
salad_dressing,14,True,False,True
salad_dressing,15,True,False,True
salad_dressing,16,True,False,True
salad_dressing,17,True,False,True
salad_dressing,18,True,False,True
salad_dressing,19,True,False,True
salad_dressing,2,True,False,True
salad_dressing,20,False,True,True
salad_dressing,21,True,False,True
salad_dressing,22,False,True,True
salad_dressing,23,True,False,True
salad_dressing,24,True,False,True
salad_dressing,25,True,False,True
salad_dressing,26,True,False,True
salad_dressing,27,True,False,True
salad_dressing,28,True,False,True
salad_dressing,29,True,False,True
salad_dressing,3,False,True,True
salad_dressing,30,True,False,True
salad_dressing,31,True,False,True
salad_dressing,32,True,False,True
salad_dressing,33,True,False,True
salad_dressing,34,True,False,True
salad_dressing,35,False,True,True
salad_dressing,36,False,True,True
salad_dressing,37,True,False,True
salad_dressing,38,True,False,True
salad_dressing,39,True,False,True
salad_dressing,4,False,True,True
salad_dressing,40,True,False,True
salad_dressing,41,True,False,True
salad_dressing,42,True,False,True
salad_dressing,43,True,False,True
salad_dressing,44,True,False,True
salad_dressing,45,True,False,True
salad_dressing,46,True,False,True
salad_dressing,47,False,True,True
salad_dressing,48,True,False,True
salad_dressing,49,True,False,True
salad_dressing,5,False,True,True
salad_dressing,6,False,True,True
salad_dressing,7,False,True,True
salad_dressing,8,False,True,True
salad_dressing,9,False,True,True
tomato_sauce,0,False,True,True
tomato_sauce,1,True,False,True
tomato_sauce,10,True,False,True
tomato_sauce,11,True,False,True
tomato_sauce,12,True,False,True
tomato_sauce,13,True,False,True
tomato_sauce,14,True,False,True
tomato_sauce,15,True,False,True
tomato_sauce,16,True,False,True
tomato_sauce,17,True,False,True
tomato_sauce,18,True,False,True
tomato_sauce,19,True,False,True
tomato_sauce,2,True,False,True
tomato_sauce,20,True,False,True
tomato_sauce,21,False,True,True
tomato_sauce,22,True,False,True
tomato_sauce,23,True,False,True
tomato_sauce,24,True,False,True
tomato_sauce,25,True,False,True
tomato_sauce,26,True,False,True
tomato_sauce,27,False,True,True
tomato_sauce,28,True,False,True
tomato_sauce,29,True,False,True
tomato_sauce,3,False,True,True
tomato_sauce,30,False,True,True
tomato_sauce,31,True,False,True
tomato_sauce,32,True,False,True
tomato_sauce,33,True,False,True
tomato_sauce,34,True,False,True
tomato_sauce,35,True,False,True
tomato_sauce,36,True,False,True
tomato_sauce,37,False,True,True
tomato_sauce,38,True,False,True
tomato_sauce,39,True,False,True
tomato_sauce,4,False,True,True
tomato_sauce,40,True,False,True
tomato_sauce,41,True,False,True
tomato_sauce,42,True,False,True
tomato_sauce,43,False,True,True
tomato_sauce,44,False,True,True
tomato_sauce,45,True,False,True
tomato_sauce,46,True,False,True
tomato_sauce,47,True,False,True
tomato_sauce,48,False,True,True
tomato_sauce,49,True,False,True
tomato_sauce,5,False,True,True
tomato_sauce,6,False,True,True
tomato_sauce,7,False,True,True
tomato_sauce,8,False,True,True
tomato_sauce,9,False,True,True
