task,parent_state,template,seed,count,is_duplicate
5,13,P0,42,1,False
5,14,P0,42,1,False
5,15,P0,42,1,False
5,16,P0,42,1,False
5,17,P0,42,1,False
5,18,P0,42,1,False
5,19,P0,42,1,False
5,20,P0,42,1,False
5,21,P0,42,1,False
5,22,P0,42,1,False
5,3,P0,42,1,False
5,4,P0,42,1,False
5,5,P0,42,1,False
5,6,P0,42,1,False
5,7,P0,42,1,False
5,8,P0,42,1,False
5,9,P0,42,1,False
6,10,P0,42,1,False
6,11,P0,42,1,False
6,12,P0,42,1,False
6,13,P0,42,1,False
6,14,P0,42,1,False
6,15,P0,42,1,False
6,16,P0,42,1,False
6,17,P0,42,1,False
6,18,P0,42,1,False
6,19,P0,42,1,False
6,20,P0,42,1,False
6,21,P0,42,1,False
6,22,P0,42,1,False
6,3,P0,42,1,False
6,4,P0,42,1,False
6,5,P0,42,1,False
6,6,P0,42,1,False
6,7,P0,42,1,False
6,8,P0,42,1,False
6,9,P0,42,1,False
7,10,P0,42,1,False
7,11,P0,42,1,False
7,12,P0,42,1,False
7,13,P0,42,1,False
7,14,P0,42,1,False
7,15,P0,42,1,False
7,16,P0,42,1,False
7,17,P0,42,1,False
7,18,P0,42,1,False
7,19,P0,42,1,False
7,20,P0,42,1,False
7,21,P0,42,1,False
7,22,P0,42,1,False
7,3,P0,42,1,False
7,4,P0,42,1,False
7,5,P0,42,1,False
7,6,P0,42,1,False
7,7,P0,42,1,False
7,8,P0,42,1,False
7,9,P0,42,1,False
8,10,P0,42,1,False
8,11,P0,42,1,False
8,12,P0,42,1,False
8,13,P0,42,1,False
8,14,P0,42,1,False
8,15,P0,42,1,False
8,16,P0,42,1,False
8,17,P0,42,1,False
8,18,P0,42,1,False
8,19,P0,42,1,False
8,20,P0,42,1,False
8,21,P0,42,1,False
8,22,P0,42,1,False
8,3,P0,42,1,False
8,4,P0,42,1,False
8,5,P0,42,1,False
8,6,P0,42,1,False
8,7,P0,42,1,False
8,8,P0,42,1,False
8,9,P0,42,1,False
9,10,P0,42,1,False
9,11,P0,42,1,False
9,12,P0,42,1,False
9,13,P0,42,1,False
9,14,P0,42,1,False
9,15,P0,42,1,False
9,16,P0,42,1,False
9,17,P0,42,1,False
9,18,P0,42,1,False
9,19,P0,42,1,False
9,20,P0,42,1,False
9,21,P0,42,1,False
9,22,P0,42,1,False
9,3,P0,42,1,False
9,4,P0,42,1,False
9,5,P0,42,1,False
9,6,P0,42,1,False
9,7,P0,42,1,False
9,8,P0,42,1,False
9,9,P0,42,1,False
