pool,task,parent_state,perturbation_template,base_seed,condition,attack_frames,telemetry_sha256,episode_summary_sha256,done_exit_code,n_steps,collector,profile
dev,2,25,P0,42,CLEAN,0,9e0ef3795c97d24d1bbb779369b0584e8669c57bdb10d52202c92561b121057d,5a91b80b29023ca86743ef7c0233fac66ae39d6ad3f27261ce81c181344f3e41,0,132,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,2,26,P0,42,CLEAN,0,5a89d7c76e992a4969b943a6f4d1a44638804cb3feb93648c9243c3073e2bcc5,72d919752949c51b678079f4928d13cbc8d2b30a3e6ae2fb9420794fe41d7a83,0,118,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,2,27,P0,42,CLEAN,0,fc85068f8943f486d826dd9b4ce948f4082f4e2496ccdf9a913e8d7af5673203,d49119471a421646aba1a4bd8044f94c7c8108492c77015c7348bd252a383224,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,3,23,P0,42,CLEAN,0,5918c1dd507e492170de0dda651de2965515bdd3569352946dfc90d40e45b28d,d4e9d4d2b00de76f0ce623e379e95d373a4eb46b5b170eaf1ad5f5633866782f,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,3,24,P0,42,CLEAN,0,00407184fe410a0c3d28714cd210bc4fd8b9da913a4b16ed3ddcd08b09d80a10,bbd3843e3b93291db290fb6672b686719d8e15014c8eeb9c0cc931ae356998f3,0,172,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,3,25,P0,42,CLEAN,0,346ed995d4dffa8c040d08687e0eb53d3f36cfbdd638b73a73dff7dfaa775eb0,c50de4d34ebad002a614969355891d0d399f550a959050721e925827f1a7bfdf,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,3,26,P0,42,CLEAN,0,3f7634b42674d59d2c10dde76a15457d2a9b0fe2849d5a9dbb4c4ef0d915729a,fdcd669a22e20559bc708bf6240bb1e369ffea6a54e789a883497c37afcb1a12,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,3,27,P0,42,CLEAN,0,3b61cfaabb673ca13a39cab9c1f72d8ea07ffedfab57e7e86c8b7e7135f4f765,d49119471a421646aba1a4bd8044f94c7c8108492c77015c7348bd252a383224,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,4,23,P0,42,CLEAN,0,9b07e66210db632551e64b5f3a6c17fda4ca045b4f2715e75614dde53ba7a9d9,a31be63503281ac3ebe6457f15fee862a410c359db0bc9751335c6657d74b605,0,140,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,4,24,P0,42,CLEAN,0,4ee60a5bf8b71f013de1077592f6243cd2882dd27d4295170d2bbda7846195b8,aa17788699dfa447a2dcd7b026df2aa3cca04ea74ddd25c1dbb6634fac1eaba5,0,150,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,4,25,P0,42,CLEAN,0,c0709901acb4115765588b4c98233df0db2dfe786880faaee5a0205006e5b922,182c1341a3c6d2d9cc16d84704f43417065c42cf72326ce1d7a01c39dce5a439,0,159,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,4,26,P0,42,CLEAN,0,d514b8ae8a2d3e33b3fd4a35fd9d1ccd58861a2dbc94fe5ba921469605688e3c,6e702960edb2d5394750ddc1ebaba0e1c04305d9bc0252e3f7f10b1728fc9c1e,0,139,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,4,27,P0,42,CLEAN,0,88ee630c0f0dafb67fdeb6abecfd0896081ca2ed6f3f25f0e10d50ee81fe2754,d49119471a421646aba1a4bd8044f94c7c8108492c77015c7348bd252a383224,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,5,23,P0,42,CLEAN,0,25bba3ac7a6b5487125743b9e908a0e37049d65374632503e669b668b7940d8d,022ced98d3bee1851d0781bdb0d3b48ff58a688e58d955b32030d187351162a8,0,143,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,5,24,P0,42,CLEAN,0,1062a52d4fdff3630ef2b0f5dcf3dee3fc6571c2ac3aee3668a36957ca6c7a81,fe7e35f1eeb865f17dd353b61c49a9c21ccd2fac7c9b3d86cf178ea3ab541e5b,0,149,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,5,25,P0,42,CLEAN,0,78e406236b5871ec4ad96269eae25076f6d21876e1c0744dd160f79217c5a453,7ad9a8293c121a280f75cba7aff86648f6faaa7a6e4d09b760eb5f693b72b1b5,0,266,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,5,26,P0,42,CLEAN,0,ad491cb4482001cf739db4240a064f4802a3e0ec9e91d729b940edfda6b57dad,c125eef0c062703b90861811d5132d547d7a96abd950b44b190004e401257196,0,112,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,5,27,P0,42,CLEAN,0,b8d44ee97534b4cc9d94803b9785dad3efec6d001123507f1256dc039d1e205c,7890312e740422cd8d3324e95cbbfc66497b8d4adfd491575e3a545b7bf05257,0,163,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,6,23,P0,42,CLEAN,0,dc75c36445a3e84c1415ebf1c220bdabb8cdcb4607f6deaaf3c0bc797db626de,d4e9d4d2b00de76f0ce623e379e95d373a4eb46b5b170eaf1ad5f5633866782f,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,6,24,P0,42,CLEAN,0,d9175281b6f2cdb029dbd3c6c333f08ac897129ce78ae35fc5bb24160f6e421f,e76e6442b109b848666813a55370982da4fbf35fb76328dc84d66485df0ef786,0,186,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,6,25,P0,42,CLEAN,0,622f4cfd2d798aeaa5d722cad24e69e7f62d1d433ced1af2f90f1accf19d2c7b,4d1fa40466accd9e73d9950a76f6da08df28147ac68855dcdd65aeb6ba37b551,0,160,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,6,26,P0,42,CLEAN,0,fff7ceb90b1a35ed04451dae140ecdacb2539d361684dc38e87bde909ae495da,ccdff423fb0c10b5f0d5507d7e844e6a7c91e45321d1e7a257bffbc413bc35f5,0,159,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,6,27,P0,42,CLEAN,0,e293d31ffdbf7988761219a8bea1d03a8855b690f43f8c8b6807f53e64deb56a,1ed1efd379eaa39c556fc2137f033cadd97d1f6d325387b5a2a41aa4b86d0a13,0,142,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,7,23,P0,42,CLEAN,0,1ac29516caead37ece737ebb972007014b31d2c7f3959dd45742bdafa6355b35,d4e9d4d2b00de76f0ce623e379e95d373a4eb46b5b170eaf1ad5f5633866782f,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,7,24,P0,42,CLEAN,0,d6ef0b3ac92a4dde5910748568ee98d6ae78c7d9169d127d3345ff17d595f815,8438025834aaa5bf542d5514db85737f01d7f2f8eb2ee7d5282f2fae87ebc89c,0,151,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,7,25,P0,42,CLEAN,0,994c8f99bd0bacd11a4ceced88b51734ce9eed998415bd01b6df9d9fcf7cdc85,67060f2c641aecaf67ee1a45074fa585b98d5a81e2a2a58aeac82c654ae7ec2d,0,135,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,7,26,P0,42,CLEAN,0,deda7537cfcfc24242746a3292a1d285d4ce326995a272d2039dc303c75f2b90,a7017f1c45b416b1849685edcfd66cac52bc57e29e931648802ac4674e291eec,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,7,27,P0,42,CLEAN,0,fb23fdcf8878d27f0446e99763c5f133bfa05715ee49f3d8e457c2db734660b1,ba9b9b75d9a469a20a374ad2bd008faa115869a26c7bf9a997ba5889ac4d02ae,0,139,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,8,23,P0,42,CLEAN,0,2d573128ca040f85fddddc70b3a48fdfcb5272ac53fa7ed1c5409926692b4146,d547fa66a6df910f1dac1e40c07160efe7d3181fabff42b6efa364a0149b2d08,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,8,24,P0,42,CLEAN,0,ba79e4dd0b4417f7fbdfae678c07f502a92e9b5c94dc8985547ee3f54196dc3e,8fcb18638bf952d6af14f38bf6ffbac8a9282d9e9c941d8ca5e67eaeb299a4aa,0,201,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,8,25,P0,42,CLEAN,0,340ae72e25934c350a7e2afbcae1fb90538f45956b0c714f23adcf05043175ab,840dbe9b1e9d3e8b81133eaf991667c6ed9270be358eef0a9c9077906547f95a,0,161,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,8,26,P0,42,CLEAN,0,2937794d84ffc9b62322ee6bc328abf2344425b482ec3253c2adde48517ad257,fda7a7df53b9f0e6168911115ee6b561bfeed6e9ae18a3f975111b7c2f40f7f0,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,8,27,P0,42,CLEAN,0,fb4cba2af8c53e7deb11bdfe6288f58b0b8a422140819682236efdb8a5da2046,5cc60242a7a22144cfca4a087c851f0788a8129ecaf5db6a6c0321588457c689,0,147,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,9,23,P0,42,CLEAN,0,28510e931105f51ebd2bc3ebfb490d0d996f73b36857ff20c1fd11441bd09ca2,1822cf7101b00113f85a11488fcc43c5ec6a1f7afe29270a343ae8acfc26570e,0,122,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,9,24,P0,42,CLEAN,0,4307f8cb24022c5e81f826b175b28c487efc4c3c21f97f953e88f1935950bb34,95182cf888c97751e131413c50aa198bf1f28ff72a040b46760679e399324f65,0,121,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,9,25,P0,42,CLEAN,0,bf2b910bd3f8dbebb91ec7cac237dc9a873306c1ad0d00eafcc0fe427efe0b39,5f292e929c9e5b74e9a77f17c7bda1b6438a5672707dc18456f1755958f62130,0,318,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,9,26,P0,42,CLEAN,0,e6230823e3c47ae59f1fae0ecae7cb642c7662d6b0be8751c42c3380be7d741e,381a2822b4ffb117a13c271506a60370b8dad849dc88b83452d004c7da9e0c7d,0,141,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,9,27,P0,42,CLEAN,0,e6a1bf0aa505ccd85e868432aa530d780771a19e31f69f452a379086a6db8188,d49119471a421646aba1a4bd8044f94c7c8108492c77015c7348bd252a383224,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,10,P0,42,CLEAN,0,b2875ea640db99027349d59b902403e4067eb82b8be2be82becd0393156e0b23,1a2e2dd096fe6bd46d1ec2851c7ef3472272b553f402062538729f9e25fb0ffd,0,150,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,11,P0,42,CLEAN,0,1ef48746ed4beb04554605d7763390fd9e8849ee32f916030f1d5742173fdbb6,764c817fb50f956adcd66d331d0440798259c0dfbcbda66f487d42afc223258c,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,12,P0,42,CLEAN,0,99115d6ad8ee5c300198a9b610d08f43bc4de62b17843bb0f3916e39681864d9,9ca971472621c062ee4a1b39b58a08d5db72ed4675044507a18ebf80b1886c10,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,13,P0,42,CLEAN,0,60ca54483d9d13c74b29fe70bdc6903d1999009d066d4ca3e3855d0edfe32718,e42428582052ab554d5f7c41c6d4a06253e8dffb061ecd3c5fe32981666ae5b6,0,254,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,14,P0,42,CLEAN,0,64f1fe68d9c7f89b336a97051f538466d738d73d920203acec4c455e15f688f6,2df968450f2da1331c7beb6989e707aca003e131feb1b9405f528deb312473ca,0,169,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,15,P0,42,CLEAN,0,ba32c88fb3d2762b4ee74b81a017fba6617cc19c614b8b8f2f9e587f6f8099d7,0c15822b4ebbe2b96cb2f59f8676bb9ba95540b3dabe6dfc1e6806043c8e1ce9,0,152,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,16,P0,42,CLEAN,0,998f1bf568ca98afcc3f200114d8405f2d8ddb84179ba5354fbc32b2c751fe5d,42d6f6cd3b69fb742f9b7534a8215bec73440d90685156c68b25ef6db390775d,0,124,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,17,P0,42,CLEAN,0,b8921552a39f245a11ad7a980eb16cc55e1ab48013342d6f9c707f7bc9bcb9f8,932c9f36f07c54dd692fcc544ea4cf2a9c524a6ff355d938eec45688fbd5643d,0,130,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,18,P0,42,CLEAN,0,a3f2955388e214585f80d83ab55d798e1a5899aade8ccbf2409df10290d70b75,a53e6b823faf60e994d6f3850600be4bced76304e023e0eb581f1363e1c3ca98,0,151,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,19,P0,42,CLEAN,0,b64e388f0b2e1108c4a0bc1bc21a369942e831a93effef0f006393e4213e83ea,15b0de224dcecb93b1e348ce216868a3df989d53fddcc053a73cae8e08e5a771,0,147,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,20,P0,42,CLEAN,0,291cda7aec13ab215c71fac187a3c1c8621e1f9a075a76b9e87f5534ff529397,d8cabd2fa8a559a1b05207c39c5d2db827f7d1a945556229435a8e587cb3cb5f,0,180,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,21,P0,42,CLEAN,0,c1dbc72703cb3a9df7dd4f0fc9b0a22f770de144a0c77369a658d34dd8a734ed,67015e3a247c7c432ca90dd1afe600fde199700fa1d49e5b11cf78b09425ffe1,0,215,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,22,P0,42,CLEAN,0,52e22817b93ea40f4dfae384b3429d09f4b7e548fc88c8212b523d51a7858bfe,5fe67a4a587e14d5d561fdb5042e66b5c6843aa0b15c6821ab212ead5e9ed27b,0,193,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,3,P0,42,CLEAN,0,0874cc67de01332f1f889e2c346a38ac37dbf397d2b7d9b0e8e85235234dd02c,972f88ad027d8cea4d03db73a89b7cc5994540a97785de1d30d9dcd20025b6aa,0,140,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,4,P0,42,CLEAN,0,275f84f8bca89faa9ff79df9777f55951d44b0cd0721ad3c8df5601ff816d9c8,6d52f68f9dfe0069890688a8098d025e04934ec2bf52b16abe2fcd5fd66a4006,0,133,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,5,P0,42,CLEAN,0,851c11d2779693b6f1d0bd49ddb733506fb003c51dee54951119bfdfdff13d36,4cbf8a7286337f87fe671470cd61d04ecd34176cf7bfe2280bf0ccf7765ade1d,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,6,P0,42,CLEAN,0,ac66dbba7a6ccdf5224d137599bd81a3309ba5cea2ebf53337ae88c2e9572ddb,1d662f0ff22df6cd63cbbbb8c0d6c0e343a297b4b5cc842b2b2d5a85eb34ec1c,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,7,P0,42,CLEAN,0,87de1ce4933ecc29e7e0fa4fe904d833220ad7bb19fc8536e193f19e0ebc6466,77944afa60bee3b6ebe81a688dba54f95bb75981372bd11fb817c78fb6e8b637,0,158,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,8,P0,42,CLEAN,0,ecc2ea99f25e388392c27ac0c01ffb1e8bb71d3da448cb2ad80855ffccc8d06c,e8ff438ff02d1aa573ca1be5669c0244219b4e72df9c069f03645a9a131c213e,0,178,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,0,9,P0,42,CLEAN,0,dd53056ffc668e4caa880616d57e4f9e596db4072c9ce1f7cbacf7457b862990,ea487c0210b3d8def960d0b0d8c8c4fd37908ce14d7b37aeb0659b1321947a50,0,205,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,10,P0,42,CLEAN,0,f329be895ea00c80a21f5aef1eec5298c75fe5fd95137890909d68d64e4fe93a,5d78a4995e1b373a622478b102f40b8acb9dbde24165e3912043a49420317b50,0,152,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,11,P0,42,CLEAN,0,21075e5dd7c8131b865108fbadc44f2b9094985f6366bdb227250173934b3327,bce78d81b87b1d1c2e44661b94014e4bd68b947b63fe4a7bfe64ad5c78a22eb7,0,170,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,12,P0,42,CLEAN,0,3ca2ba13aa78ce52680c9673127cc0a3ebaf21c1c52dce476b51376b2166030e,2043a0c223978ae8e401c4fb1f126c6b99f7df89a9f0a7a6da76f76d16a2321b,0,153,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,13,P0,42,CLEAN,0,a282157dd13f228313412fcf078f104cb764de6163d8ac0657181e16420730f9,6b9e07dfb4aa51595683deda03165d6e67e9e8c78acb5bf91accbe86003c1b41,0,121,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,14,P0,42,CLEAN,0,bc29eb3125e45514f0e45dd4a5960105acd8e54c8bae8a5079f390f90b3eb71d,ce68c2a307c3f1995eec5d48c30b5eb255bdb125b96a411f99d5bcb77a58f246,0,120,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,15,P0,42,CLEAN,0,3e1d81f3a23cccc38e5003c92235662bdeb385cbed8f1b537c961aaaca543a05,1d54238120e373f861934c5d0c21bef069422a0b4f5adeb9cc2d3223fe97861d,0,127,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,16,P0,42,CLEAN,0,ad5dfd1332999af021750b0f13a6194a23faca1f5839a5021f1b030f248074af,a2a81e05b1dcb551809104b09c431a2913d634e2377bdb5581f700b64e76948b,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,17,P0,42,CLEAN,0,a38f8d5c2193639429790c4e80960543ded0939b6d4f7ed9c2426ffb63e85169,238d890b1408b9282b19bad3fc89bcbef4832de0ea1728038cea367c29552060,0,150,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,18,P0,42,CLEAN,0,27f4917eae2537e806f760adb853bf2b849908ba7d7bd412550c92e26db510ae,e76e2b26eb1578aa5e57d4d6a5f7172f07d90b331f7977aa9b9560919a6384ca,0,134,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,19,P0,42,CLEAN,0,d5f0e87e5f056ab7759833bb8e2fef5923066a7c6ca1043d3df7d4b7ca0065c6,5d630188b44dad554909be6dd5b44dd2b6072d311d30cfa25d5843f76f56a81c,0,115,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,20,P0,42,CLEAN,0,a34f9dd6da06a1ad2fbb8e606bd209fc27ba5a7aaa3d1ac97c31a30a53a53408,292fb6b16952f12ee827347826cfa2b49670bf794914ab5698c9bf5a9d910076,0,120,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,21,P0,42,CLEAN,0,e88884915682c17a8fe192d456cf5168771553c5aca18ce005d3a767eef58922,49a9a61839a18d78abc83d76ca02d0a8c02e632e9502a976819629e60dbe0666,0,145,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,22,P0,42,CLEAN,0,8859a64ea8956f90059b9d5e666c1ed5b4b20df2b5b3fb8ecc5d576aa3b669d2,6e1bcb8069a421e9f48432496d7c182b7381b9e489effde672bfcbcfb07c6872,0,122,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,3,P0,42,CLEAN,0,d56d45b11cc8878d1b78c52e00097472d08ca322e7a1c3fa3bb3d6860895dc28,2edb1fbaa146f664134c235a791b943aac6d6529a05ef604b3fc26a2e6ab0a98,0,153,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,4,P0,42,CLEAN,0,34e478c5d61c67ceb22f6ddde549038a3e979b55ffef023e153401e4b2cbc3bd,13341e97916f5257d09b099f4e432765867ff1d2e828783b8d16c6385897ae0c,0,135,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,5,P0,42,CLEAN,0,68933c64917b4fa127e249bfe084669ffed7a02b5fa5bc86307f6f8dd62f8b27,34a8bc50d7987fe8909e5ede9b3cc98865615e0fbe4e4a9c3bb70a1429151e09,0,178,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,6,P0,42,CLEAN,0,095af6aba64c16299ac4255435558218e0c95f377c5342ab956ce355e8ac3d1f,28bcf4dfc972947994d1cc53b8fa41c09a458b8a3fcae2a39414fd8eb6042ef3,0,126,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,7,P0,42,CLEAN,0,216e49abcf45498fcd958beb20147616efadc7b4c5857f5aeb3985f2a04c9a9b,8842f5b4c56d3eeea8ed15db685b8b0cdc5b572b640b09e45a0089da6022111b,0,119,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,8,P0,42,CLEAN,0,996ddd494baedc43d0d68b699959c306aeab56a643b46179198036c73aa2816c,583861c527b9bdeade9ee737c13949ac5db1746f785a48228cf1f1267e20f3eb,0,300,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,1,9,P0,42,CLEAN,0,6c141bcb6b64cfa2c668bd3fd44f05f24558f76355b3307ffac335be7bc0a913,2df6e38972c8cdeca8c68bef8608359e415656543d3372d6fed07da68785a030,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,2,10,P0,42,CLEAN,0,0d7fc4514501846b9433da01af8428a33cb0ffaf5f5b8ffa7f219c3ae87e3361,2a70f850484f93b5e8dfcbd7bd55e17625bd9e4298164dca116753cbd03d3dce,0,108,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,2,11,P0,42,CLEAN,0,54d49c2b84c59db7a7f37f10f7c21806d1d166b4b3c7d11b46c733edb0f6f661,49ddf8f1c51b5468951e9463024d38d497a2d2b73b0ac584d1a1513cf0f1b02c,0,129,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,2,12,P0,42,CLEAN,0,204fb01717e3c120ea1a140bb8d1fc2df420bed30a17e8b24e24e208b490c68b,19d152d2c51342e21b1de417ab4aa372f6485644f361cd71090d68c6a9e813bc,0,129,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,2,13,P0,42,CLEAN,0,c24c7ccbcf6136093562370fd4b32e43942f378a94943c9c92f491550faba2fb,a3f7b47a56fd20583a5d56685b79c53a8824977fb45b2210188f1ee241a9a8fb,0,118,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,2,14,P0,42,CLEAN,0,5c61e1894d995dd9c25e2bdd9719a20ef2a5ade6ab6513a74bbf2bc16e647d69,75bd87c86ff2fdb4aa818f34c654a8561069409d799c395a409b546678372b3c,0,129,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,2,15,P0,42,CLEAN,0,9776b6682c26422ec1d594c1f8af1ca0d519d3f1523cc9124d86bf135928caf0,ebae33d539cb61feac318259f3c36cdd36561ea70d43160770d4504bccced7ce,0,224,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
train,2,16,P0,42,CLEAN,0,041137d8f1b6d301e15207c87573534cb1574a9958f898551ed8c06ac1b7cfde,ca9ab5a7abb272ec5d31c98c157873e496c6bbcb2823bea25c9c2ae83fb3aa1a,0,120,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
