task_key,state_id,trace_id,reason
tomato_sauce,39,trace_tomato_sauce_s39_w0_10_s20d_clean_seed0_job330390,D1b_val
tomato_sauce,40,trace_tomato_sauce_s40_w0_10_s20d_clean_seed0_job330391,D1b_val
tomato_sauce,41,trace_tomato_sauce_s41_w0_10_s20d_clean_seed0_job330392,D1b_test
tomato_sauce,42,trace_tomato_sauce_s42_w0_10_s20d_clean_seed0_job330393,D1b_test
alphabet_soup,5,trace_alphabet_soup_s5_w0_10_s20d_clean_seed0_job500000,D2_fresh25
alphabet_soup,8,trace_alphabet_soup_s8_w0_10_s20d_clean_seed0_job540200,D2_fresh25
alphabet_soup,9,trace_alphabet_soup_s9_w0_10_s20d_clean_seed0_job540200,D2_fresh25
alphabet_soup,26,trace_alphabet_soup_s26_w0_10_s20d_clean_seed0_job590300,D2_fresh25
butter,3,trace_butter_s3_w0_10_s20d_clean_seed0_job510100,D2_fresh25
butter,6,trace_butter_s6_w0_10_s20d_clean_seed0_job590100,D2_fresh25
butter,8,trace_butter_s8_w0_10_s20d_clean_seed0_job590100,D2_fresh25
chocolate_pudding,4,trace_chocolate_pudding_s4_w0_10_s20d_clean_seed0_job520100,D2_fresh25
chocolate_pudding,5,trace_chocolate_pudding_s5_w0_10_s20d_clean_seed0_job520100,D2_fresh25
chocolate_pudding,16,trace_chocolate_pudding_s16_w0_10_s20d_clean_seed0_job590000,D2_fresh25
cream_cheese,0,trace_cream_cheese_s0_w0_10_s20d_clean_seed0_job540000,D2_fresh25
cream_cheese,6,trace_cream_cheese_s6_w0_10_s20d_clean_seed0_job540000,D2_fresh25
cream_cheese,8,trace_cream_cheese_s8_w0_10_s20d_clean_seed0_job570000,D2_fresh25
cream_cheese,9,trace_cream_cheese_s9_w0_10_s20d_clean_seed0_job590100,D2_fresh25
ketchup,0,trace_ketchup_s0_w0_10_s20d_clean_seed0_job540100,D2_fresh25
ketchup,6,trace_ketchup_s6_w0_10_s20d_clean_seed0_job590200,D2_fresh25
milk,3,trace_milk_s3_w0_10_s20d_clean_seed0_job530000,D2_fresh25
milk,8,trace_milk_s8_w0_10_s20d_clean_seed0_job530000,D2_fresh25
orange_juice,0,trace_orange_juice_s0_w0_10_s20d_clean_seed0_job530100,D2_fresh25
salad_dressing,20,trace_salad_dressing_s20_w0_10_s20d_clean_seed0_job520000,D2_fresh25
salad_dressing,22,trace_salad_dressing_s22_w0_10_s20d_clean_seed0_job520000,D2_fresh25
salad_dressing,36,trace_salad_dressing_s36_w0_10_s20d_clean_seed0_job520000,D2_fresh25
tomato_sauce,9,trace_tomato_sauce_s9_w0_10_s20d_clean_seed0_job560000,D2_fresh25
tomato_sauce,30,trace_tomato_sauce_s30_w0_10_s20d_clean_seed0_job590200,D2_fresh25
tomato_sauce,48,trace_tomato_sauce_s48_w0_10_s20d_clean_seed0_job590200,D2_fresh25
alphabet_soup,5,trace_alphabet_soup_s5_w0_10_s20d_clean_seed0_job500000,in_exclusion_set
alphabet_soup,8,trace_alphabet_soup_s8_w0_10_s20d_clean_seed0_job540200,in_exclusion_set
alphabet_soup,9,trace_alphabet_soup_s9_w0_10_s20d_clean_seed0_job540200,in_exclusion_set
alphabet_soup,26,trace_alphabet_soup_s26_w0_10_s20d_clean_seed0_job590300,in_exclusion_set
alphabet_soup,39,trace_alphabet_soup_s39_w0_10_s20d_clean_seed0_job330030,in_exclusion_set
alphabet_soup,41,trace_alphabet_soup_s41_w0_10_s20d_clean_seed0_job330032,in_exclusion_set
alphabet_soup,42,trace_alphabet_soup_s42_w0_10_s20d_clean_seed0_job330033,in_exclusion_set
alphabet_soup,43,trace_alphabet_soup_s43_w0_10_s20d_clean_seed0_job330034,in_exclusion_set
alphabet_soup,47,trace_alphabet_soup_s47_w0_10_s20d_clean_seed0_job330038,in_exclusion_set
alphabet_soup,49,trace_alphabet_soup_s49_w0_10_s20d_clean_seed0_job330040,in_exclusion_set
bbq_sauce,39,trace_bbq_sauce_s39_w0_10_s20d_clean_seed0_job330070,in_exclusion_set
bbq_sauce,43,trace_bbq_sauce_s43_w0_10_s20d_clean_seed0_job330074,in_exclusion_set
bbq_sauce,45,trace_bbq_sauce_s45_w0_10_s20d_clean_seed0_job330076,in_exclusion_set
bbq_sauce,46,trace_bbq_sauce_s46_w0_10_s20d_clean_seed0_job330077,in_exclusion_set
butter,3,trace_butter_s3_w0_10_s20d_clean_seed0_job510100,in_exclusion_set
butter,6,trace_butter_s6_w0_10_s20d_clean_seed0_job590100,in_exclusion_set
butter,8,trace_butter_s8_w0_10_s20d_clean_seed0_job590100,in_exclusion_set
butter,40,trace_butter_s40_w0_10_s20d_clean_seed0_job330111,in_exclusion_set
butter,41,trace_butter_s41_w0_10_s20d_clean_seed0_job330112,in_exclusion_set
butter,42,trace_butter_s42_w0_10_s20d_clean_seed0_job330113,in_exclusion_set
butter,46,trace_butter_s46_w0_10_s20d_clean_seed0_job330117,in_exclusion_set
butter,48,trace_butter_s48_w0_10_s20d_clean_seed0_job330119,in_exclusion_set
chocolate_pudding,4,trace_chocolate_pudding_s4_w0_10_s20d_clean_seed0_job520100,in_exclusion_set
chocolate_pudding,5,trace_chocolate_pudding_s5_w0_10_s20d_clean_seed0_job520100,in_exclusion_set
chocolate_pudding,16,trace_chocolate_pudding_s16_w0_10_s20d_clean_seed0_job590000,in_exclusion_set
chocolate_pudding,46,trace_chocolate_pudding_s46_w0_10_s20d_clean_seed0_job330157,in_exclusion_set
chocolate_pudding,49,trace_chocolate_pudding_s49_w0_10_s20d_clean_seed0_job330160,in_exclusion_set
cream_cheese,0,trace_cream_cheese_s0_w0_10_s20d_clean_seed0_job540000,in_exclusion_set
cream_cheese,6,trace_cream_cheese_s6_w0_10_s20d_clean_seed0_job540000,in_exclusion_set
cream_cheese,8,trace_cream_cheese_s8_w0_10_s20d_clean_seed0_job570000,in_exclusion_set
cream_cheese,9,trace_cream_cheese_s9_w0_10_s20d_clean_seed0_job590100,in_exclusion_set
cream_cheese,33,trace_cream_cheese_s33_w0_10_s20d_clean_seed0_job330184,in_exclusion_set
cream_cheese,36,trace_cream_cheese_s36_w0_10_s20d_clean_seed0_job330187,in_exclusion_set
cream_cheese,38,trace_cream_cheese_s38_w0_10_s20d_clean_seed0_job330189,in_exclusion_set
cream_cheese,41,trace_cream_cheese_s41_w0_10_s20d_clean_seed0_job330192,in_exclusion_set
cream_cheese,43,trace_cream_cheese_s43_w0_10_s20d_clean_seed0_job330194,in_exclusion_set
ketchup,0,trace_ketchup_s0_w0_10_s20d_clean_seed0_job540100,in_exclusion_set
ketchup,6,trace_ketchup_s6_w0_10_s20d_clean_seed0_job590200,in_exclusion_set
ketchup,38,trace_ketchup_s38_w0_10_s20d_clean_seed0_job330229,in_exclusion_set
ketchup,41,trace_ketchup_s41_w0_10_s20d_clean_seed0_job330232,in_exclusion_set
ketchup,43,trace_ketchup_s43_w0_10_s20d_clean_seed0_job330234,in_exclusion_set
ketchup,45,trace_ketchup_s45_w0_10_s20d_clean_seed0_job330236,in_exclusion_set
ketchup,47,trace_ketchup_s47_w0_10_s20d_clean_seed0_job330238,in_exclusion_set
ketchup,48,trace_ketchup_s48_w0_10_s20d_clean_seed0_job330239,in_exclusion_set
ketchup,49,trace_ketchup_s49_w0_10_s20d_clean_seed0_job330240,in_exclusion_set
milk,3,trace_milk_s3_w0_10_s20d_clean_seed0_job530000,in_exclusion_set
milk,8,trace_milk_s8_w0_10_s20d_clean_seed0_job530000,in_exclusion_set
milk,39,trace_milk_s39_w0_10_s20d_clean_seed0_job330270,in_exclusion_set
milk,45,trace_milk_s45_w0_10_s20d_clean_seed0_job330276,in_exclusion_set
orange_juice,0,trace_orange_juice_s0_w0_10_s20d_clean_seed0_job530100,in_exclusion_set
orange_juice,37,trace_orange_juice_s37_w0_10_s20d_clean_seed0_job330308,in_exclusion_set
orange_juice,40,trace_orange_juice_s40_w0_10_s20d_clean_seed0_job330311,in_exclusion_set
orange_juice,43,trace_orange_juice_s43_w0_10_s20d_clean_seed0_job330314,in_exclusion_set
salad_dressing,20,trace_salad_dressing_s20_w0_10_s20d_clean_seed0_job520000,in_exclusion_set
salad_dressing,22,trace_salad_dressing_s22_w0_10_s20d_clean_seed0_job520000,in_exclusion_set
salad_dressing,31,trace_salad_dressing_s31_w0_10_s20d_clean_seed0_job330342,in_exclusion_set
salad_dressing,36,trace_salad_dressing_s36_w0_10_s20d_clean_seed0_job520000,in_exclusion_set
salad_dressing,38,trace_salad_dressing_s38_w0_10_s20d_clean_seed0_job330349,in_exclusion_set
salad_dressing,40,trace_salad_dressing_s40_w0_10_s20d_clean_seed0_job330351,in_exclusion_set
tomato_sauce,9,trace_tomato_sauce_s9_w0_10_s20d_clean_seed0_job560000,in_exclusion_set
tomato_sauce,30,trace_tomato_sauce_s30_w0_10_s20d_clean_seed0_job590200,in_exclusion_set
tomato_sauce,39,trace_tomato_sauce_s39_w0_10_s20d_clean_seed0_job330390,in_exclusion_set
tomato_sauce,40,trace_tomato_sauce_s40_w0_10_s20d_clean_seed0_job330391,in_exclusion_set
tomato_sauce,41,trace_tomato_sauce_s41_w0_10_s20d_clean_seed0_job330392,in_exclusion_set
tomato_sauce,42,trace_tomato_sauce_s42_w0_10_s20d_clean_seed0_job330393,in_exclusion_set
tomato_sauce,48,trace_tomato_sauce_s48_w0_10_s20d_clean_seed0_job590200,in_exclusion_set
