task_key,state_id,candidate_step,candidate_index,is_teacher_p,is_teacher_r,total_score,raw_crossing_bonus,close_streak_bonus,close_onset_qpos_bonus,eef_deceleration_bonus,qpos_ready_bonus,eef_speed_now,eef_speed_prev,close_onset,close_streak,qpos,raw_crossing,time_since_prev_close,disabled_features
chocolate_pudding,1,16,1,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.021925,0.018497,1,,-4.267e-05,1,4,
chocolate_pudding,1,18,2,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.01417,0.019985,1,,-9.267e-05,1,2,
ketchup,2,56,0,1,0,3.3,1.5,1.0,0.5,0.0,0.3,0.020838,0.021611,1,,-4.889e-05,1,,
ketchup,3,55,0,1,1,3.3,1.5,1.0,0.5,0.0,0.3,0.010016,0.015895,1,,-5.331e-05,1,,
ketchup,3,143,1,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.00727,0.00171,1,,-0.0001109,1,88,
ketchup,3,145,2,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.002268,0.005599,1,,-0.0001216,1,2,
alphabet_soup,2,55,0,1,1,3.3,1.5,1.0,0.5,0.0,0.3,0.032227,0.034182,1,,-0.0001201,1,,
alphabet_soup,1,62,0,0,1,3.3,1.5,1.0,0.5,0.0,0.3,0.016849,0.024047,1,,-0.0083546,1,,
alphabet_soup,1,64,1,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.010498,0.012896,1,,-0.0112998,1,2,
alphabet_soup,1,67,2,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.006389,0.005488,1,,-0.0149182,1,3,
alphabet_soup,1,84,3,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.019205,0.023023,1,,-6.89e-05,1,17,
alphabet_soup,1,89,4,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.002197,0.013136,1,,-8.084e-05,1,5,
alphabet_soup,1,93,5,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.001286,0.005525,1,,-6.808e-05,1,4,
alphabet_soup,1,95,6,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.005825,0.004975,1,,-7.225e-05,1,2,
alphabet_soup,1,97,7,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.00128,0.001784,1,,-4.375e-05,1,2,
alphabet_soup,1,100,8,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.007615,0.006854,1,,-4.721e-05,1,3,
alphabet_soup,1,122,9,1,0,3.3,1.5,1.0,0.5,0.0,0.3,0.025982,0.028724,1,,-9.275e-05,1,22,
