split,suite,task_idx,teacher_status,episode_count
val,libero_spatial,8,ELIGIBLE_EVENT,2
val,libero_spatial,9,ELIGIBLE_EVENT,1
val,libero_spatial,9,NO_RELEVANT_GRASP_EVENT,1
held_out,libero_10,0,NO_RELEVANT_GRASP_EVENT,3
held_out,libero_10,0,SUPPLEMENTARY_EVENT_ELIGIBLE,7
held_out,libero_10,1,SUPPLEMENTARY_EVENT_ELIGIBLE,10
held_out,libero_10,2,NO_RELEVANT_GRASP_EVENT,3
held_out,libero_10,2,SUPPLEMENTARY_EVENT_ELIGIBLE,7
held_out,libero_10,3,NO_RELEVANT_GRASP_EVENT,4
held_out,libero_10,3,SUPPLEMENTARY_EVENT_ELIGIBLE,6
held_out,libero_10,4,NO_RELEVANT_GRASP_EVENT,10
held_out,libero_10,5,TARGET_BINDING_AMBIGUOUS,10
held_out,libero_10,6,NO_RELEVANT_GRASP_EVENT,5
held_out,libero_10,6,SUPPLEMENTARY_EVENT_ELIGIBLE,5
held_out,libero_10,7,NO_RELEVANT_GRASP_EVENT,4
held_out,libero_10,7,SUPPLEMENTARY_EVENT_ELIGIBLE,6
held_out,libero_10,8,NO_RELEVANT_GRASP_EVENT,10
held_out,libero_10,9,NO_RELEVANT_GRASP_EVENT,10
held_out,libero_goal,0,CORRECT_SEMANTIC_ABSTAIN,10
held_out,libero_goal,1,ELIGIBLE_EVENT,10
held_out,libero_goal,2,ELIGIBLE_EVENT,7
held_out,libero_goal,2,NO_RELEVANT_GRASP_EVENT,3
held_out,libero_goal,3,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,10
held_out,libero_goal,4,ELIGIBLE_EVENT,10
held_out,libero_goal,5,CORRECT_SEMANTIC_ABSTAIN,10
held_out,libero_goal,6,ELIGIBLE_EVENT,6
held_out,libero_goal,6,NO_RELEVANT_GRASP_EVENT,4
held_out,libero_goal,7,CORRECT_SEMANTIC_ABSTAIN,10
held_out,libero_goal,8,ELIGIBLE_EVENT,8
held_out,libero_goal,8,NO_RELEVANT_GRASP_EVENT,2
held_out,libero_goal,9,ELIGIBLE_EVENT,7
held_out,libero_goal,9,NO_RELEVANT_GRASP_EVENT,3
held_out,libero_spatial,0,ELIGIBLE_EVENT,10
held_out,libero_spatial,1,ELIGIBLE_EVENT,9
held_out,libero_spatial,1,NO_RELEVANT_GRASP_EVENT,1
held_out,libero_spatial,2,ELIGIBLE_EVENT,8
held_out,libero_spatial,2,NO_RELEVANT_GRASP_EVENT,2
held_out,libero_spatial,3,ELIGIBLE_EVENT,10
held_out,libero_spatial,4,ELIGIBLE_EVENT,9
held_out,libero_spatial,4,NO_RELEVANT_GRASP_EVENT,1
held_out,libero_spatial,5,ELIGIBLE_EVENT,4
held_out,libero_spatial,5,NO_RELEVANT_GRASP_EVENT,6
held_out,libero_spatial,6,ELIGIBLE_EVENT,10
held_out,libero_spatial,7,ELIGIBLE_EVENT,9
held_out,libero_spatial,7,NO_RELEVANT_GRASP_EVENT,1
held_out,libero_spatial,8,ELIGIBLE_EVENT,7
held_out,libero_spatial,8,NO_RELEVANT_GRASP_EVENT,3
held_out,libero_spatial,9,ELIGIBLE_EVENT,7
held_out,libero_spatial,9,NO_RELEVANT_GRASP_EVENT,3
