diagnostic_cell_id,task_idx,state_id,perturbation_template,perturbation_seed,dx_m,dy_m,dyaw_rad,batch,usage,allow_training,allow_dev_selection,assigned_gpu
B_t4_s35_P4,4,35,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t4_s36_P1,4,36,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t4_s37_P2,4,37,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t5_s28_P2,5,28,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t5_s29_P3,5,29,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t5_s30_P4,5,30,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t5_s31_P1,5,31,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t5_s32_P2,5,32,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t5_s33_P3,5,33,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t5_s34_P4,5,34,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t5_s35_P1,5,35,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t5_s36_P2,5,36,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t5_s37_P3,5,37,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t6_s28_P3,6,28,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t6_s29_P4,6,29,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t6_s30_P1,6,30,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t6_s31_P2,6,31,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t6_s32_P3,6,32,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t6_s33_P4,6,33,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t6_s34_P1,6,34,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t6_s35_P2,6,35,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t6_s36_P3,6,36,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t6_s37_P4,6,37,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t7_s28_P4,7,28,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t7_s29_P1,7,29,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t7_s30_P2,7,30,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t7_s31_P3,7,31,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t7_s32_P4,7,32,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t7_s33_P1,7,33,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t7_s34_P2,7,34,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t7_s35_P3,7,35,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t7_s36_P4,7,36,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t7_s37_P1,7,37,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t8_s28_P1,8,28,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t8_s29_P2,8,29,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t8_s30_P3,8,30,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t8_s31_P4,8,31,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t8_s32_P1,8,32,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t8_s33_P2,8,33,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t8_s34_P3,8,34,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t8_s35_P4,8,35,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t8_s36_P1,8,36,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t8_s37_P2,8,37,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t9_s28_P2,9,28,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t9_s29_P3,9,29,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t9_s30_P4,9,30,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t9_s31_P1,9,31,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t9_s32_P2,9,32,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t9_s33_P3,9,33,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t9_s34_P4,9,34,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t9_s35_P1,9,35,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t9_s36_P2,9,36,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t9_s37_P3,9,37,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,4
C_t0_s28_P7,0,28,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,5
C_t0_s29_P6,0,29,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,6
C_t0_s30_P5,0,30,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,7
C_t0_s31_P7,0,31,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,1
C_t0_s32_P6,0,32,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,2
C_t0_s33_P5,0,33,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,3
C_t0_s34_P7,0,34,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,4
C_t0_s35_P6,0,35,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,5
C_t0_s36_P5,0,36,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,6
C_t0_s37_P7,0,37,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,7
C_t1_s28_P5,1,28,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,1
C_t1_s29_P7,1,29,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,2
C_t1_s30_P6,1,30,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,3
C_t1_s31_P5,1,31,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,4
C_t1_s32_P7,1,32,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,5
C_t1_s33_P6,1,33,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,6
C_t1_s34_P5,1,34,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,7
C_t1_s35_P7,1,35,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,1
C_t1_s36_P6,1,36,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,2
C_t1_s37_P5,1,37,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,3
C_t2_s28_P6,2,28,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,4
C_t2_s29_P5,2,29,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,5
C_t2_s30_P7,2,30,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,6
C_t2_s31_P6,2,31,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,7
C_t2_s32_P5,2,32,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,1
C_t2_s33_P7,2,33,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,2
C_t2_s34_P6,2,34,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,3
C_t2_s35_P5,2,35,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,4
C_t2_s36_P7,2,36,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,5
C_t2_s37_P6,2,37,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,6
C_t3_s28_P7,3,28,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,7
C_t3_s29_P6,3,29,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,1
C_t3_s30_P5,3,30,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,2
C_t3_s31_P7,3,31,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,3
C_t3_s32_P6,3,32,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,4
C_t3_s33_P5,3,33,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,5
C_t3_s34_P7,3,34,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,6
C_t3_s35_P6,3,35,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,7
C_t3_s36_P5,3,36,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,1
C_t3_s37_P7,3,37,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,2
