candidate_step,candidate_index,is_teacher_p,distance_to_p,total_score,raw_crossing,close_onset,close_streak,qpos,eef_speed_now,eef_speed_prev,eef_deceleration_delta,time_since_prev_close,time_since_last_open,trace_id,task_key,state_id
57,0,0,-76,3.3,1,1,1,-0.000767,0.010976,0.011839,-0.000863,,,trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13
93,1,0,-40,3.8,1,1,1,-0.001476,0.00125,0.001458,-0.000208,36,,trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13
133,2,1,0,3.3,1,1,1,-0.000935,0.000933,0.00092,1.3e-05,40,,trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13
137,3,0,4,3.3,1,1,1,-0.003911,0.002196,0.002165,3.1e-05,4,,trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13
225,4,0,92,3.8,1,1,1,-0.000675,0.006219,0.009676,-0.003457,88,,trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13
229,5,0,96,3.3,1,1,1,-0.000608,0.005535,0.00553,5e-06,4,,trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13
233,6,0,100,3.3,1,1,1,-0.00054,0.002785,0.002758,2.7e-05,4,,trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13
241,7,0,108,3.8,1,1,1,-0.000399,0.000788,0.001551,-0.000763,8,,trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13
270,8,0,137,3.3,1,1,1,0.000292,0.001004,0.000438,0.000566,29,,trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13
274,9,0,141,3.3,1,1,1,0.000389,0.00214,0.001628,0.000512,4,,trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13
48,0,1,0,3.8,1,1,1,-0.010002,0.00937,0.010609,-0.001239,,,trace_alphabet_soup_s14_w0_10_s20d_clean_seed0_job330005,alphabet_soup,14
66,1,0,18,3.3,1,1,1,-4.3e-05,0.020357,0.024997,-0.00464,18,,trace_alphabet_soup_s14_w0_10_s20d_clean_seed0_job330005,alphabet_soup,14
73,2,0,25,3.3,1,1,1,-5.3e-05,0.018795,0.011337,0.007458,7,,trace_alphabet_soup_s14_w0_10_s20d_clean_seed0_job330005,alphabet_soup,14
87,3,0,39,3.3,1,1,1,-9.7e-05,0.028665,0.029021,-0.000356,14,,trace_alphabet_soup_s14_w0_10_s20d_clean_seed0_job330005,alphabet_soup,14
73,0,0,-42,3.8,1,1,1,-0.018691,0.009685,0.0104,-0.000715,,,trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15
79,1,0,-36,3.8,1,1,1,-0.001542,0.002277,0.011555,-0.009278,6,,trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15
85,2,0,-30,3.3,1,1,1,-2.1e-05,0.013207,0.015831,-0.002624,6,,trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15
94,3,0,-21,3.3,1,1,1,7e-06,0.011005,0.022511,-0.011506,9,,trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15
99,4,0,-16,3.3,1,1,1,3e-06,0.009308,0.008011,0.001297,5,,trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15
115,5,1,0,3.3,1,1,1,-3.2e-05,0.021878,0.02224,-0.000362,16,,trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15
195,6,0,80,3.3,1,1,1,5.8e-05,0.019101,0.017533,0.001568,80,,trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15
197,7,0,82,3.8,1,1,1,5.3e-05,0.004258,0.013446,-0.009188,2,,trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15
207,8,0,92,3.3,1,1,1,-3.4e-05,0.008934,0.008164,0.00077,10,,trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15
60,0,1,0,3.3,1,1,1,2e-06,0.025316,0.026715,-0.001399,,,trace_alphabet_soup_s16_w0_10_s20d_clean_seed0_job330007,alphabet_soup,16
64,1,0,4,3.3,1,1,1,0.000107,0.014859,0.015702,-0.000843,4,,trace_alphabet_soup_s16_w0_10_s20d_clean_seed0_job330007,alphabet_soup,16
49,0,1,0,3.3,1,1,1,0.000153,0.024386,0.027052,-0.002666,,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
166,1,0,117,2.8,1,1,1,0.007693,0.004748,0.002391,0.002357,117,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
170,2,0,121,3.3,1,1,1,0.007243,0.000806,0.002596,-0.00179,4,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
172,3,0,123,2.8,1,1,1,0.007131,0.00071,0.000108,0.000602,2,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
176,4,0,127,3.3,1,1,1,0.006559,0.008019,0.01117,-0.003151,4,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
182,5,0,133,3.3,1,1,1,0.006019,0.000878,0.002097,-0.001219,6,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
186,6,0,137,3.3,1,1,1,0.005349,0.002917,0.00307,-0.000153,4,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
190,7,0,141,3.8,1,1,1,0.004849,0.001741,0.002216,-0.000475,4,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
195,8,0,146,3.8,1,1,1,0.004851,0.000883,0.001356,-0.000473,5,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
201,9,0,152,3.3,1,1,1,0.002691,6.7e-05,5.4e-05,1.3e-05,6,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
244,10,0,195,3.3,1,1,1,0.001765,0.000731,6.9e-05,0.000662,43,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
255,11,0,206,3.3,1,1,1,0.001738,6.8e-05,6.7e-05,1e-06,11,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
259,12,0,210,3.3,1,1,1,0.001623,6.8e-05,6.7e-05,1e-06,4,,trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17
61,0,1,0,3.3,1,1,1,-9.8e-05,0.029957,0.031142,-0.001185,,,trace_alphabet_soup_s18_w0_10_s20d_clean_seed0_job330009,alphabet_soup,18
63,1,0,2,3.3,1,1,1,0.000123,0.022839,0.027612,-0.004773,2,,trace_alphabet_soup_s18_w0_10_s20d_clean_seed0_job330009,alphabet_soup,18
141,2,0,80,3.8,1,1,1,0.002797,0.009013,0.018556,-0.009543,78,,trace_alphabet_soup_s18_w0_10_s20d_clean_seed0_job330009,alphabet_soup,18
143,3,0,82,3.3,1,1,1,0.002792,0.004312,0.000897,0.003415,2,,trace_alphabet_soup_s18_w0_10_s20d_clean_seed0_job330009,alphabet_soup,18
151,4,0,90,3.8,1,1,1,0.002772,0.004323,0.009946,-0.005623,8,,trace_alphabet_soup_s18_w0_10_s20d_clean_seed0_job330009,alphabet_soup,18
154,5,0,93,3.3,1,1,1,0.002632,0.005873,0.005287,0.000586,3,,trace_alphabet_soup_s18_w0_10_s20d_clean_seed0_job330009,alphabet_soup,18
156,6,0,95,3.8,1,1,1,0.002307,0.002352,0.002904,-0.000552,2,,trace_alphabet_soup_s18_w0_10_s20d_clean_seed0_job330009,alphabet_soup,18
13,0,0,-45,3.3,1,1,1,-8.2e-05,0.013503,0.007777,0.005726,,,trace_alphabet_soup_s19_w0_10_s20d_clean_seed0_job330010,alphabet_soup,19
58,1,1,0,3.3,1,1,1,-7.7e-05,0.025745,0.026093,-0.000348,45,,trace_alphabet_soup_s19_w0_10_s20d_clean_seed0_job330010,alphabet_soup,19
54,0,1,0,3.3,1,1,1,-1e-06,0.028968,0.029629,-0.000661,,,trace_alphabet_soup_s20_w0_10_s20d_clean_seed0_job330011,alphabet_soup,20
140,0,1,0,3.3,1,1,1,-2.5e-05,0.032355,0.034124,-0.001769,,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
168,1,0,28,3.3,1,1,1,-0.000419,0.012745,0.023731,-0.010986,28,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
191,2,0,51,3.3,1,1,1,-0.000155,0.029745,0.034296,-0.004551,23,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
210,3,0,70,3.8,1,1,1,-0.000256,0.00572,0.00975,-0.00403,19,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
220,4,0,80,3.3,1,1,1,-0.000101,0.032172,0.028744,0.003428,10,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
239,5,0,99,3.3,1,1,1,-0.000205,0.02154,0.029655,-0.008115,19,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
241,6,0,101,3.8,1,1,1,-0.000199,0.007216,0.01236,-0.005144,2,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
246,7,0,106,3.3,1,1,1,-0.000231,0.013745,0.011281,0.002464,5,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
253,8,0,113,3.3,1,1,1,-0.000213,0.022462,0.0229,-0.000438,7,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
255,9,0,115,3.3,1,1,1,-0.000181,0.016435,0.018062,-0.001627,2,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
272,10,0,132,3.8,1,1,1,-0.000207,0.000135,0.000159,-2.4e-05,17,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
277,11,0,137,3.8,1,1,1,-0.000206,5.5e-05,0.000225,-0.00017,5,,trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21
70,0,1,0,3.3,1,1,1,8.9e-05,0.022658,0.017226,0.005432,,,trace_alphabet_soup_s22_w0_10_s20d_clean_seed0_job330013,alphabet_soup,22
149,1,0,79,3.8,1,1,1,0.003856,0.008099,0.017261,-0.009162,79,,trace_alphabet_soup_s22_w0_10_s20d_clean_seed0_job330013,alphabet_soup,22
154,2,0,84,3.8,1,1,1,0.003865,0.005934,0.009324,-0.00339,5,,trace_alphabet_soup_s22_w0_10_s20d_clean_seed0_job330013,alphabet_soup,22
164,3,0,94,3.8,1,1,1,0.001523,0.000469,0.002175,-0.001706,10,,trace_alphabet_soup_s22_w0_10_s20d_clean_seed0_job330013,alphabet_soup,22
16,0,0,-45,3.3,1,1,1,-5e-05,0.007945,0.004523,0.003422,,,trace_alphabet_soup_s24_w0_10_s20d_clean_seed0_job330015,alphabet_soup,24
61,1,1,0,3.3,1,1,1,-8.4e-05,0.031293,0.03273,-0.001437,45,,trace_alphabet_soup_s24_w0_10_s20d_clean_seed0_job330015,alphabet_soup,24
63,2,0,2,3.3,1,1,1,-1.3e-05,0.027174,0.029004,-0.00183,2,,trace_alphabet_soup_s24_w0_10_s20d_clean_seed0_job330015,alphabet_soup,24
146,3,0,85,3.8,1,1,1,0.001338,0.007605,0.015188,-0.007583,83,,trace_alphabet_soup_s24_w0_10_s20d_clean_seed0_job330015,alphabet_soup,24
151,4,0,90,3.8,1,1,1,0.001039,0.001228,0.002316,-0.001088,5,,trace_alphabet_soup_s24_w0_10_s20d_clean_seed0_job330015,alphabet_soup,24
71,0,1,0,3.3,1,1,1,4e-06,0.018573,0.025923,-0.00735,,,trace_alphabet_soup_s25_w0_10_s20d_clean_seed0_job330016,alphabet_soup,25
118,1,0,47,3.3,1,1,1,0.000168,0.027328,0.032732,-0.005404,47,,trace_alphabet_soup_s25_w0_10_s20d_clean_seed0_job330016,alphabet_soup,25
54,0,0,-64,3.3,1,1,1,0.000446,0.018496,0.024914,-0.006418,,,trace_alphabet_soup_s27_w0_10_s20d_clean_seed0_job330018,alphabet_soup,27
68,1,0,-50,3.3,1,1,1,-1.4e-05,0.019427,0.027758,-0.008331,14,,trace_alphabet_soup_s27_w0_10_s20d_clean_seed0_job330018,alphabet_soup,27
83,2,0,-35,3.3,1,1,1,-2.2e-05,0.012547,0.020303,-0.007756,15,,trace_alphabet_soup_s27_w0_10_s20d_clean_seed0_job330018,alphabet_soup,27
86,3,0,-32,3.3,1,1,1,-9.9e-05,0.01467,0.011626,0.003044,3,,trace_alphabet_soup_s27_w0_10_s20d_clean_seed0_job330018,alphabet_soup,27
88,4,0,-30,3.8,1,1,1,-3.5e-05,0.007821,0.01199,-0.004169,2,,trace_alphabet_soup_s27_w0_10_s20d_clean_seed0_job330018,alphabet_soup,27
