episode_key,task_name,state_id,B0_success,D1_success,B0_steps,D1_steps,B0_emit,D1_emit,delta_steps,delta_emit,outcome,B0_telemetry_sha,D1_telemetry_sha,B0_summary_sha,D1_summary_sha
ketchup_s0,pick_up_the_ketchup_and_place_it_in_the_basket,0,True,True,154,176,89,86,22,-3,BOTH_SUCCESS,87fa906d04cf2336,22de329a8d535b0e,17a449b8ceb0dd58,4740731d000e0851
ketchup_s1,pick_up_the_ketchup_and_place_it_in_the_basket,1,True,True,134,137,83,82,3,-1,BOTH_SUCCESS,c2653a3271588652,f7723e3542fc4029,e76bbd782c22e8fb,712273547b684ceb
ketchup_s2,pick_up_the_ketchup_and_place_it_in_the_basket,2,True,True,152,140,87,85,-12,-2,BOTH_SUCCESS,70343c2c948fd429,f21388ae9f02bbae,cf610884f3f9e4d4,84c85ffccc6b6da7
milk_s0,pick_up_the_milk_and_place_it_in_the_basket,0,True,True,125,130,75,74,5,-1,BOTH_SUCCESS,399360933740098b,fd9296ccea765e8c,65fb4e3c247c9401,88a0286313acc527
milk_s1,pick_up_the_milk_and_place_it_in_the_basket,1,True,True,125,140,73,81,15,8,BOTH_SUCCESS,ef5d1837dddeed7c,9640dfed01c407a8,108db877640eb1d9,004fee66d09f2fed
milk_s2,pick_up_the_milk_and_place_it_in_the_basket,2,True,True,168,247,94,184,79,90,BOTH_SUCCESS,80fd5ca37cde4c49,6101687d4a11f13a,39f845a214d5bb5f,3ebf5467e97f1508
orange_juice_s0,pick_up_the_orange_juice_and_place_it_in_the_basket,0,True,True,136,119,82,72,-17,-10,BOTH_SUCCESS,0b203ad6dc7d2c5c,32ab8e4430633a12,e6688f475dcdffe8,d9dd5d9da10c694b
orange_juice_s1,pick_up_the_orange_juice_and_place_it_in_the_basket,1,True,True,111,117,63,66,6,3,BOTH_SUCCESS,020a9dd4b2108fdf,06821a6b8124029e,67c724bc9e060ce6,e541c69b9032da8b
orange_juice_s2,pick_up_the_orange_juice_and_place_it_in_the_basket,2,False,True,400,138,-1,87,-262,88,D1_ONLY,d883616d946c6201,4aa636a96fd80795,fcdca392c0ba9fa6,e33f10e95a125d66
salad_dressing_s0,pick_up_the_salad_dressing_and_place_it_in_the_basket,0,True,True,121,132,76,83,11,7,BOTH_SUCCESS,1f2617add48f1ba9,9c343ad299421789,da74caaf280a910f,225d9a602fa4d30d
salad_dressing_s1,pick_up_the_salad_dressing_and_place_it_in_the_basket,1,True,True,124,120,82,80,-4,-2,BOTH_SUCCESS,c48a4fcfea5678d4,0f887ceebfc986ae,1009425b3c8033c9,0f64f4ece8481394
salad_dressing_s2,pick_up_the_salad_dressing_and_place_it_in_the_basket,2,True,True,131,130,84,83,-1,-1,BOTH_SUCCESS,8c035357defd833b,10719fdf668e757c,9feacf893d90e3cc,adf4c52d98d75fc4
tomato_sauce_s0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,False,True,400,154,-1,107,-246,108,D1_ONLY,1efc90f0958af1cf,2d93747c25af2815,cfd38dde3133abcc,1fb3eadfbe263f03
tomato_sauce_s1,pick_up_the_tomato_sauce_and_place_it_in_the_basket,1,True,True,135,135,78,78,0,0,BOTH_SUCCESS,01b13707b33966bd,ea369c971ca2e68b,0d8b157f2db46645,9681769fc4e22f1c
tomato_sauce_s2,pick_up_the_tomato_sauce_and_place_it_in_the_basket,2,True,True,216,186,162,120,-30,-42,BOTH_SUCCESS,eb7a67dc86e7c0a5,1e443133f8bb4252,4cadcec1c346b368,63cc49cdd595fb15
