trace_id,prod_n_cands,batch_n_cands,step_mismatch,feat_mismatch,norm_feat_mismatches,max_norm_feat_diff,mlp_score_mismatches,max_mlp_score_diff,emit_match,prod_emit,batch_emit,status
trace_ketchup_s47_w0_10_s20d_clean_seed0_job330238,6,6,0,0,0,0.0,0,3.86642e-07,True,-1,-1,OK
trace_ketchup_s48_w0_10_s20d_clean_seed0_job330239,4,4,0,0,0,0.0,0,3.4647e-07,True,-1,-1,OK
trace_ketchup_s49_w0_10_s20d_clean_seed0_job330240,4,4,0,0,0,0.0,0,3.55487e-07,True,-1,-1,OK
trace_ketchup_s6_w0_10_s20d_clean_seed0_job590200,6,6,0,0,0,0.0,0,3.94428e-07,True,132,132,OK
trace_milk_s3_w0_10_s20d_clean_seed0_job530000,3,3,0,0,0,0.0,0,4.03332e-07,True,54,54,OK
trace_milk_s45_w0_10_s20d_clean_seed0_job330276,2,2,0,0,0,0.0,0,4.4698e-07,True,52,52,OK
trace_milk_s8_w0_10_s20d_clean_seed0_job530000,9,9,0,0,0,0.0,0,4.9152e-07,True,-1,-1,OK
trace_orange_juice_s0_w0_10_s20d_clean_seed0_job530100,5,5,0,0,0,0.0,0,4.10683e-07,True,-1,-1,OK
trace_orange_juice_s43_w0_10_s20d_clean_seed0_job330314,3,3,0,0,0,0.0,0,1.73328e-07,True,-1,-1,OK
trace_salad_dressing_s20_w0_10_s20d_clean_seed0_job520000,2,2,0,0,0,0.0,0,3.61069e-07,True,-1,-1,OK
trace_salad_dressing_s22_w0_10_s20d_clean_seed0_job520000,2,2,0,0,0,0.0,0,3.12519e-07,True,-1,-1,OK
trace_salad_dressing_s36_w0_10_s20d_clean_seed0_job520000,2,2,0,0,0,0.0,0,7.431e-08,True,55,55,OK
trace_salad_dressing_s38_w0_10_s20d_clean_seed0_job330349,3,3,0,0,0,0.0,0,4.84547e-07,True,64,64,OK
trace_salad_dressing_s40_w0_10_s20d_clean_seed0_job330351,3,3,0,0,0,0.0,0,4.00406e-07,True,46,46,OK
trace_tomato_sauce_s30_w0_10_s20d_clean_seed0_job590200,4,4,0,0,0,0.0,0,3.80932e-07,True,59,59,OK
trace_tomato_sauce_s41_w0_10_s20d_clean_seed0_job330392,2,2,0,0,0,0.0,0,4.75262e-07,True,64,64,OK
trace_tomato_sauce_s42_w0_10_s20d_clean_seed0_job330393,2,2,0,0,0,0.0,0,2.0343e-07,True,59,59,OK
trace_tomato_sauce_s48_w0_10_s20d_clean_seed0_job590200,29,29,0,0,0,0.0,0,4.66381e-07,True,68,68,OK
trace_tomato_sauce_s9_w0_10_s20d_clean_seed0_job560000,2,2,0,0,0,0.0,0,3.90574e-07,True,63,63,OK
