job_id,suite,task_idx,evaluation_seed,condition,arm_lock,objective_id,n_steps,task_success,attack_frames,bridge_sha,mlp_emit,telemetry_size,status
p8_libero_10_t01_e42_prefix_nolock,libero_10,1,42,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,76,643678,PASS
p8_libero_10_t01_e42_random,libero_10,1,42,RANDOM,False,,258,True,10,84d1242554782952,76,406816,PASS
p8_libero_10_t01_e42_tma_armlock,libero_10,1,42,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,76,636925,PASS
p8_libero_10_t01_e42_tma_nolock,libero_10,1,42,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,76,638660,PASS
p8_libero_10_t01_e42_untargeted_ce,libero_10,1,42,UNTARGETED_CE,False,untargeted_clean_token_ce,253,True,10,84d1242554782952,76,406115,PASS
p8_libero_10_t01_e456_clean,libero_10,1,456,CLEAN,False,,262,True,0,84d1242554782952,70,405603,PASS
p8_libero_10_t01_e456_prefix_armlock,libero_10,1,456,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,313,True,10,84d1242554782952,70,501314,PASS
p8_libero_10_t01_e456_prefix_nolock,libero_10,1,456,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,288,True,10,84d1242554782952,70,464892,PASS
p8_libero_10_t01_e456_random,libero_10,1,456,RANDOM,False,,268,True,10,84d1242554782952,70,419226,PASS
p8_libero_10_t01_e456_tma_armlock,libero_10,1,456,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,70,635095,PASS
p8_libero_10_t01_e456_tma_nolock,libero_10,1,456,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,370,True,10,84d1242554782952,70,574216,PASS
p8_libero_10_t01_e456_untargeted_ce,libero_10,1,456,UNTARGETED_CE,False,untargeted_clean_token_ce,400,False,10,84d1242554782952,70,624547,PASS
p8_libero_10_t02_e123_clean,libero_10,2,123,CLEAN,False,,400,False,0,84d1242554782952,-1,754549,PASS
p8_libero_10_t02_e123_prefix_armlock,libero_10,2,123,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,779354,PASS
p8_libero_10_t02_e123_prefix_nolock,libero_10,2,123,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,779366,PASS
p8_libero_10_t02_e123_random,libero_10,2,123,RANDOM,False,,400,False,5,84d1242554782952,395,743921,PASS
p8_libero_10_t02_e123_tma_armlock,libero_10,2,123,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,766976,PASS
p8_libero_10_t02_e123_tma_nolock,libero_10,2,123,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,243,True,0,84d1242554782952,-1,458042,PASS
p8_libero_10_t02_e123_untargeted_ce,libero_10,2,123,UNTARGETED_CE,False,untargeted_clean_token_ce,400,False,0,84d1242554782952,-1,766174,PASS
p8_libero_10_t02_e42_clean,libero_10,2,42,CLEAN,False,,379,True,0,84d1242554782952,334,682733,PASS
p8_libero_10_t02_e42_prefix_armlock,libero_10,2,42,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,784488,PASS
p8_libero_10_t02_e42_prefix_nolock,libero_10,2,42,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,248,True,0,84d1242554782952,-1,474928,PASS
p8_libero_10_t02_e42_random,libero_10,2,42,RANDOM,False,,225,True,0,84d1242554782952,-1,416635,PASS
p8_libero_10_t02_e42_tma_armlock,libero_10,2,42,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,772064,PASS
p8_libero_10_t02_e42_tma_nolock,libero_10,2,42,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,772076,PASS
p8_libero_10_t02_e42_untargeted_ce,libero_10,2,42,UNTARGETED_CE,False,untargeted_clean_token_ce,400,False,0,84d1242554782952,-1,771289,PASS
p8_libero_10_t02_e456_clean,libero_10,2,456,CLEAN,False,,298,True,0,84d1242554782952,-1,556274,PASS
p8_libero_10_t02_e456_prefix_armlock,libero_10,2,456,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,311,True,0,84d1242554782952,-1,599134,PASS
p8_libero_10_t02_e456_prefix_nolock,libero_10,2,456,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,312,True,0,84d1242554782952,-1,603405,PASS
p8_libero_10_t02_e456_random,libero_10,2,456,RANDOM,False,,312,True,0,84d1242554782952,-1,585928,PASS
p8_libero_10_t02_e456_tma_armlock,libero_10,2,456,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,348,True,10,84d1242554782952,324,654066,PASS
p8_libero_10_t02_e456_tma_nolock,libero_10,2,456,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,356,746579,PASS
p8_libero_10_t02_e456_untargeted_ce,libero_10,2,456,UNTARGETED_CE,False,untargeted_clean_token_ce,327,True,0,84d1242554782952,-1,619199,PASS
p8_libero_10_t03_e123_clean,libero_10,3,123,CLEAN,False,,222,True,0,84d1242554782952,-1,417992,PASS
p8_libero_10_t03_e123_prefix_armlock,libero_10,3,123,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,222,True,0,84d1242554782952,-1,431745,PASS
p8_libero_10_t03_e123_prefix_nolock,libero_10,3,123,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,222,True,0,84d1242554782952,-1,431750,PASS
p8_libero_10_t03_e123_random,libero_10,3,123,RANDOM,False,,222,True,0,84d1242554782952,-1,419318,PASS
p8_libero_10_t03_e123_tma_armlock,libero_10,3,123,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,222,True,0,84d1242554782952,-1,424878,PASS
p8_libero_10_t03_e123_tma_nolock,libero_10,3,123,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,222,True,0,84d1242554782952,-1,424857,PASS
p8_libero_10_t03_e123_untargeted_ce,libero_10,3,123,UNTARGETED_CE,False,untargeted_clean_token_ce,222,True,0,84d1242554782952,-1,424434,PASS
p8_libero_10_t03_e42_clean,libero_10,3,42,CLEAN,False,,400,False,0,84d1242554782952,-1,754763,PASS
p8_libero_10_t03_e42_prefix_armlock,libero_10,3,42,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,779544,PASS
p8_libero_10_t03_e42_prefix_nolock,libero_10,3,42,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,779565,PASS
p8_libero_10_t03_e42_random,libero_10,3,42,RANDOM,False,,400,False,0,84d1242554782952,-1,757151,PASS
p8_libero_10_t03_e42_tma_armlock,libero_10,3,42,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,767148,PASS
p8_libero_10_t03_e42_tma_nolock,libero_10,3,42,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,767160,PASS
p8_libero_10_t03_e42_untargeted_ce,libero_10,3,42,UNTARGETED_CE,False,untargeted_clean_token_ce,400,False,0,84d1242554782952,-1,766375,PASS
p8_libero_10_t03_e456_clean,libero_10,3,456,CLEAN,False,,233,True,0,84d1242554782952,-1,438632,PASS
p8_libero_10_t03_e456_prefix_armlock,libero_10,3,456,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,233,True,0,84d1242554782952,-1,453058,PASS
p8_libero_10_t03_e456_prefix_nolock,libero_10,3,456,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,233,True,0,84d1242554782952,-1,453084,PASS
p8_libero_10_t03_e456_random,libero_10,3,456,RANDOM,False,,233,True,0,84d1242554782952,-1,440035,PASS
p8_libero_10_t03_e456_tma_armlock,libero_10,3,456,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,233,True,0,84d1242554782952,-1,445851,PASS
p8_libero_10_t03_e456_tma_nolock,libero_10,3,456,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,233,True,0,84d1242554782952,-1,445850,PASS
p8_libero_10_t03_e456_untargeted_ce,libero_10,3,456,UNTARGETED_CE,False,untargeted_clean_token_ce,233,True,0,84d1242554782952,-1,445366,PASS
p8_libero_10_t04_e123_clean,libero_10,4,123,CLEAN,False,,400,False,0,84d1242554782952,-1,763307,PASS
p8_libero_10_t04_e123_prefix_armlock,libero_10,4,123,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,788096,PASS
p8_libero_10_t04_e123_prefix_nolock,libero_10,4,123,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,788108,PASS
p8_libero_10_t04_e123_random,libero_10,4,123,RANDOM,False,,400,False,0,84d1242554782952,-1,765687,PASS
p8_libero_10_t04_e123_tma_armlock,libero_10,4,123,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,775694,PASS
p8_libero_10_t04_e123_tma_nolock,libero_10,4,123,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,775691,PASS
p8_libero_10_t04_e123_untargeted_ce,libero_10,4,123,UNTARGETED_CE,False,untargeted_clean_token_ce,400,False,0,84d1242554782952,-1,774913,PASS
p8_libero_10_t04_e42_clean,libero_10,4,42,CLEAN,False,,400,False,0,84d1242554782952,-1,773089,PASS
p8_libero_10_t04_e42_prefix_armlock,libero_10,4,42,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,797914,PASS
p8_libero_10_t04_e42_prefix_nolock,libero_10,4,42,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,797904,PASS
p8_libero_10_t04_e42_random,libero_10,4,42,RANDOM,False,,400,False,0,84d1242554782952,-1,775498,PASS
p8_libero_10_t04_e42_tma_armlock,libero_10,4,42,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,785475,PASS
p8_libero_10_t04_e42_tma_nolock,libero_10,4,42,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,785496,PASS
p8_libero_10_t04_e42_untargeted_ce,libero_10,4,42,UNTARGETED_CE,False,untargeted_clean_token_ce,400,False,0,84d1242554782952,-1,784680,PASS
p8_libero_10_t04_e456_clean,libero_10,4,456,CLEAN,False,,280,True,0,84d1242554782952,-1,532985,PASS
p8_libero_10_t04_e456_prefix_armlock,libero_10,4,456,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,280,True,0,84d1242554782952,-1,550351,PASS
p8_libero_10_t04_e456_prefix_nolock,libero_10,4,456,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,280,True,0,84d1242554782952,-1,550334,PASS
p8_libero_10_t04_e456_random,libero_10,4,456,RANDOM,False,,280,True,0,84d1242554782952,-1,534629,PASS
p8_libero_10_t04_e456_tma_armlock,libero_10,4,456,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,280,True,0,84d1242554782952,-1,541659,PASS
p8_libero_10_t04_e456_tma_nolock,libero_10,4,456,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,280,True,0,84d1242554782952,-1,541650,PASS
p8_libero_10_t04_e456_untargeted_ce,libero_10,4,456,UNTARGETED_CE,False,untargeted_clean_token_ce,280,True,0,84d1242554782952,-1,541105,PASS
p8_libero_10_t05_e123_clean,libero_10,5,123,CLEAN,False,,400,False,0,84d1242554782952,-1,743065,PASS
p8_libero_10_t05_e123_prefix_armlock,libero_10,5,123,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,767844,PASS
p8_libero_10_t05_e123_prefix_nolock,libero_10,5,123,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,767850,PASS
p8_libero_10_t05_e123_random,libero_10,5,123,RANDOM,False,,400,False,0,84d1242554782952,-1,745438,PASS
p8_libero_10_t05_e123_tma_armlock,libero_10,5,123,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,755452,PASS
p8_libero_10_t05_e123_tma_nolock,libero_10,5,123,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,0,84d1242554782952,-1,755445,PASS
p8_libero_10_t05_e123_untargeted_ce,libero_10,5,123,UNTARGETED_CE,False,untargeted_clean_token_ce,400,False,0,84d1242554782952,-1,754672,PASS
p8_libero_10_t05_e42_clean,libero_10,5,42,CLEAN,False,,199,True,0,84d1242554782952,-1,368568,PASS
p8_libero_10_t05_e42_prefix_armlock,libero_10,5,42,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,199,True,0,84d1242554782952,-1,380899,PASS
p8_libero_10_t05_e42_prefix_nolock,libero_10,5,42,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,199,True,0,84d1242554782952,-1,380882,PASS
p8_libero_10_t05_e42_random,libero_10,5,42,RANDOM,False,,199,True,0,84d1242554782952,-1,369766,PASS
p8_libero_10_t05_e42_tma_armlock,libero_10,5,42,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,199,True,0,84d1242554782952,-1,374733,PASS
p8_libero_10_t05_e42_tma_nolock,libero_10,5,42,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,199,True,0,84d1242554782952,-1,374724,PASS
p8_libero_10_t05_e42_untargeted_ce,libero_10,5,42,UNTARGETED_CE,False,untargeted_clean_token_ce,199,True,0,84d1242554782952,-1,374327,PASS
p8_libero_10_t05_e456_clean,libero_10,5,456,CLEAN,False,,286,True,0,84d1242554782952,-1,525661,PASS
p8_libero_10_t05_e456_prefix_armlock,libero_10,5,456,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,286,True,0,84d1242554782952,-1,543395,PASS
p8_libero_10_t05_e456_prefix_nolock,libero_10,5,456,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,286,True,0,84d1242554782952,-1,543388,PASS
p8_libero_10_t05_e456_random,libero_10,5,456,RANDOM,False,,286,True,0,84d1242554782952,-1,527368,PASS
p8_libero_10_t05_e456_tma_armlock,libero_10,5,456,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,286,True,0,84d1242554782952,-1,534533,PASS
p8_libero_10_t05_e456_tma_nolock,libero_10,5,456,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,286,True,0,84d1242554782952,-1,534519,PASS
p8_libero_10_t05_e456_untargeted_ce,libero_10,5,456,UNTARGETED_CE,False,untargeted_clean_token_ce,286,True,0,84d1242554782952,-1,533949,PASS
p8_libero_10_t06_e123_clean,libero_10,6,123,CLEAN,False,,208,True,0,84d1242554782952,198,391570,PASS
p8_libero_10_t06_e123_prefix_armlock,libero_10,6,123,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,198,702723,PASS
p8_libero_10_t06_e123_prefix_nolock,libero_10,6,123,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,198,710059,PASS
p8_libero_10_t06_e123_random,libero_10,6,123,RANDOM,False,,208,True,10,84d1242554782952,198,395718,PASS
p8_libero_10_t06_e123_tma_armlock,libero_10,6,123,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,198,690317,PASS
p8_libero_10_t06_e123_tma_nolock,libero_10,6,123,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,208,True,10,84d1242554782952,198,402378,PASS
p8_libero_10_t06_e123_untargeted_ce,libero_10,6,123,UNTARGETED_CE,False,untargeted_clean_token_ce,210,True,10,84d1242554782952,198,404312,PASS
p8_libero_10_t06_e42_clean,libero_10,6,42,CLEAN,False,,400,False,0,84d1242554782952,260,696915,PASS
p8_libero_10_t06_e42_prefix_armlock,libero_10,6,42,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,260,728288,PASS
p8_libero_10_t06_e42_prefix_nolock,libero_10,6,42,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,356,True,10,84d1242554782952,260,662465,PASS
p8_libero_10_t06_e42_random,libero_10,6,42,RANDOM,False,,400,False,10,84d1242554782952,260,705784,PASS
p8_libero_10_t06_e42_tma_armlock,libero_10,6,42,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,361,True,10,84d1242554782952,260,658563,PASS
p8_libero_10_t06_e42_tma_nolock,libero_10,6,42,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,364,True,10,84d1242554782952,260,663621,PASS
p8_libero_10_t06_e42_untargeted_ce,libero_10,6,42,UNTARGETED_CE,False,untargeted_clean_token_ce,400,False,10,84d1242554782952,260,720391,PASS
p8_libero_10_t06_e456_clean,libero_10,6,456,CLEAN,False,,400,False,0,84d1242554782952,132,640345,PASS
p8_libero_10_t06_e456_prefix_armlock,libero_10,6,456,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,132,673591,PASS
p8_libero_10_t06_e456_prefix_nolock,libero_10,6,456,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,132,674209,PASS
p8_libero_10_t06_e456_random,libero_10,6,456,RANDOM,False,,400,False,10,84d1242554782952,132,648816,PASS
p8_libero_10_t06_e456_tma_armlock,libero_10,6,456,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,132,657126,PASS
p8_libero_10_t06_e456_tma_nolock,libero_10,6,456,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,132,666734,PASS
p8_libero_10_t06_e456_untargeted_ce,libero_10,6,456,UNTARGETED_CE,False,untargeted_clean_token_ce,244,True,10,84d1242554782952,132,423647,PASS
p8_libero_10_t07_e123_clean,libero_10,7,123,CLEAN,False,,400,False,0,84d1242554782952,71,611975,PASS
p8_libero_10_t07_e123_prefix_armlock,libero_10,7,123,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,71,652723,PASS
p8_libero_10_t07_e123_prefix_nolock,libero_10,7,123,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,71,638903,PASS
p8_libero_10_t07_e123_random,libero_10,7,123,RANDOM,False,,400,False,10,84d1242554782952,71,630293,PASS
p8_libero_10_t07_e123_tma_armlock,libero_10,7,123,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,71,641936,PASS
p8_libero_10_t07_e123_tma_nolock,libero_10,7,123,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,71,628997,PASS
p8_libero_10_t07_e123_untargeted_ce,libero_10,7,123,UNTARGETED_CE,False,untargeted_clean_token_ce,400,False,10,84d1242554782952,71,627948,PASS
p8_libero_10_t07_e42_clean,libero_10,7,42,CLEAN,False,,400,False,0,84d1242554782952,167,656284,PASS
p8_libero_10_t07_e42_prefix_armlock,libero_10,7,42,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,167,689535,PASS
p8_libero_10_t07_e42_prefix_nolock,libero_10,7,42,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,167,688826,PASS
p8_libero_10_t07_e42_random,libero_10,7,42,RANDOM,False,,335,True,10,84d1242554782952,167,565906,PASS
p8_libero_10_t07_e42_tma_armlock,libero_10,7,42,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,167,679135,PASS
p8_libero_10_t07_e42_tma_nolock,libero_10,7,42,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,167,677938,PASS
p8_libero_10_t07_e42_untargeted_ce,libero_10,7,42,UNTARGETED_CE,False,untargeted_clean_token_ce,382,True,10,84d1242554782952,167,644028,PASS
p8_libero_10_t07_e456_clean,libero_10,7,456,CLEAN,False,,400,False,0,84d1242554782952,175,664391,PASS
p8_libero_10_t07_e456_prefix_armlock,libero_10,7,456,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,175,700898,PASS
p8_libero_10_t07_e456_prefix_nolock,libero_10,7,456,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,175,693026,PASS
p8_libero_10_t07_e456_random,libero_10,7,456,RANDOM,False,,364,True,10,84d1242554782952,175,612523,PASS
p8_libero_10_t07_e456_tma_armlock,libero_10,7,456,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,175,676130,PASS
p8_libero_10_t07_e456_tma_nolock,libero_10,7,456,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,175,682462,PASS
p8_libero_10_t07_e456_untargeted_ce,libero_10,7,456,UNTARGETED_CE,False,untargeted_clean_token_ce,400,False,10,84d1242554782952,175,677434,PASS
p8_libero_10_t08_e123_clean,libero_10,8,123,CLEAN,False,,400,False,0,84d1242554782952,-1,742067,PASS
p8_libero_10_t08_e123_prefix_armlock,libero_10,8,123,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,0,84d1242554782952,-1,767490,PASS
p8_libero_10_t08_e123_prefix_nolock,libero_10,8,123,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,178,669423,PASS
p8_libero_10_t08_e123_random,libero_10,8,123,RANDOM,False,,400,False,0,84d1242554782952,-1,742811,PASS
p8_libero_10_t08_e123_tma_armlock,libero_10,8,123,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,368,True,0,84d1242554782952,-1,690611,PASS
