gpu_group,task,state_id,window_start,window_end,condition,attack_seed,job_id,job_uid,pair_uid,random_seed_str,eps_raw_pixels,pgd_steps,open_duration
gpu10,cream_cheese,0,70,80,random_linf,70,881001,s18_cream_cheese_s0_w70_80_random_linf_seed70,s18_cream_cheese_s0_w70_80_seed70,881071,6,20,10
gpu10,cream_cheese,0,90,100,vis_pgd,70,944420,s18_cream_cheese_s0_w90_100_vis_pgd_seed70,s18_cream_cheese_s0_w90_100_seed70,944490,6,20,10
gpu10,cream_cheese,0,90,100,random_linf,70,559080,s18_cream_cheese_s0_w90_100_random_linf_seed70,s18_cream_cheese_s0_w90_100_seed70,559150,6,20,10
gpu10,cream_cheese,0,150,160,vis_pgd,70,626137,s18_cream_cheese_s0_w150_160_vis_pgd_seed70,s18_cream_cheese_s0_w150_160_seed70,626207,6,20,10
gpu10,cream_cheese,0,150,160,random_linf,70,428795,s18_cream_cheese_s0_w150_160_random_linf_seed70,s18_cream_cheese_s0_w150_160_seed70,428865,6,20,10
gpu10,cream_cheese,0,230,240,vis_pgd,70,289187,s18_cream_cheese_s0_w230_240_vis_pgd_seed70,s18_cream_cheese_s0_w230_240_seed70,289257,6,20,10
gpu10,cream_cheese,0,230,240,random_linf,70,297874,s18_cream_cheese_s0_w230_240_random_linf_seed70,s18_cream_cheese_s0_w230_240_seed70,297944,6,20,10
gpu10,salad_dressing,0,50,60,vis_pgd,70,462375,s18_salad_dressing_s0_w50_60_vis_pgd_seed70,s18_salad_dressing_s0_w50_60_seed70,462445,6,20,10
gpu10,salad_dressing,0,50,60,random_linf,70,246754,s18_salad_dressing_s0_w50_60_random_linf_seed70,s18_salad_dressing_s0_w50_60_seed70,246824,6,20,10
gpu10,salad_dressing,0,70,80,vis_pgd,70,416412,s18_salad_dressing_s0_w70_80_vis_pgd_seed70,s18_salad_dressing_s0_w70_80_seed70,416482,6,20,10
gpu10,salad_dressing,0,70,80,random_linf,70,821883,s18_salad_dressing_s0_w70_80_random_linf_seed70,s18_salad_dressing_s0_w70_80_seed70,821953,6,20,10
gpu10,salad_dressing,0,90,100,vis_pgd,70,930697,s18_salad_dressing_s0_w90_100_vis_pgd_seed70,s18_salad_dressing_s0_w90_100_seed70,930767,6,20,10
gpu10,salad_dressing,0,90,100,random_linf,70,477663,s18_salad_dressing_s0_w90_100_random_linf_seed70,s18_salad_dressing_s0_w90_100_seed70,477733,6,20,10
gpu10,salad_dressing,0,150,160,vis_pgd,70,666075,s18_salad_dressing_s0_w150_160_vis_pgd_seed70,s18_salad_dressing_s0_w150_160_seed70,666145,6,20,10
gpu10,salad_dressing,0,150,160,random_linf,70,352328,s18_salad_dressing_s0_w150_160_random_linf_seed70,s18_salad_dressing_s0_w150_160_seed70,352398,6,20,10
gpu10,salad_dressing,0,230,240,vis_pgd,70,771715,s18_salad_dressing_s0_w230_240_vis_pgd_seed70,s18_salad_dressing_s0_w230_240_seed70,771785,6,20,10
gpu10,salad_dressing,0,230,240,random_linf,70,944337,s18_salad_dressing_s0_w230_240_random_linf_seed70,s18_salad_dressing_s0_w230_240_seed70,944407,6,20,10
gpu10,bbq_sauce,0,50,60,vis_pgd,70,102099,s18_bbq_sauce_s0_w50_60_vis_pgd_seed70,s18_bbq_sauce_s0_w50_60_seed70,102169,6,20,10
gpu10,bbq_sauce,0,50,60,random_linf,70,481770,s18_bbq_sauce_s0_w50_60_random_linf_seed70,s18_bbq_sauce_s0_w50_60_seed70,481840,6,20,10
gpu10,bbq_sauce,0,70,80,vis_pgd,70,945286,s18_bbq_sauce_s0_w70_80_vis_pgd_seed70,s18_bbq_sauce_s0_w70_80_seed70,945356,6,20,10
gpu10,bbq_sauce,0,70,80,random_linf,70,988951,s18_bbq_sauce_s0_w70_80_random_linf_seed70,s18_bbq_sauce_s0_w70_80_seed70,989021,6,20,10
gpu10,bbq_sauce,0,90,100,vis_pgd,70,616419,s18_bbq_sauce_s0_w90_100_vis_pgd_seed70,s18_bbq_sauce_s0_w90_100_seed70,616489,6,20,10
gpu10,bbq_sauce,0,90,100,random_linf,70,793444,s18_bbq_sauce_s0_w90_100_random_linf_seed70,s18_bbq_sauce_s0_w90_100_seed70,793514,6,20,10
gpu10,bbq_sauce,0,150,160,vis_pgd,70,576717,s18_bbq_sauce_s0_w150_160_vis_pgd_seed70,s18_bbq_sauce_s0_w150_160_seed70,576787,6,20,10
gpu10,bbq_sauce,0,150,160,random_linf,70,566306,s18_bbq_sauce_s0_w150_160_random_linf_seed70,s18_bbq_sauce_s0_w150_160_seed70,566376,6,20,10
gpu10,bbq_sauce,0,230,240,vis_pgd,70,123373,s18_bbq_sauce_s0_w230_240_vis_pgd_seed70,s18_bbq_sauce_s0_w230_240_seed70,123443,6,20,10
gpu10,bbq_sauce,0,230,240,random_linf,70,911661,s18_bbq_sauce_s0_w230_240_random_linf_seed70,s18_bbq_sauce_s0_w230_240_seed70,911731,6,20,10
gpu26,ketchup,0,50,60,vis_pgd,70,791559,s18_ketchup_s0_w50_60_vis_pgd_seed70,s18_ketchup_s0_w50_60_seed70,791629,6,20,10
gpu26,ketchup,0,50,60,random_linf,70,149657,s18_ketchup_s0_w50_60_random_linf_seed70,s18_ketchup_s0_w50_60_seed70,149727,6,20,10
gpu26,ketchup,0,70,80,vis_pgd,70,814421,s18_ketchup_s0_w70_80_vis_pgd_seed70,s18_ketchup_s0_w70_80_seed70,814491,6,20,10
gpu26,ketchup,0,70,80,random_linf,70,540972,s18_ketchup_s0_w70_80_random_linf_seed70,s18_ketchup_s0_w70_80_seed70,541042,6,20,10
gpu26,ketchup,0,90,100,vis_pgd,70,583271,s18_ketchup_s0_w90_100_vis_pgd_seed70,s18_ketchup_s0_w90_100_seed70,583341,6,20,10
gpu26,ketchup,0,90,100,random_linf,70,586153,s18_ketchup_s0_w90_100_random_linf_seed70,s18_ketchup_s0_w90_100_seed70,586223,6,20,10
gpu26,ketchup,0,150,160,vis_pgd,70,151764,s18_ketchup_s0_w150_160_vis_pgd_seed70,s18_ketchup_s0_w150_160_seed70,151834,6,20,10
gpu26,ketchup,0,150,160,random_linf,70,993800,s18_ketchup_s0_w150_160_random_linf_seed70,s18_ketchup_s0_w150_160_seed70,993870,6,20,10
gpu26,ketchup,0,230,240,vis_pgd,70,714182,s18_ketchup_s0_w230_240_vis_pgd_seed70,s18_ketchup_s0_w230_240_seed70,714252,6,20,10
gpu26,ketchup,0,230,240,random_linf,70,624841,s18_ketchup_s0_w230_240_random_linf_seed70,s18_ketchup_s0_w230_240_seed70,624911,6,20,10
gpu26,tomato_sauce,0,50,60,vis_pgd,70,925216,s18_tomato_sauce_s0_w50_60_vis_pgd_seed70,s18_tomato_sauce_s0_w50_60_seed70,925286,6,20,10
gpu26,tomato_sauce,0,50,60,random_linf,70,666641,s18_tomato_sauce_s0_w50_60_random_linf_seed70,s18_tomato_sauce_s0_w50_60_seed70,666711,6,20,10
gpu26,tomato_sauce,0,70,80,vis_pgd,70,374152,s18_tomato_sauce_s0_w70_80_vis_pgd_seed70,s18_tomato_sauce_s0_w70_80_seed70,374222,6,20,10
gpu26,tomato_sauce,0,70,80,random_linf,70,242965,s18_tomato_sauce_s0_w70_80_random_linf_seed70,s18_tomato_sauce_s0_w70_80_seed70,243035,6,20,10
gpu26,tomato_sauce,0,90,100,vis_pgd,70,228949,s18_tomato_sauce_s0_w90_100_vis_pgd_seed70,s18_tomato_sauce_s0_w90_100_seed70,229019,6,20,10
gpu26,tomato_sauce,0,90,100,random_linf,70,698131,s18_tomato_sauce_s0_w90_100_random_linf_seed70,s18_tomato_sauce_s0_w90_100_seed70,698201,6,20,10
gpu26,tomato_sauce,0,150,160,vis_pgd,70,361225,s18_tomato_sauce_s0_w150_160_vis_pgd_seed70,s18_tomato_sauce_s0_w150_160_seed70,361295,6,20,10
gpu26,tomato_sauce,0,150,160,random_linf,70,475838,s18_tomato_sauce_s0_w150_160_random_linf_seed70,s18_tomato_sauce_s0_w150_160_seed70,475908,6,20,10
gpu26,tomato_sauce,0,230,240,vis_pgd,70,108730,s18_tomato_sauce_s0_w230_240_vis_pgd_seed70,s18_tomato_sauce_s0_w230_240_seed70,108800,6,20,10
gpu26,tomato_sauce,0,230,240,random_linf,70,140225,s18_tomato_sauce_s0_w230_240_random_linf_seed70,s18_tomato_sauce_s0_w230_240_seed70,140295,6,20,10
gpu26,butter,0,50,60,vis_pgd,70,267111,s18_butter_s0_w50_60_vis_pgd_seed70,s18_butter_s0_w50_60_seed70,267181,6,20,10
gpu26,butter,0,50,60,random_linf,70,477023,s18_butter_s0_w50_60_random_linf_seed70,s18_butter_s0_w50_60_seed70,477093,6,20,10
gpu26,butter,0,70,80,vis_pgd,70,713616,s18_butter_s0_w70_80_vis_pgd_seed70,s18_butter_s0_w70_80_seed70,713686,6,20,10
gpu26,butter,0,70,80,random_linf,70,156226,s18_butter_s0_w70_80_random_linf_seed70,s18_butter_s0_w70_80_seed70,156296,6,20,10
gpu26,butter,0,90,100,vis_pgd,70,546635,s18_butter_s0_w90_100_vis_pgd_seed70,s18_butter_s0_w90_100_seed70,546705,6,20,10
gpu26,butter,0,90,100,random_linf,70,159565,s18_butter_s0_w90_100_random_linf_seed70,s18_butter_s0_w90_100_seed70,159635,6,20,10
gpu26,butter,0,150,160,vis_pgd,70,637846,s18_butter_s0_w150_160_vis_pgd_seed70,s18_butter_s0_w150_160_seed70,637916,6,20,10
gpu26,butter,0,150,160,random_linf,70,353298,s18_butter_s0_w150_160_random_linf_seed70,s18_butter_s0_w150_160_seed70,353368,6,20,10
gpu26,butter,0,230,240,vis_pgd,70,130120,s18_butter_s0_w230_240_vis_pgd_seed70,s18_butter_s0_w230_240_seed70,130190,6,20,10
gpu26,butter,0,230,240,random_linf,70,643083,s18_butter_s0_w230_240_random_linf_seed70,s18_butter_s0_w230_240_seed70,643153,6,20,10
gpu45,milk,0,50,60,vis_pgd,70,946481,s18_milk_s0_w50_60_vis_pgd_seed70,s18_milk_s0_w50_60_seed70,946551,6,20,10
gpu45,milk,0,50,60,random_linf,70,879185,s18_milk_s0_w50_60_random_linf_seed70,s18_milk_s0_w50_60_seed70,879255,6,20,10
gpu45,milk,0,70,80,vis_pgd,70,873707,s18_milk_s0_w70_80_vis_pgd_seed70,s18_milk_s0_w70_80_seed70,873777,6,20,10
gpu45,milk,0,70,80,random_linf,70,702917,s18_milk_s0_w70_80_random_linf_seed70,s18_milk_s0_w70_80_seed70,702987,6,20,10
gpu45,milk,0,90,100,vis_pgd,70,233298,s18_milk_s0_w90_100_vis_pgd_seed70,s18_milk_s0_w90_100_seed70,233368,6,20,10
gpu45,milk,0,90,100,random_linf,70,450329,s18_milk_s0_w90_100_random_linf_seed70,s18_milk_s0_w90_100_seed70,450399,6,20,10
gpu45,milk,0,150,160,vis_pgd,70,771935,s18_milk_s0_w150_160_vis_pgd_seed70,s18_milk_s0_w150_160_seed70,772005,6,20,10
gpu45,milk,0,150,160,random_linf,70,523049,s18_milk_s0_w150_160_random_linf_seed70,s18_milk_s0_w150_160_seed70,523119,6,20,10
gpu45,milk,0,230,240,vis_pgd,70,929718,s18_milk_s0_w230_240_vis_pgd_seed70,s18_milk_s0_w230_240_seed70,929788,6,20,10
gpu45,milk,0,230,240,random_linf,70,828873,s18_milk_s0_w230_240_random_linf_seed70,s18_milk_s0_w230_240_seed70,828943,6,20,10
gpu45,chocolate_pudding,0,50,60,vis_pgd,70,386126,s18_chocolate_pudding_s0_w50_60_vis_pgd_seed70,s18_chocolate_pudding_s0_w50_60_seed70,386196,6,20,10
gpu45,chocolate_pudding,0,50,60,random_linf,70,991456,s18_chocolate_pudding_s0_w50_60_random_linf_seed70,s18_chocolate_pudding_s0_w50_60_seed70,991526,6,20,10
gpu45,chocolate_pudding,0,70,80,vis_pgd,70,529672,s18_chocolate_pudding_s0_w70_80_vis_pgd_seed70,s18_chocolate_pudding_s0_w70_80_seed70,529742,6,20,10
gpu45,chocolate_pudding,0,70,80,random_linf,70,747573,s18_chocolate_pudding_s0_w70_80_random_linf_seed70,s18_chocolate_pudding_s0_w70_80_seed70,747643,6,20,10
gpu45,chocolate_pudding,0,90,100,vis_pgd,70,818008,s18_chocolate_pudding_s0_w90_100_vis_pgd_seed70,s18_chocolate_pudding_s0_w90_100_seed70,818078,6,20,10
gpu45,chocolate_pudding,0,90,100,random_linf,70,474678,s18_chocolate_pudding_s0_w90_100_random_linf_seed70,s18_chocolate_pudding_s0_w90_100_seed70,474748,6,20,10
gpu45,chocolate_pudding,0,150,160,vis_pgd,70,228611,s18_chocolate_pudding_s0_w150_160_vis_pgd_seed70,s18_chocolate_pudding_s0_w150_160_seed70,228681,6,20,10
gpu45,chocolate_pudding,0,150,160,random_linf,70,363323,s18_chocolate_pudding_s0_w150_160_random_linf_seed70,s18_chocolate_pudding_s0_w150_160_seed70,363393,6,20,10
gpu45,chocolate_pudding,0,230,240,vis_pgd,70,542678,s18_chocolate_pudding_s0_w230_240_vis_pgd_seed70,s18_chocolate_pudding_s0_w230_240_seed70,542748,6,20,10
gpu45,chocolate_pudding,0,230,240,random_linf,70,709091,s18_chocolate_pudding_s0_w230_240_random_linf_seed70,s18_chocolate_pudding_s0_w230_240_seed70,709161,6,20,10
gpu45,orange_juice,0,50,60,vis_pgd,70,985946,s18_orange_juice_s0_w50_60_vis_pgd_seed70,s18_orange_juice_s0_w50_60_seed70,986016,6,20,10
gpu45,orange_juice,0,50,60,random_linf,70,553102,s18_orange_juice_s0_w50_60_random_linf_seed70,s18_orange_juice_s0_w50_60_seed70,553172,6,20,10
gpu45,orange_juice,0,70,80,vis_pgd,70,847245,s18_orange_juice_s0_w70_80_vis_pgd_seed70,s18_orange_juice_s0_w70_80_seed70,847315,6,20,10
gpu45,orange_juice,0,70,80,random_linf,70,772455,s18_orange_juice_s0_w70_80_random_linf_seed70,s18_orange_juice_s0_w70_80_seed70,772525,6,20,10
gpu45,orange_juice,0,90,100,vis_pgd,70,534290,s18_orange_juice_s0_w90_100_vis_pgd_seed70,s18_orange_juice_s0_w90_100_seed70,534360,6,20,10
gpu45,orange_juice,0,90,100,random_linf,70,369711,s18_orange_juice_s0_w90_100_random_linf_seed70,s18_orange_juice_s0_w90_100_seed70,369781,6,20,10
gpu45,orange_juice,0,150,160,vis_pgd,70,912640,s18_orange_juice_s0_w150_160_vis_pgd_seed70,s18_orange_juice_s0_w150_160_seed70,912710,6,20,10
gpu45,orange_juice,0,150,160,random_linf,70,113186,s18_orange_juice_s0_w150_160_random_linf_seed70,s18_orange_juice_s0_w150_160_seed70,113256,6,20,10
gpu45,orange_juice,0,230,240,vis_pgd,70,252927,s18_orange_juice_s0_w230_240_vis_pgd_seed70,s18_orange_juice_s0_w230_240_seed70,252997,6,20,10
gpu45,orange_juice,0,230,240,random_linf,70,122506,s18_orange_juice_s0_w230_240_random_linf_seed70,s18_orange_juice_s0_w230_240_seed70,122576,6,20,10
