step,clean_grip,targeted_grip,targeted_ok,targeted_err,random_grip,task_key,state_id,window_start,window_end,label_status,taxonomy
30,-1.0,1.0,1,,-1.0,milk,5,25,42,negative,action_positive_physical_positive_task_negative
32,-1.0,-1.0,1,,-1.0,milk,5,25,42,negative,action_positive_physical_positive_task_negative
34,1.0,-1.0,1,,1.0,milk,5,25,42,negative,action_positive_physical_positive_task_negative
36,-1.0,-1.0,1,,-1.0,milk,5,25,42,negative,action_positive_physical_positive_task_negative
38,-1.0,-1.0,1,,-1.0,milk,5,25,42,negative,action_positive_physical_positive_task_negative
40,1.0,-1.0,1,,-1.0,milk,5,25,42,negative,action_positive_physical_positive_task_negative
42,-1.0,1.0,1,,-1.0,milk,5,25,42,negative,action_positive_physical_positive_task_negative
5,1.0,-1.0,1,,-1.0,milk,9,5,22,ignore,polluted
6,-1.0,-1.0,1,,-1.0,milk,9,5,22,ignore,polluted
8,-1.0,-1.0,1,,-1.0,milk,9,5,22,ignore,polluted
10,-1.0,-1.0,1,,1.0,milk,9,5,22,ignore,polluted
12,1.0,1.0,1,,1.0,milk,9,5,22,ignore,polluted
14,-1.0,1.0,1,,-1.0,milk,9,5,22,ignore,polluted
16,1.0,1.0,1,,1.0,milk,9,5,22,ignore,polluted
18,-1.0,1.0,1,,-1.0,milk,9,5,22,ignore,polluted
20,1.0,1.0,1,,1.0,milk,9,5,22,ignore,polluted
22,-1.0,1.0,1,,-1.0,milk,9,5,22,ignore,polluted
31,-1.0,-1.0,1,,-1.0,salad_dressing,0,31,48,ignore,polluted
32,-1.0,-1.0,1,,-1.0,salad_dressing,0,31,48,ignore,polluted
34,-1.0,1.0,1,,-1.0,salad_dressing,0,31,48,ignore,polluted
36,-1.0,1.0,1,,-1.0,salad_dressing,0,31,48,ignore,polluted
38,1.0,-1.0,1,,1.0,salad_dressing,0,31,48,ignore,polluted
40,-1.0,1.0,1,,-1.0,salad_dressing,0,31,48,ignore,polluted
42,-1.0,1.0,1,,-1.0,salad_dressing,0,31,48,ignore,polluted
44,1.0,1.0,1,,1.0,salad_dressing,0,31,48,ignore,polluted
46,-1.0,1.0,1,,-1.0,salad_dressing,0,31,48,ignore,polluted
48,1.0,1.0,1,,1.0,salad_dressing,0,31,48,ignore,polluted
7,-1.0,-1.0,1,,-1.0,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
8,-1.0,-1.0,1,,-1.0,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
10,-1.0,1.0,1,,-1.0,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
12,-1.0,1.0,1,,-1.0,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
14,-1.0,1.0,1,,-1.0,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
16,-1.0,1.0,1,,-1.0,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
18,-1.0,-1.0,1,,-1.0,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
20,-1.0,1.0,1,,-1.0,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
22,-1.0,-1.0,1,,-1.0,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
24,-1.0,1.0,1,,-1.0,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
40,-1.0,1.0,1,,-1.0,alphabet_soup,6,40,57,negative,no_action_bridge
41,-1.0,1.0,1,,1.0,alphabet_soup,6,40,57,negative,no_action_bridge
43,-1.0,1.0,1,,-1.0,alphabet_soup,6,40,57,negative,no_action_bridge
45,-1.0,1.0,1,,-1.0,alphabet_soup,6,40,57,negative,no_action_bridge
47,1.0,-1.0,1,,1.0,alphabet_soup,6,40,57,negative,no_action_bridge
49,-1.0,-1.0,1,,-1.0,alphabet_soup,6,40,57,negative,no_action_bridge
51,-1.0,-1.0,1,,-1.0,alphabet_soup,6,40,57,negative,no_action_bridge
53,-1.0,1.0,1,,-1.0,alphabet_soup,6,40,57,negative,no_action_bridge
55,-1.0,1.0,1,,-1.0,alphabet_soup,6,40,57,negative,no_action_bridge
57,-1.0,1.0,1,,1.0,alphabet_soup,6,40,57,negative,no_action_bridge
