old_requested_task,corrected_actual_task,state_id,window_start,window_end,condition,attack_seed,env_seed,decoded_open_count,max_open_streak,qpos_pos_area,qpos_neg_area,qpos_baseline,infra_status,old_pair_id,summary_path,trace_path,relabel_source
butter,cream_cheese,0,80,90,vis_pgd,50,0,1,1,0.00453667,0.00082909,0.00108648,ok,butter_s0_w80_90_s16b_calib,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/summary_butter_s0_w80_90_s16b_calib_vispgd_job953018.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/trace_butter_s0_w80_90_s16b_calib_vispgd_job953018.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,90,100,clean,0,0,1,1,0.00772902,0.00032292,0.00112667,ok,butter_s0_w90_100_phase1port_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/summary_butter_s0_w90_100_phase1port_sanity_clean_job950604.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/trace_butter_s0_w90_100_phase1port_sanity_clean_job950604.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,90,100,oracle_open,0,0,10,10,0.67816633,0.0,0.00118346,ok,butter_s0_w90_100_phase1port_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/summary_butter_s0_w90_100_phase1port_sanity_oracleopen_job950605.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/trace_butter_s0_w90_100_phase1port_sanity_oracleopen_job950605.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,90,100,random_linf,13,0,1,1,0.05419554,0.00166337,0.00142494,ok,butter_s0_w90_100_phase1port_seed13,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/summary_butter_s0_w90_100_phase1port_seed13_randomlinf_job950601.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/trace_butter_s0_w90_100_phase1port_seed13_randomlinf_job950601.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,90,100,vis_pgd,13,0,2,2,0.00479971,0.00210865,0.00128786,ok,butter_s0_w90_100_phase1port_seed13,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/summary_butter_s0_w90_100_phase1port_seed13_vispgd_job950600.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/trace_butter_s0_w90_100_phase1port_seed13_vispgd_job950600.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,90,100,random_linf,14,0,3,1,0.08950788,0.0,0.00128786,ok,butter_s0_w90_100_phase1port_seed14,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/summary_butter_s0_w90_100_phase1port_seed14_randomlinf_job950603.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/trace_butter_s0_w90_100_phase1port_seed14_randomlinf_job950603.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,90,100,vis_pgd,14,0,2,2,0.00850205,0.00031031,0.00128786,ok,butter_s0_w90_100_phase1port_seed14,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/summary_butter_s0_w90_100_phase1port_seed14_vispgd_job950602.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s10a_butter_microextension/trace_butter_s0_w90_100_phase1port_seed14_vispgd_job950602.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,0,50,60,random_linf,50,0,1,1,0.00057185,0.01088544,0.00191052,ok,tomato_s0_w50_60_s16b,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/summary_tomato_s0_w50_60_s16b_randomlinf_job953005.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/trace_tomato_s0_w50_60_s16b_randomlinf_job953005.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,0,50,60,vis_pgd,50,0,3,2,0.00200869,0.00792913,0.00191052,ok,tomato_s0_w50_60_s16b,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/summary_tomato_s0_w50_60_s16b_vispgd_job953004.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/trace_tomato_s0_w50_60_s16b_vispgd_job953004.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,0,55,65,clean,0,0,1,1,0.00586881,0.00014251,0.00106751,ok,tomato_sauce_s0_w55_65_s11a_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/summary_tomato_sauce_s0_w55_65_s11a_sanity_clean_job951004.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/trace_tomato_sauce_s0_w55_65_s11a_sanity_clean_job951004.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,0,55,65,oracle_open,0,0,10,10,0.50402455,0.0,0.00117238,ok,tomato_sauce_s0_w55_65_s11a_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/summary_tomato_sauce_s0_w55_65_s11a_sanity_oracleopen_job951005.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/trace_tomato_sauce_s0_w55_65_s11a_sanity_oracleopen_job951005.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,0,55,65,random_linf,24,0,1,1,0.00889934,0.0081606,0.00201619,ok,tomato_s0_w55_65_s13a_randveto_seed24,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/summary_tomato_s0_w55_65_s13a_randveto_seed24_randomlinf_job952400.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/trace_tomato_s0_w55_65_s13a_randveto_seed24_randomlinf_job952400.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,0,55,65,random_linf,25,0,4,2,0.01467521,0.00101403,0.00125019,ok,tomato_s0_w55_65_s13a_randveto_seed25,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/summary_tomato_s0_w55_65_s13a_randveto_seed25_randomlinf_job952401.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/trace_tomato_s0_w55_65_s13a_randveto_seed25_randomlinf_job952401.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,0,55,65,random_linf,26,0,0,0,0.00812906,0.01613441,0.00201619,ok,tomato_s0_w55_65_s13a_randveto_seed26,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/summary_tomato_s0_w55_65_s13a_randveto_seed26_randomlinf_job952402.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/trace_tomato_s0_w55_65_s13a_randveto_seed26_randomlinf_job952402.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,90,100,clean,0,2,2,1,0.01544834,0.0003857,0.00121121,ok,tomato_sauce_s2_w90_100_s11a_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/summary_tomato_sauce_s2_w90_100_s11a_sanity_clean_job951002.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/trace_tomato_sauce_s2_w90_100_s11a_sanity_clean_job951002.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,90,100,oracle_open,0,2,10,10,0.26857731,6.523e-05,0.00121121,ok,tomato_sauce_s2_w90_100_s11a_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/summary_tomato_sauce_s2_w90_100_s11a_sanity_oracleopen_job951003.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/trace_tomato_sauce_s2_w90_100_s11a_sanity_oracleopen_job951003.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,90,100,random_linf,24,2,2,1,0.02383482,0.00046313,0.00121121,ok,tomato_s2_w90_100_s13a_randveto_seed24,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/summary_tomato_s2_w90_100_s13a_randveto_seed24_randomlinf_job952403.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/trace_tomato_s2_w90_100_s13a_randveto_seed24_randomlinf_job952403.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,90,100,random_linf,25,2,2,1,0.03466634,0.00076663,0.00121121,ok,tomato_s2_w90_100_s13a_randveto_seed25,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/summary_tomato_s2_w90_100_s13a_randveto_seed25_randomlinf_job952404.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/trace_tomato_s2_w90_100_s13a_randveto_seed25_randomlinf_job952404.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,90,100,random_linf,26,2,3,1,0.00988712,0.00257201,0.00121121,ok,tomato_s2_w90_100_s13a_randveto_seed26,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/summary_tomato_s2_w90_100_s13a_randveto_seed26_randomlinf_job952405.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s13a_rand_veto_and_milk_positive/trace_tomato_s2_w90_100_s13a_randveto_seed26_randomlinf_job952405.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,95,105,clean,0,2,3,3,0.21523438,0.0,0.00143677,ok,tomato_s2_w95_105_s16c_oracle,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16c_wave1_confirmation/summary_tomato_s2_w95_105_s16c_oracle_clean_job953111.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16c_wave1_confirmation/trace_tomato_s2_w95_105_s16c_oracle_clean_job953111.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,95,105,oracle_open,0,2,10,10,0.64737921,0.0,0.00214723,ok,tomato_s2_w95_105_s16c_oracle,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16c_wave1_confirmation/summary_tomato_s2_w95_105_s16c_oracle_oracleopen_job953112.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16c_wave1_confirmation/trace_tomato_s2_w95_105_s16c_oracle_oracleopen_job953112.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,95,105,random_linf,50,2,2,1,0.01197176,0.0020331,0.00121807,ok,tomato_s2_w95_105_s16b,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/summary_tomato_s2_w95_105_s16b_randomlinf_job953003.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/trace_tomato_s2_w95_105_s16b_randomlinf_job953003.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,95,105,vis_pgd,50,2,10,10,0.65904861,0.0,0.00121807,ok,tomato_s2_w95_105_s16b,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/summary_tomato_s2_w95_105_s16b_vispgd_job953002.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/trace_tomato_s2_w95_105_s16b_vispgd_job953002.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,95,105,random_linf,51,2,3,2,0.03118811,0.0,0.00121807,ok,tomato_s2_w95_105_s16c_randveto_seed51,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16c_wave1_confirmation/summary_tomato_s2_w95_105_s16c_randveto_seed51_randomlinf_job953106.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16c_wave1_confirmation/trace_tomato_s2_w95_105_s16c_randveto_seed51_randomlinf_job953106.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,95,105,random_linf,52,2,1,1,0.00577447,0.00560824,0.00121807,ok,tomato_s2_w95_105_s16c_randveto_seed52,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16c_wave1_confirmation/summary_tomato_s2_w95_105_s16c_randveto_seed52_randomlinf_job953107.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16c_wave1_confirmation/trace_tomato_s2_w95_105_s16c_randveto_seed52_randomlinf_job953107.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,95,105,random_linf,53,2,4,2,0.04867146,0.00042625,0.00121807,ok,tomato_s2_w95_105_s16c_randveto_seed53,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16c_wave1_confirmation/summary_tomato_s2_w95_105_s16c_randveto_seed53_randomlinf_job953108.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16c_wave1_confirmation/trace_tomato_s2_w95_105_s16c_randveto_seed53_randomlinf_job953108.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,150,160,clean,0,2,1,1,0.02051774,0.00329392,0.00151236,ok,tomato_sauce_s2_w150_160_s11a_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/summary_tomato_sauce_s2_w150_160_s11a_sanity_clean_job951000.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/trace_tomato_sauce_s2_w150_160_s11a_sanity_clean_job951000.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,150,160,oracle_open,0,2,10,10,0.6011184,0.0,0.00141919,ok,tomato_sauce_s2_w150_160_s11a_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/summary_tomato_sauce_s2_w150_160_s11a_sanity_oracleopen_job951001.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/trace_tomato_sauce_s2_w150_160_s11a_sanity_oracleopen_job951001.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,150,160,random_linf,18,2,2,2,0.00948143,0.00610631,0.00162027,ok,tomato_s2_w150_160_s12a_seed18,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/summary_tomato_s2_w150_160_s12a_seed18_randomlinf_job952006.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/trace_tomato_s2_w150_160_s12a_seed18_randomlinf_job952006.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,150,160,random_linf,19,2,5,1,0.01533053,0.00511195,0.00149773,ok,tomato_s2_w150_160_s12a_seed19,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/summary_tomato_s2_w150_160_s12a_seed19_randomlinf_job952006.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/trace_tomato_s2_w150_160_s12a_seed19_randomlinf_job952006.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,150,160,random_linf,20,2,3,1,0.04279751,0.00054014,0.00138014,ok,tomato_s2_w150_160_s12a_seed20,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/summary_tomato_s2_w150_160_s12a_seed20_randomlinf_job952006.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/trace_tomato_s2_w150_160_s12a_seed20_randomlinf_job952006.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,155,165,clean,0,2,4,3,0.08870944,0.0,0.00144447,ok,tomato_sauce_s2_w155_165_s11a_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/summary_tomato_sauce_s2_w155_165_s11a_sanity_clean_job951006.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/trace_tomato_sauce_s2_w155_165_s11a_sanity_clean_job951006.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,155,165,oracle_open,0,2,10,10,0.62172764,0.0,0.00144548,ok,tomato_sauce_s2_w155_165_s11a_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/summary_tomato_sauce_s2_w155_165_s11a_sanity_oracleopen_job951007.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/trace_tomato_sauce_s2_w155_165_s11a_sanity_oracleopen_job951007.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,155,165,random_linf,15,2,2,2,0.16563524,0.0,0.00144548,ok,tomato_s2_w155_165_s11b_seed15,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/summary_tomato_s2_w155_165_s11b_seed15_randomlinf_job951101.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/trace_tomato_s2_w155_165_s11b_seed15_randomlinf_job951101.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,155,165,vis_pgd,15,2,6,5,0.11742092,2.01e-05,0.00144548,ok,tomato_s2_w155_165_s11b_seed15,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/summary_tomato_s2_w155_165_s11b_seed15_vispgd_job951100.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/trace_tomato_s2_w155_165_s11b_seed15_vispgd_job951100.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,155,165,random_linf,16,2,7,6,0.59035324,0.0,0.00144548,ok,tomato_s2_w155_165_s11b_seed16,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/summary_tomato_s2_w155_165_s11b_seed16_randomlinf_job951103.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/trace_tomato_s2_w155_165_s11b_seed16_randomlinf_job951103.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,155,165,vis_pgd,16,2,6,2,0.05377444,0.0018622,0.00144548,ok,tomato_s2_w155_165_s11b_seed16,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/summary_tomato_s2_w155_165_s11b_seed16_vispgd_job951102.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/trace_tomato_s2_w155_165_s11b_seed16_vispgd_job951102.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,155,165,random_linf,17,2,5,3,0.07223465,7.758e-05,0.00128561,ok,tomato_s2_w155_165_s11b_seed17,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/summary_tomato_s2_w155_165_s11b_seed17_randomlinf_job951105.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/trace_tomato_s2_w155_165_s11b_seed17_randomlinf_job951105.csv,inferred_from_verified_task_order_mapping
tomato_sauce,milk,2,155,165,vis_pgd,17,2,7,3,0.15721282,0.00183996,0.00149456,ok,tomato_s2_w155_165_s11b_seed17,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/summary_tomato_s2_w155_165_s11b_seed17_vispgd_job951104.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11b_tomato_visrand/trace_tomato_s2_w155_165_s11b_seed17_vispgd_job951104.csv,inferred_from_verified_task_order_mapping
