task,state_id,window_start,window_end,window_len,phase,first_close_step,lift_step,preplace_step,done_step
salad_dressing,1,5,15,10,approach,57,67,105,125
salad_dressing,1,10,20,10,approach,57,67,105,125
salad_dressing,1,15,25,10,approach,57,67,105,125
salad_dressing,1,20,30,10,approach,57,67,105,125
salad_dressing,1,25,35,10,approach,57,67,105,125
salad_dressing,1,30,40,10,approach,57,67,105,125
salad_dressing,1,35,45,10,approach,57,67,105,125
salad_dressing,1,40,50,10,approach,57,67,105,125
salad_dressing,1,45,55,10,approach,57,67,105,125
salad_dressing,1,50,60,10,approach,57,67,105,125
salad_dressing,1,60,70,10,grasp_transition,57,67,105,125
salad_dressing,1,75,85,10,transport,57,67,105,125
salad_dressing,1,80,90,10,transport,57,67,105,125
salad_dressing,1,85,95,10,transport,57,67,105,125
salad_dressing,1,90,100,10,transport,57,67,105,125
salad_dressing,1,95,105,10,transport,57,67,105,125
salad_dressing,1,105,115,10,preplace,57,67,105,125
salad_dressing,1,110,120,10,preplace,57,67,105,125
salad_dressing,1,115,125,10,place_or_done,57,67,105,125
orange_juice,1,5,15,10,approach,51,59,103,130
orange_juice,1,10,20,10,approach,51,59,103,130
orange_juice,1,15,25,10,approach,51,59,103,130
orange_juice,1,20,30,10,approach,51,59,103,130
orange_juice,1,25,35,10,approach,51,59,103,130
orange_juice,1,30,40,10,approach,51,59,103,130
orange_juice,1,35,45,10,approach,51,59,103,130
orange_juice,1,40,50,10,approach,51,59,103,130
orange_juice,1,45,55,10,approach,51,59,103,130
orange_juice,1,65,75,10,transport,51,59,103,130
orange_juice,1,70,80,10,transport,51,59,103,130
orange_juice,1,75,85,10,transport,51,59,103,130
orange_juice,1,80,90,10,transport,51,59,103,130
orange_juice,1,85,95,10,transport,51,59,103,130
orange_juice,1,90,100,10,transport,51,59,103,130
orange_juice,1,95,105,10,transport,51,59,103,130
orange_juice,1,105,115,10,preplace,51,59,103,130
orange_juice,1,110,120,10,preplace,51,59,103,130
orange_juice,1,115,125,10,preplace,51,59,103,130
orange_juice,1,120,130,10,place_or_done,51,59,103,130
alphabet_soup,1,5,15,10,approach,67,129,181,204
alphabet_soup,1,10,20,10,approach,67,129,181,204
alphabet_soup,1,15,25,10,approach,67,129,181,204
alphabet_soup,1,20,30,10,approach,67,129,181,204
alphabet_soup,1,25,35,10,approach,67,129,181,204
alphabet_soup,1,30,40,10,approach,67,129,181,204
alphabet_soup,1,35,45,10,approach,67,129,181,204
alphabet_soup,1,40,50,10,approach,67,129,181,204
alphabet_soup,1,45,55,10,approach,67,129,181,204
alphabet_soup,1,50,60,10,approach,67,129,181,204
alphabet_soup,1,55,65,10,approach,67,129,181,204
alphabet_soup,1,60,70,10,approach,67,129,181,204
alphabet_soup,1,70,80,10,grasp_transition,67,129,181,204
alphabet_soup,1,75,85,10,grasp_transition,67,129,181,204
alphabet_soup,1,80,90,10,grasp_transition,67,129,181,204
alphabet_soup,1,85,95,10,grasp_transition,67,129,181,204
alphabet_soup,1,90,100,10,grasp_transition,67,129,181,204
alphabet_soup,1,95,105,10,grasp_transition,67,129,181,204
alphabet_soup,1,100,110,10,grasp_transition,67,129,181,204
alphabet_soup,1,105,115,10,grasp_transition,67,129,181,204
alphabet_soup,1,110,120,10,grasp_transition,67,129,181,204
alphabet_soup,1,115,125,10,grasp_transition,67,129,181,204
alphabet_soup,1,120,130,10,grasp_transition,67,129,181,204
alphabet_soup,1,135,145,10,transport,67,129,181,204
alphabet_soup,1,140,150,10,transport,67,129,181,204
alphabet_soup,1,145,155,10,transport,67,129,181,204
alphabet_soup,1,150,160,10,transport,67,129,181,204
alphabet_soup,1,155,165,10,transport,67,129,181,204
alphabet_soup,1,160,170,10,transport,67,129,181,204
alphabet_soup,1,165,175,10,transport,67,129,181,204
alphabet_soup,1,170,180,10,transport,67,129,181,204
alphabet_soup,1,175,185,10,transport,67,129,181,204
alphabet_soup,1,185,195,10,preplace,67,129,181,204
alphabet_soup,1,190,200,10,preplace,67,129,181,204
