tomato_sauce_s2_w95-105,tomato_sauce,2,95,105,K5b,stable_cmd_specific,TRUE,0.8,0.8,stable_rand_phys,,,,untested,tomato family; high risk_rand
tomato_sauce_s0_w50-60,tomato_sauce,0,50,60,K5c,stable_cmd_specific,TRUE,1.0,0.0,stable_no_phys,,,,untested,no_phys,no physical reachability
tomato_sauce_s2_w115-125,tomato_sauce,2,115,125,K5,stable_rand_sensitive,FALSE,0.8,0.8,stable_rand_phys,,,,untested,rand_sensitive
tomato_sauce_s2_w165-175,tomato_sauce,2,165,175,K5b,stable_rand_sensitive,FALSE,1.0,1.0,stable_rand_phys,,,,untested,rand_sensitive
tomato_sauce_s0_w85-95,tomato_sauce,0,85,95,K5c,stable_rand_sensitive,FALSE,0.6,0.6,shared_phys,,,,untested,rand_sensitive
butter_s0_w80-90,butter,0,80,90,K5c,stable_cmd_specific,TRUE,1.0,0.0,stable_vis_phys,0.3436,REJECTED,,,S12a_REJECTED,RAND open 2-3/10; norm up to 0.44
butter_s0_w90-100,butter,0,90,100,K5c,stable_rand_sensitive,FALSE,1.0,0.8,shared_phys,0.3436,,,FAIL_cmd_weak,manual_ORACLE_tested,manual candidate; not Layer1-selected; VIS 2/10 OPEN
butter_s0_w95-105,butter,0,95,105,K5c,stable_rand_sensitive,FALSE,0.8,1.0,shared_phys,,,,untested,rand_sensitive
butter_s0_w135-145,butter,0,135,145,K5c,stable_rand_sensitive,FALSE,0.4,0.6,shared_phys,,,,untested,rand_sensitive
salad_dressing_s1_w50-60,salad_dressing,1,50,60,K5b,stable_cmd_specific,TRUE,0.6,1.0,stable_rand_phys,,,,untested,cmd_specific but high risk_rand
salad_dressing_s0_w55-65,salad_dressing,0,55,65,K5c,stable_cmd_specific,TRUE,0.8,0.0,stable_no_phys,,,,untested,no_phys,no physical reachability
salad_dressing_s2_w120-130,salad_dressing,2,120,130,K5,stable_negative,FALSE,0.0,0.0,stable_no_phys,,,,untested,Layer1 negative
salad_dressing_s2_w70-80,salad_dressing,2,70,80,K5b,stable_rand_sensitive,FALSE,0.0,1.0,stable_vis_phys,,,,untested,rand_sensitive
salad_dressing_s2_w80-90,salad_dressing,2,80,90,K5b,unstable_or_unknown,FALSE,0.4,0.8,stable_rand_phys,,,,untested,unstable
salad_dressing_s0_w75-85,salad_dressing,0,75,85,K5c,stable_rand_sensitive,FALSE,0.6,0.6,shared_phys,,,,untested,rand_sensitive
alphabet_soup_s1_w65-75,alphabet_soup,1,65,75,K5,stable_negative,FALSE,0.0,0.0,stable_no_phys,,,,untested,Layer1 negative
alphabet_soup_s1_w50-60,alphabet_soup,1,50,60,K5b,unstable_or_unknown,FALSE,0.4,0.4,stable_rand_phys,,,,untested,unstable
alphabet_soup_s0_w60-70,alphabet_soup,0,60,70,K5b,stable_rand_sensitive,FALSE,0.2,1.0,stable_rand_phys,,,,untested,rand_sensitive
alphabet_soup_s0_w55-65,alphabet_soup,0,55,65,K5c,unstable_or_unknown,FALSE,0.2,0.2,unstable_phys,,,,untested,unstable
alphabet_soup_s0_w65-75,alphabet_soup,0,65,75,K5c,stable_rand_sensitive,FALSE,0.2,1.0,shared_phys,,,,untested,rand_sensitive
bbq_sauce_s2_w100-110,bbq_sauce,2,100,110,K5,stable_negative,FALSE,0.0,0.0,stable_no_phys,,,,untested,Layer1 negative
bbq_sauce_s0_w60-70,bbq_sauce,0,60,70,K5b,stable_negative,FALSE,0.0,0.8,stable_rand_phys,,,,untested,Layer1 negative
bbq_sauce_s0_w70-80,bbq_sauce,0,70,80,K5c,stable_rand_sensitive,FALSE,0.0,0.4,stable_rand_phys,,,,untested,rand_sensitive
orange_juice_s0_w50-60,orange_juice,0,50,60,K5c,stable_rand_sensitive,FALSE,0.0,1.0,stable_rand_phys,,,,untested,rand_sensitive
