stage,commit,attack_seed,condition,candidate_id,candidate_seed,selection_metric,surrogate_target31744_margin,delta_sha256,processor_input_sha256,budget_quantized_correction_count,selected
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,10,795214068,surrogate_target31744_margin,0.25,5c6c7fdec74d5513fd34ebf00a9b1a3cf0d819bdab34485f0965e7a6394597c0,cfa310c89f37fb5647fbd859b77c5910b370063c717f3cab460024d41f6fa43f,105,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,11,1035137808,surrogate_target31744_margin,0.25,9a8ae2b87b39c77a186dad13bb50c3fd4c99c35c2ef9e07c3ff2ea7d01a22735,dd2cdb54063d0e910515c57c60ff564a1062ff5a78435551abadac5ad645cb00,121,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,12,909044177,surrogate_target31744_margin,-0.25,42a96c0fded79c23489bd5814d969eac6945aa8361943757680496087f0c94f2,7d0ccaab93049fbf792841fa49006e8be2f78fb51098c0a97e108e8b825d7e31,95,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,13,1951432582,surrogate_target31744_margin,0.25,0423e75b45853f020c94677fdffbf1e5630e8f256372a548d2caeca67577b829,e34cbed1b4ce79ade764ec72e6aa32c547415e1240472ba2c9a9ccbf9bed05f2,102,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,14,1362647410,surrogate_target31744_margin,0.25,adffd66bf5998901eac8b1187bfd603db1243d1ba106336b8da5686ae4d6eff7,4bb4c88147e3c3a6c8cd900f7183bd9b8165373fe2c91cd33a73749ac58be008,104,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,15,604282741,surrogate_target31744_margin,0.0,698bae8ea3aec477395a27ce9b83c32029c3053e89baadc74cd4d49d52537b44,6b3f5569296fabc3282b72f7ad04a74aa091ac8b3b80e2acdbbe73dc7477cd77,121,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,16,1148042176,surrogate_target31744_margin,0.0,118d71789c4eae456cdd6ba96d1c433a1c8774d2791bc514552753fb221dbbe6,8249814862ec077e294fe953799976c7429023021a3c27e4a87ef55e050faf24,101,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,17,1416822634,surrogate_target31744_margin,0.0,f7efc40646554d540e868b4cbec9cca01f9799b74745347576ffbfc974f39866,a6f67e2b7420d238be90486e0972f0097da1d178e91b0f10ad0488f26d44d43d,99,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,18,517570697,surrogate_target31744_margin,0.25,6fdea689010efdd3c86a04d57e7691cf2aa37086697b8a000ccbc2c32dd24928,99c6e0194b2f9c4b2be6d64a1c7d64b57ec763411df5ddd2f54c75fa4b166fff,123,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,19,1308617692,surrogate_target31744_margin,0.5,52ff73323b932191de3fb2b97382b259a485cf1c7c95099976591cf39ba2a35c,8e92aa54b2506ada2744cc5f604d1eb0cffe097e554d5cb52ac3fd002690e3cf,108,0
