window_id,task_key,state_id,seed,window_start,window_end,object100_clean_trace_path,object100_episode_found,clean_trace_exists,clean_success,shadow_trace_available,online_features_available,vis_label_available,vis_3r_available,vis_1r_available,random_label_available,command_susceptible_label_available,teacher_window_found,teacher_window_start,teacher_window_end,teacher_mechanism,teacher_eligible,label_status,taxonomy,vis_open_count,phys_resp,provenance_status,eligible_for_training,class_match,missing_reason,recommended_action
ketchup_s0_w16_33,ketchup,0,0,16,33,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,True,True,True,False,False,False,True,True,145,154,pick_place_transfer,True,positive,action_positive_physical_strong_task_positive,18,1,complete,True,exact_match_clean_and_label,,use directly; extract online features + attach label
butter_s0_w29_46,butter,0,0,29,46,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,130,139,pick_place_transfer,True,positive,action_positive_physical_strong_task_positive,18,1,split groups; merged via manual_trace_merge.csv,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
alphabet_soup_s0_w3_20,alphabet_soup,0,0,3,20,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,True,True,True,False,False,False,True,True,134,143,pick_place_transfer,True,ignore,weak_physical_uncertain,18,0.5,random completed; claim=False because qpos<0.03,True,exact_match_clean_and_label,,use directly; extract online features + attach label
salad_dressing_s0_w31_48,salad_dressing,0,0,31,48,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,True,True,False,False,False,False,False,True,111,120,pick_place_transfer,True,ignore,polluted,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
salad_dressing_s0_w7_24,salad_dressing,0,0,7,24,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,True,True,True,False,False,False,True,True,111,120,pick_place_transfer,True,negative,action_positive_physical_positive_task_negative,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
alphabet_soup_s6_w40_57,alphabet_soup,6,0,40,57,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state6/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,136,145,pick_place_transfer,True,negative,no_action_bridge,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
bbq_sauce_s0_w15_32,bbq_sauce,0,0,15,32,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,True,True,False,False,False,False,False,True,157,166,pick_place_transfer,True,ignore,polluted,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
bbq_sauce_s0_w5_22,bbq_sauce,0,0,5,22,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,True,True,True,False,False,False,True,True,157,166,pick_place_transfer,True,negative,no_action_bridge,1,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
ketchup_s4_w28_45,ketchup,4,0,28,45,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state4/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,116,125,pick_place_transfer,True,negative,no_action_bridge,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
milk_s1_w18_35,milk,1,0,18,35,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state1/step_records.jsonl,True,True,True,True,True,False,True,True,False,False,True,111,120,pick_place_transfer,True,negative,no_action_bridge,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
milk_s8_w8_25,milk,8,0,8,25,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state8/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,141,150,pick_place_transfer,True,negative,no_action_bridge,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
orange_juice_s2_w17_34,orange_juice,2,0,17,34,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state2/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,123,132,pick_place_transfer,True,negative,no_action_bridge,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
salad_dressing_s5_w28_45,salad_dressing,5,0,28,45,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state5/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,149,158,pick_place_transfer,True,negative,no_action_bridge,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
tomato_sauce_s1_w23_40,tomato_sauce,1,0,23,40,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state1/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,157,166,pick_place_transfer,True,negative,no_action_bridge,1,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
tomato_sauce_s3_w17_34,tomato_sauce,3,0,17,34,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state3/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,121,130,pick_place_transfer,True,negative,no_action_bridge,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
