candidate_id,task_key,state_id,window_start,window_end,phase_bin_proxy,expected_role,source_reason,targeted_v2_error,qpos_phase_class,denominator_plan,precheck_status
adp_0017,ketchup,1,18,35,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0018,ketchup,1,21,38,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0019,ketchup,1,23,40,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0020,ketchup,2,4,21,approach_far_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0021,ketchup,2,14,31,approach_far_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0022,ketchup,2,24,41,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0023,ketchup,2,25,42,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0024,ketchup,5,5,22,approach_far_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0025,ketchup,5,9,26,approach_far_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0026,ketchup,5,15,32,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0027,ketchup,5,20,37,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0028,ketchup,9,41,58,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0029,ketchup,3,8,25,approach_far_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0030,ketchup,3,18,35,approach_far_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0031,ketchup,3,28,45,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0032,ketchup,3,33,50,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0033,ketchup,4,8,25,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0034,ketchup,4,18,35,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0035,ketchup,4,23,40,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0036,ketchup,4,28,45,pre_lock_closed_proxy,likely_positive,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0037,alphabet_soup,0,3,20,approach_far_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0038,alphabet_soup,2,11,28,approach_far_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0039,alphabet_soup,3,21,38,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0040,alphabet_soup,4,3,20,approach_far_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0041,alphabet_soup,4,4,21,approach_far_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0042,alphabet_soup,4,13,30,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0043,alphabet_soup,4,18,35,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0044,alphabet_soup,6,19,36,approach_far_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0045,alphabet_soup,6,29,46,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0046,alphabet_soup,6,39,56,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0047,alphabet_soup,6,40,57,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0048,alphabet_soup,7,60,77,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0049,alphabet_soup,8,9,26,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0050,alphabet_soup,8,12,29,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0051,alphabet_soup,8,19,36,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0052,alphabet_soup,8,24,41,approach_near_closed_proxy,hard_negative,adaptive_pool: alphabet_soup priority=2,,,clean_random_precheck_required,pending
adp_0053,bbq_sauce,0,5,22,approach_far_closed_proxy,hard_negative,adaptive_pool: bbq_sauce priority=2,,,clean_random_precheck_required,pending
adp_0054,bbq_sauce,0,15,32,approach_near_closed_proxy,hard_negative,adaptive_pool: bbq_sauce priority=2,,,clean_random_precheck_required,pending
adp_0055,bbq_sauce,0,25,42,approach_near_closed_proxy,hard_negative,adaptive_pool: bbq_sauce priority=2,,,clean_random_precheck_required,pending
adp_0056,bbq_sauce,4,10,27,approach_far_closed_proxy,hard_negative,adaptive_pool: bbq_sauce priority=2,,,clean_random_precheck_required,pending
adp_0057,bbq_sauce,4,14,31,approach_far_closed_proxy,hard_negative,adaptive_pool: bbq_sauce priority=2,,,clean_random_precheck_required,pending
adp_0058,bbq_sauce,4,20,37,approach_near_closed_proxy,hard_negative,adaptive_pool: bbq_sauce priority=2,,,clean_random_precheck_required,pending
adp_0059,bbq_sauce,4,30,47,approach_near_closed_proxy,hard_negative,adaptive_pool: bbq_sauce priority=2,,,clean_random_precheck_required,pending
adp_0060,bbq_sauce,5,27,44,approach_near_closed_proxy,hard_negative,adaptive_pool: bbq_sauce priority=2,,,clean_random_precheck_required,pending
adp_0061,bbq_sauce,9,22,39,approach_far_closed_proxy,hard_negative,adaptive_pool: bbq_sauce priority=2,,,clean_random_precheck_required,pending
adp_0062,butter,0,7,24,approach_far_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0063,butter,0,17,34,approach_near_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0064,butter,0,22,39,approach_near_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0065,butter,0,27,44,approach_near_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0066,butter,2,13,30,approach_far_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0067,butter,2,23,40,approach_far_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0068,butter,2,33,50,approach_near_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0069,butter,2,38,55,approach_near_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0070,butter,3,29,46,approach_near_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0071,butter,5,25,42,approach_far_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0072,butter,6,7,24,approach_far_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0073,butter,6,17,34,approach_near_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0074,butter,6,22,39,approach_near_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0075,butter,6,27,44,approach_near_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0076,butter,7,10,27,approach_far_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0077,butter,8,36,53,approach_near_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0078,butter,9,11,28,approach_far_closed_proxy,hard_negative,adaptive_pool: butter priority=2,,,clean_random_precheck_required,pending
adp_0079,orange_juice,0,50,67,approach_near_closed_proxy,hard_negative,adaptive_pool: orange_juice priority=2,,,clean_random_precheck_required,pending
adp_0080,orange_juice,1,10,27,approach_near_closed_proxy,hard_negative,adaptive_pool: orange_juice priority=2,,,clean_random_precheck_required,pending
adp_0081,orange_juice,2,17,34,approach_far_closed_proxy,hard_negative,adaptive_pool: orange_juice priority=2,,,clean_random_precheck_required,pending
adp_0082,orange_juice,2,27,44,approach_near_closed_proxy,hard_negative,adaptive_pool: orange_juice priority=2,,,clean_random_precheck_required,pending
adp_0083,orange_juice,2,33,50,approach_near_closed_proxy,hard_negative,adaptive_pool: orange_juice priority=2,,,clean_random_precheck_required,pending
adp_0084,orange_juice,2,37,54,approach_near_closed_proxy,hard_negative,adaptive_pool: orange_juice priority=2,,,clean_random_precheck_required,pending
adp_0085,orange_juice,6,31,48,approach_near_closed_proxy,hard_negative,adaptive_pool: orange_juice priority=2,,,clean_random_precheck_required,pending
adp_0086,orange_juice,7,37,54,approach_near_closed_proxy,hard_negative,adaptive_pool: orange_juice priority=2,,,clean_random_precheck_required,pending
adp_0087,tomato_sauce,0,42,59,approach_far_closed_proxy,hard_negative,adaptive_pool: tomato_sauce priority=2,,,clean_random_precheck_required,pending
adp_0088,tomato_sauce,0,49,66,approach_near_closed_proxy,hard_negative,adaptive_pool: tomato_sauce priority=2,,,clean_random_precheck_required,pending
adp_0089,tomato_sauce,0,52,69,approach_near_closed_proxy,hard_negative,adaptive_pool: tomato_sauce priority=2,,,clean_random_precheck_required,pending
adp_0090,tomato_sauce,0,62,79,approach_near_closed_proxy,hard_negative,adaptive_pool: tomato_sauce priority=2,,,clean_random_precheck_required,pending
adp_0091,tomato_sauce,1,23,40,approach_near_closed_proxy,hard_negative,adaptive_pool: tomato_sauce priority=2,,,clean_random_precheck_required,pending
adp_0092,tomato_sauce,3,17,34,approach_far_closed_proxy,hard_negative,adaptive_pool: tomato_sauce priority=2,,,clean_random_precheck_required,pending
adp_0093,tomato_sauce,4,40,57,approach_far_closed_proxy,hard_negative,adaptive_pool: tomato_sauce priority=2,,,clean_random_precheck_required,pending
adp_0094,tomato_sauce,4,63,80,approach_near_closed_proxy,hard_negative,adaptive_pool: tomato_sauce priority=2,,,clean_random_precheck_required,pending
adp_0095,tomato_sauce,4,73,90,natural_open_or_release_proxy,control,adaptive_pool: tomato_sauce priority=2,,,clean_random_precheck_required,pending
adp_0096,tomato_sauce,4,83,100,natural_open_or_release_proxy,control,adaptive_pool: tomato_sauce priority=2,,,clean_random_precheck_required,pending
adp_0097,cream_cheese,4,28,45,approach_near_closed_proxy,likely_positive,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0098,cream_cheese,1,49,66,natural_open_or_release_proxy,control,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0099,cream_cheese,1,59,76,natural_open_or_release_proxy,control,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0100,cream_cheese,1,69,86,natural_open_or_release_proxy,control,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0101,cream_cheese,1,74,91,natural_open_or_release_proxy,control,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0102,cream_cheese,3,44,61,approach_near_closed_proxy,likely_positive,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0103,cream_cheese,3,54,71,approach_near_closed_proxy,likely_positive,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0104,cream_cheese,3,64,81,natural_open_or_release_proxy,control,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0105,cream_cheese,3,69,86,natural_open_or_release_proxy,control,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0106,cream_cheese,8,24,41,approach_near_closed_proxy,likely_positive,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0107,cream_cheese,8,34,51,approach_near_closed_proxy,likely_positive,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0108,cream_cheese,8,44,61,natural_open_or_release_proxy,control,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0109,cream_cheese,8,49,66,natural_open_or_release_proxy,control,adaptive_pool: cream_cheese priority=1,,,clean_random_precheck_required,pending
adp_0110,salad_dressing,0,7,24,approach_far_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0111,salad_dressing,0,11,28,approach_near_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0112,salad_dressing,0,21,38,approach_near_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0113,salad_dressing,0,31,48,pre_lock_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0114,salad_dressing,1,26,43,approach_near_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0115,salad_dressing,2,9,26,approach_near_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0116,salad_dressing,4,22,39,approach_near_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0117,salad_dressing,5,28,45,approach_far_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0118,salad_dressing,5,30,47,approach_far_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0119,salad_dressing,5,40,57,approach_near_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0120,salad_dressing,5,50,67,approach_near_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0121,salad_dressing,3,19,36,approach_far_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0122,salad_dressing,3,29,46,approach_near_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0123,salad_dressing,3,39,56,approach_near_closed_proxy,likely_positive,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0124,salad_dressing,3,44,61,unknown_proxy,control,adaptive_pool: salad_dressing priority=1,,,clean_random_precheck_required,pending
adp_0125,chocolate_pudding,2,14,31,approach_far_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0126,chocolate_pudding,2,24,41,approach_near_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0127,chocolate_pudding,2,34,51,approach_near_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0128,chocolate_pudding,3,40,57,approach_near_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0129,chocolate_pudding,4,15,32,approach_far_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0130,chocolate_pudding,5,32,49,approach_near_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0131,chocolate_pudding,6,2,19,approach_far_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0132,chocolate_pudding,6,12,29,approach_far_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0133,chocolate_pudding,6,22,39,approach_near_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0134,chocolate_pudding,6,27,44,approach_near_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0135,chocolate_pudding,9,28,45,approach_near_closed_proxy,likely_positive,adaptive_pool: chocolate_pudding priority=1,,,clean_random_precheck_required,pending
adp_0136,ketchup,1,53,70,stable_post_lock_control,control,adaptive_pool: late window control,,,clean_random_precheck_required,pending
adp_0137,ketchup,2,54,71,stable_post_lock_control,control,adaptive_pool: late window control,,,clean_random_precheck_required,pending
adp_0138,ketchup,5,55,72,stable_post_lock_control,control,adaptive_pool: late window control,,,clean_random_precheck_required,pending
adp_0139,ketchup,3,53,70,stable_post_lock_control,control,adaptive_pool: late window control,,,clean_random_precheck_required,pending
adp_0140,ketchup,4,53,70,stable_post_lock_control,control,adaptive_pool: late window control,,,clean_random_precheck_required,pending
adp_0141,milk,5,57,74,stable_post_lock_control,control,adaptive_pool: late window control,,,clean_random_precheck_required,pending
adp_0142,milk,1,53,70,stable_post_lock_control,control,adaptive_pool: late window control,,,clean_random_precheck_required,pending
adp_0143,milk,9,55,72,stable_post_lock_control,control,adaptive_pool: late window control,,,clean_random_precheck_required,pending
adp_0144,bbq_sauce,0,55,72,stable_post_lock_control,control,adaptive_pool: late window control,,,clean_random_precheck_required,pending
adp_0145,bbq_sauce,4,55,72,stable_post_lock_control,control,adaptive_pool: late window control,,,clean_random_precheck_required,pending
