task,state_id,split,teacher_anchor,teacher_ws,teacher_we,d5_emit,d5_score,emit_class,trace_dir,n_candidates
ketchup,18,train,52,50,60,52,0.2579379975795746,exact,gpu50/ketchup_s18_shadow_attempt1,5
ketchup,7,train,61,59,69,61,0.18873433768749237,exact,gpu26/ketchup_s7_shadow_attempt1,5
ketchup,31,train,52,50,60,52,0.27151116728782654,exact,gpu26/ketchup_s31_shadow_attempt1,2
ketchup,9,train,66,64,74,66,0.1857748031616211,exact,gpu26/ketchup_s9_shadow_attempt1,6
ketchup,2,val,56,54,64,56,0.17211797833442688,exact,gpu26/ketchup_s2_shadow_attempt1,2
ketchup,24,val,62,60,70,62,0.2034449577331543,exact,gpu50/ketchup_s24_shadow_attempt1,14
tomato_sauce,29,train,44,42,52,44,0.2164323329925537,exact,gpu50/tomato_sauce_s29_shadow_attempt1,7
tomato_sauce,18,train,70,68,78,70,0.265020489692688,exact,gpu26/tomato_sauce_s18_shadow_attempt1,9
tomato_sauce,2,train,97,95,105,97,0.20979338884353638,exact,gpu26/tomato_sauce_s2_shadow_attempt1,2
tomato_sauce,49,train,78,76,86,78,0.1178426742553711,exact,gpu26/tomato_sauce_s49_shadow_attempt1,9
tomato_sauce,23,train,141,139,149,69,0.25850242376327515,early,gpu50/tomato_sauce_s23_shadow_attempt1,2
tomato_sauce,19,train,53,51,61,53,0.1995057612657547,exact,gpu26/tomato_sauce_s19_shadow_attempt1,3
tomato_sauce,47,train,75,73,83,75,0.2549510598182678,exact,gpu26/tomato_sauce_s47_shadow_attempt1,1
tomato_sauce,34,val,186,184,194,186,0.2049534171819687,exact,gpu26/tomato_sauce_s34_shadow_attempt1,7
tomato_sauce,36,val,65,63,73,65,0.26345503330230713,exact,gpu50/tomato_sauce_s36_shadow_attempt1,7
butter,45,train,52,50,60,52,0.254390150308609,exact,gpu26/butter_s45_shadow_attempt1,3
butter,10,train,57,55,65,57,0.29749372601509094,exact,gpu50/butter_s10_shadow_attempt1,6
butter,15,train,56,54,64,56,0.33018454909324646,exact,gpu26/butter_s15_shadow_attempt1,3
butter,26,train,63,61,71,63,0.2594539225101471,exact,gpu26/butter_s26_shadow_attempt1,4
butter,2,train,68,66,76,68,0.05321625992655754,exact,gpu50/butter_s2_shadow_attempt1,6
butter,11,train,60,58,68,60,0.3000238537788391,exact,gpu26/butter_s11_shadow_attempt1,3
butter,28,val,65,63,73,65,0.32489633560180664,exact,gpu50/butter_s28_shadow_attempt1,2
milk,2,train,113,111,121,67,0.20606805384159088,early,gpu26/milk_s2_shadow_attempt1,10
milk,36,train,51,49,59,51,0.2676507234573364,exact,gpu26/milk_s36_shadow_attempt1,1
milk,11,train,57,55,65,57,0.2021373212337494,exact,gpu26/milk_s11_shadow_attempt1,2
milk,31,train,40,38,48,40,0.22449950873851776,exact,gpu26/milk_s31_shadow_attempt1,2
milk,27,train,53,51,61,53,0.2775947153568268,exact,gpu50/milk_s27_shadow_attempt1,3
milk,30,train,43,41,51,43,0.2028798758983612,exact,gpu26/milk_s30_shadow_attempt1,1
milk,40,train,47,45,55,47,0.2101036012172699,exact,gpu50/milk_s40_shadow_attempt1,1
milk,7,val,47,45,55,47,0.21803760528564453,exact,gpu26/milk_s7_shadow_attempt1,2
milk,9,val,49,47,57,49,0.13396449387073517,exact,gpu50/milk_s9_shadow_attempt1,7
chocolate_pudding,40,train,54,52,62,54,0.23967474699020386,exact,gpu26/chocolate_pudding_s40_shadow_attempt1,6
chocolate_pudding,3,train,59,57,67,59,0.18805605173110962,exact,gpu50/chocolate_pudding_s3_shadow_attempt1,4
chocolate_pudding,22,train,90,88,98,54,0.2872591018676758,early,gpu26/chocolate_pudding_s22_shadow_attempt1,12
chocolate_pudding,47,train,59,57,67,59,0.3021937906742096,exact,gpu26/chocolate_pudding_s47_shadow_attempt1,3
chocolate_pudding,23,train,47,45,55,47,0.297870934009552,exact,gpu26/chocolate_pudding_s23_shadow_attempt1,2
chocolate_pudding,2,val,58,56,66,58,0.26653316617012024,exact,gpu26/chocolate_pudding_s2_shadow_attempt1,4
orange_juice,8,train,42,40,50,42,0.22254343330860138,exact,gpu50/orange_juice_s8_shadow_attempt1,1
orange_juice,29,train,62,60,70,62,0.16158348321914673,exact,gpu26/orange_juice_s29_shadow_attempt1,1
orange_juice,49,train,61,59,69,61,0.20579364895820618,exact,gpu50/orange_juice_s49_shadow_attempt1,1
orange_juice,30,train,63,61,71,63,0.18928493559360504,exact,gpu26/orange_juice_s30_shadow_attempt1,1
orange_juice,13,train,58,56,66,58,0.22288702428340912,exact,gpu50/orange_juice_s13_shadow_attempt1,2
orange_juice,41,train,57,55,65,57,0.2289353609085083,exact,gpu26/orange_juice_s41_shadow_attempt1,3
orange_juice,16,train,53,51,61,53,0.23662647604942322,exact,gpu50/orange_juice_s16_shadow_attempt1,1
orange_juice,39,val,43,41,51,43,0.05759748816490173,exact,gpu26/orange_juice_s39_shadow_attempt1,1
