window_id,task_key,state_id,window_start,window_end,feature_source,features_available,n_window_frames,n_total_steps,gripper_qpos_mean,gripper_qpos_std,gripper_qpos_min,gripper_qpos_max,gripper_qpos_at_start,gripper_qpos_range,gripper_is_closed,gripper_is_open,gripper_width_mean,gripper_width_std,gripper_command_mean,gripper_command_std,gripper_command_open_rate,grip_action_mean,grip_action_std,clean_open_count,clean_open_rate,clean_longest_open_streak,eef_displacement,eef_z_mean,eef_z_trend,qpos_delta_from_pre,grip_delta_from_pre,window_start_frac,window_center_frac,steps_remaining,mechanism_type,mechanism_eligible,recommended_use
butter_s5_teacher_w150_159,butter,5,150,159,object100_step_records_teacher_window,yes,10,177,0.019746,1.1e-05,0.019727,0.019759,0.019759,3.3e-05,1.0,0.0,0.019746,1.1e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.115496,0.2399,-0.0977,-1e-05,0.0,0.8475,0.8729,18,pick_place_transfer,True,use_teacher_window
butter_s6_teacher_w207_216,butter,6,207,216,object100_step_records_teacher_window,yes,10,235,0.019438,1.9e-05,0.019403,0.019464,0.019403,6.1e-05,1.0,0.0,0.019438,1.9e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.088553,0.2066,-0.0826,0.000203,0.0,0.8809,0.9,19,pick_place_transfer,True,use_teacher_window
butter_s7_teacher_w131_140,butter,7,131,140,object100_step_records_teacher_window,yes,10,160,0.01975,8e-06,0.019739,0.019761,0.019761,2.2e-05,1.0,0.0,0.01975,8e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.076513,0.2105,-0.0712,3.9e-05,0.0,0.8187,0.8469,20,pick_place_transfer,True,use_teacher_window
butter_s8_teacher_w151_160,butter,8,151,160,object100_step_records_teacher_window,yes,10,180,0.019682,1.3e-05,0.019663,0.019701,0.019701,3.8e-05,1.0,0.0,0.019682,1.3e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.083074,0.2412,-0.0788,-3.8e-05,0.0,0.8389,0.8639,20,pick_place_transfer,True,use_teacher_window
butter_s9_teacher_w130_139,butter,9,130,139,object100_step_records_teacher_window,yes,10,150,0.019723,1.1e-05,0.019702,0.019736,0.019736,3.3e-05,1.0,0.0,0.019723,1.1e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.079535,0.2565,-0.0651,6e-06,0.0,0.8667,0.8967,11,pick_place_transfer,True,use_teacher_window
cream_cheese_s0_teacher_w143_152,cream_cheese,0,143,152,object100_step_records_teacher_window,yes,10,163,0.020065,6e-06,0.020048,0.020073,0.020048,2.4e-05,1.0,0.0,0.020065,6e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.075989,0.2151,-0.0537,-3.2e-05,0.0,0.8773,0.9049,11,pick_place_transfer,True,use_teacher_window
cream_cheese_s1_teacher_w128_137,cream_cheese,1,128,137,object100_step_records_teacher_window,yes,10,163,0.020088,3.4e-05,0.02006,0.020186,0.020099,0.000126,1.0,0.0,0.020088,3.4e-05,0.199216,0.398431,0.2,0.6,0.8,2,0.2,2,0.051384,0.1944,-0.0421,9.4e-05,0.1992,0.7853,0.8129,26,pick_place_transfer,True,use_teacher_window
cream_cheese_s2_teacher_w125_134,cream_cheese,2,125,134,object100_step_records_teacher_window,yes,10,145,0.01952,0.000113,0.019279,0.019628,0.019279,0.000349,1.0,0.0,0.01952,0.000113,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.063696,0.2094,-0.0297,0.000623,0.0,0.8621,0.8931,11,pick_place_transfer,True,use_teacher_window
cream_cheese_s3_teacher_w135_144,cream_cheese,3,135,144,object100_step_records_teacher_window,yes,10,155,0.021363,5e-06,0.021354,0.021369,0.021364,1.5e-05,1.0,0.0,0.021363,5e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.064568,0.223,-0.0472,0.000132,0.0,0.871,0.9,11,pick_place_transfer,True,use_teacher_window
cream_cheese_s4_teacher_w166_175,cream_cheese,4,166,175,object100_step_records_teacher_window,yes,10,187,0.020286,5e-06,0.020274,0.020291,0.020274,1.7e-05,1.0,0.0,0.020286,5e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.081252,0.2223,-0.0428,3e-05,0.0,0.8877,0.9118,12,pick_place_transfer,True,use_teacher_window
cream_cheese_s5_teacher_w134_143,cream_cheese,5,134,143,object100_step_records_teacher_window,yes,10,163,0.021256,1.4e-05,0.021223,0.02127,0.021223,4.6e-05,1.0,0.0,0.021256,1.4e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.079982,0.2222,-0.0452,-0.000284,0.0,0.8221,0.8497,20,pick_place_transfer,True,use_teacher_window
cream_cheese_s6_teacher_w110_119,cream_cheese,6,110,119,object100_step_records_teacher_window,yes,10,144,0.021628,7e-06,0.021615,0.021637,0.021633,2.1e-05,1.0,0.0,0.021628,7e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.070335,0.2317,-0.0309,-0.00016,0.0,0.7639,0.7951,25,pick_place_transfer,True,use_teacher_window
cream_cheese_s7_teacher_w113_122,cream_cheese,7,113,122,object100_step_records_teacher_window,yes,10,143,0.019485,4.2e-05,0.019401,0.019541,0.019401,0.00014,1.0,0.0,0.019485,4.2e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.080057,0.2201,-0.0238,0.000163,0.0,0.7902,0.8217,21,pick_place_transfer,True,use_teacher_window
cream_cheese_s8_teacher_w113_122,cream_cheese,8,113,122,object100_step_records_teacher_window,yes,10,140,0.020131,7e-06,0.020117,0.020142,0.020142,2.5e-05,1.0,0.0,0.020131,7e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.083761,0.2201,-0.0482,-0.000141,0.0,0.8071,0.8393,18,pick_place_transfer,True,use_teacher_window
cream_cheese_s9_teacher_w111_120,cream_cheese,9,111,120,object100_step_records_teacher_window,yes,10,131,0.022529,2.4e-05,0.022495,0.02257,0.02257,7.5e-05,1.0,0.0,0.022529,2.4e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.023539,0.1899,-0.0127,-0.000347,0.0,0.8473,0.8817,11,pick_place_transfer,True,use_teacher_window
ketchup_s0_teacher_w145_154,ketchup,0,145,154,object100_step_records_teacher_window,yes,10,169,0.017672,1.6e-05,0.017654,0.017704,0.017704,5e-05,1.0,0.0,0.017672,1.6e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.065353,0.2555,-0.063,-8.2e-05,0.0,0.858,0.8846,15,pick_place_transfer,True,use_teacher_window
ketchup_s1_teacher_w160_169,ketchup,1,160,169,object100_step_records_teacher_window,yes,10,190,0.01712,0.00025,0.016778,0.017557,0.017557,0.000778,1.0,0.0,0.01712,0.00025,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.095381,0.3012,-0.0036,-0.000682,0.0,0.8421,0.8658,21,pick_place_transfer,True,use_teacher_window
ketchup_s2_teacher_w123_132,ketchup,2,123,132,object100_step_records_teacher_window,yes,10,150,0.01767,1.2e-05,0.017657,0.017701,0.017701,4.4e-05,1.0,0.0,0.01767,1.2e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.09569,0.2898,-0.0014,2.8e-05,0.0,0.82,0.85,18,pick_place_transfer,True,use_teacher_window
ketchup_s3_teacher_w137_146,ketchup,3,137,146,object100_step_records_teacher_window,yes,10,165,0.018373,2.6e-05,0.018329,0.018412,0.018412,8.2e-05,1.0,0.0,0.018373,2.6e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.070066,0.2649,-0.0488,-9.3e-05,0.0,0.8303,0.8576,19,pick_place_transfer,True,use_teacher_window
ketchup_s4_teacher_w116_125,ketchup,4,116,125,object100_step_records_teacher_window,yes,10,143,0.010847,5e-06,0.010838,0.010853,0.010838,1.5e-05,1.0,0.0,0.010847,5e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.095202,0.3031,-0.0031,3.1e-05,0.0,0.8112,0.8427,18,pick_place_transfer,True,use_teacher_window
ketchup_s5_teacher_w102_111,ketchup,5,102,111,object100_step_records_teacher_window,yes,10,134,0.01608,1.1e-05,0.016061,0.016097,0.016061,3.6e-05,1.0,0.0,0.01608,1.1e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.097717,0.314,-0.0045,8e-05,0.0,0.7612,0.7948,23,pick_place_transfer,True,use_teacher_window
ketchup_s6_teacher_w226_235,ketchup,6,226,235,object100_step_records_teacher_window,yes,10,279,0.01766,0.000235,0.01715,0.017806,0.017791,0.000656,1.0,0.0,0.01766,0.000235,0.099608,0.298824,0.1,0.8,0.6,1,0.1,1,0.06326,0.2762,-0.0608,-0.000218,0.0996,0.81,0.8262,44,pick_place_transfer,True,use_teacher_window
ketchup_s7_teacher_w142_151,ketchup,7,142,151,object100_step_records_teacher_window,yes,10,162,0.016897,7.6e-05,0.016798,0.01702,0.01702,0.000223,1.0,0.0,0.016897,7.6e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.069001,0.2649,-0.0562,-0.000135,0.0,0.8765,0.9043,11,pick_place_transfer,True,use_teacher_window
ketchup_s8_teacher_w172_181,ketchup,8,172,181,object100_step_records_teacher_window,yes,10,204,0.016978,1.2e-05,0.01696,0.016996,0.016996,3.6e-05,1.0,0.0,0.016978,1.2e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.094775,0.3097,-0.004,-0.000146,0.0,0.8431,0.8652,23,pick_place_transfer,True,use_teacher_window
ketchup_s9_teacher_w148_157,ketchup,9,148,157,object100_step_records_teacher_window,yes,10,169,0.016786,1.4e-05,0.016766,0.016808,0.016808,4.3e-05,1.0,0.0,0.016786,1.4e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.072408,0.2379,-0.068,-3.3e-05,0.0,0.8757,0.9024,12,pick_place_transfer,True,use_teacher_window
milk_s0_teacher_w130_139,milk,0,130,139,object100_step_records_teacher_window,yes,10,150,0.030056,5e-06,0.030046,0.030063,0.030056,1.6e-05,0.0,0.0,0.030056,5e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.086685,0.2774,-0.0754,3.4e-05,0.0,0.8667,0.8967,11,pick_place_transfer,True,use_teacher_window
milk_s1_teacher_w111_120,milk,1,111,120,object100_step_records_teacher_window,yes,10,133,0.028051,8e-06,0.028036,0.028057,0.028054,2.1e-05,1.0,0.0,0.028051,8e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.096248,0.2706,-0.0045,-6e-06,0.0,0.8346,0.8684,13,pick_place_transfer,True,use_teacher_window
milk_s2_teacher_w187_196,milk,2,187,196,object100_step_records_teacher_window,yes,10,219,0.026351,4e-06,0.026342,0.026357,0.026342,1.5e-05,1.0,0.0,0.026351,4e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.080992,0.2839,-0.0663,7.8e-05,0.0,0.8539,0.8744,23,pick_place_transfer,True,use_teacher_window
milk_s4_teacher_w108_117,milk,4,108,117,object100_step_records_teacher_window,yes,10,135,0.025539,2.2e-05,0.025505,0.02557,0.025505,6.6e-05,1.0,0.0,0.025539,2.2e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.093714,0.3071,-0.0045,0.00011,0.0,0.8,0.8333,18,pick_place_transfer,True,use_teacher_window
milk_s5_teacher_w199_208,milk,5,199,208,object100_step_records_teacher_window,yes,10,251,0.039218,0.000293,0.038572,0.039472,0.039284,0.000901,0.0,1.0,0.039218,0.000293,0.896471,0.298824,0.9,-0.8,0.6,9,0.9,6,0.008243,0.2499,-0.0074,0.000666,-0.0498,0.7928,0.8108,43,pick_place_transfer,True,use_reanchored_pre_open_window
milk_s5_teacher_w199_208_reanchored,milk,5,172,185,object100_step_records_reanchored,yes,14,251,0.033038,0.004941,0.027342,0.038994,0.027342,0.011651,0.0,0.0,0.033038,0.004941,0.92493,0.256529,0.9286,-0.857143,0.515079,13,0.9286,11,0.033667,0.2194,0.0335,0.005793,0.6759,0.6853,0.7112,66,pick_place_transfer,,use_reanchored_pre_open_window
milk_s7_teacher_w118_127,milk,7,118,127,object100_step_records_teacher_window,yes,10,138,0.028057,3.2e-05,0.028005,0.028104,0.028104,9.9e-05,1.0,0.0,0.028057,3.2e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.082966,0.3043,-0.0606,-0.000122,0.0,0.8551,0.8877,11,pick_place_transfer,True,use_teacher_window
milk_s8_teacher_w141_150,milk,8,141,150,object100_step_records_teacher_window,yes,10,162,0.027533,0.000652,0.026438,0.028207,0.026438,0.001769,1.0,0.0,0.027533,0.000652,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.019603,0.2242,-0.0174,0.001023,0.0,0.8704,0.8981,12,pick_place_transfer,True,use_teacher_window
milk_s9_teacher_w125_134,milk,9,125,134,object100_step_records_teacher_window,yes,10,166,0.026913,0.000679,0.025173,0.027245,0.027227,0.002072,1.0,0.0,0.026913,0.000679,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.077887,0.2611,-0.0715,-0.000246,0.0,0.753,0.7801,32,pick_place_transfer,True,use_teacher_window
orange_juice_s0_teacher_w203_212,orange_juice,0,203,212,object100_step_records_teacher_window,yes,10,223,0.033637,1e-05,0.033623,0.033654,0.033654,3.2e-05,0.0,0.0,0.033637,1e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.072528,0.239,-0.0724,-3.5e-05,0.0,0.9103,0.9305,11,pick_place_transfer,True,use_teacher_window
orange_juice_s1_teacher_w116_125,orange_juice,1,116,125,object100_step_records_teacher_window,yes,10,146,0.035538,0.000331,0.034886,0.03601,0.034886,0.001124,0.0,1.0,0.035538,0.000331,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.023496,0.2283,-0.0113,0.002514,0.0,0.7945,0.8253,21,pick_place_transfer,True,use_teacher_window
orange_juice_s2_teacher_w123_132,orange_juice,2,123,132,object100_step_records_teacher_window,yes,10,143,0.030265,6e-06,0.030253,0.030272,0.030272,1.9e-05,0.0,0.0,0.030265,6e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.068149,0.2632,-0.0585,6e-06,0.0,0.8601,0.8916,11,pick_place_transfer,True,use_teacher_window
orange_juice_s3_teacher_w122_131,orange_juice,3,122,131,object100_step_records_teacher_window,yes,10,142,0.025477,1.5e-05,0.025457,0.025501,0.025501,4.4e-05,1.0,0.0,0.025477,1.5e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.067153,0.2226,-0.0661,-6.7e-05,0.0,0.8592,0.8908,11,pick_place_transfer,True,use_teacher_window
orange_juice_s4_teacher_w123_132,orange_juice,4,123,132,object100_step_records_teacher_window,yes,10,153,0.029594,0.000326,0.029157,0.030112,0.029881,0.000955,1.0,0.0,0.029594,0.000326,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.060812,0.2201,-0.0605,-0.000327,0.0,0.8039,0.8333,21,pick_place_transfer,True,use_teacher_window
orange_juice_s6_teacher_w123_132,orange_juice,6,123,132,object100_step_records_teacher_window,yes,10,144,0.02742,5e-06,0.027414,0.02743,0.02743,1.6e-05,1.0,0.0,0.02742,5e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.068397,0.2255,-0.0638,4.8e-05,0.0,0.8542,0.8854,12,pick_place_transfer,True,use_teacher_window
orange_juice_s7_teacher_w180_189,orange_juice,7,180,189,object100_step_records_teacher_window,yes,10,200,0.039535,0.000799,0.038585,0.040501,0.040496,0.001916,0.0,1.0,0.039535,0.000799,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.041324,0.2104,-0.0402,-0.000764,0.0,0.9,0.9225,11,pick_place_transfer,True,use_teacher_window
orange_juice_s8_teacher_w92_101,orange_juice,8,92,101,object100_step_records_teacher_window,yes,10,118,0.023424,1e-06,0.023422,0.023426,0.023425,4e-06,1.0,0.0,0.023424,1e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.093752,0.2893,-0.0014,-1.1e-05,0.0,0.7797,0.8178,17,pick_place_transfer,True,use_teacher_window
salad_dressing_s0_teacher_w111_120,salad_dressing,0,111,120,object100_step_records_teacher_window,yes,10,131,0.017763,5e-06,0.017753,0.01777,0.017753,1.7e-05,1.0,0.0,0.017763,5e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.084656,0.2791,-0.0661,0.000145,0.0,0.8473,0.8817,11,pick_place_transfer,True,use_teacher_window
salad_dressing_s1_teacher_w106_115,salad_dressing,1,106,115,object100_step_records_teacher_window,yes,10,134,0.013247,1.3e-05,0.013233,0.013268,0.013233,3.4e-05,1.0,0.0,0.013247,1.3e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.093957,0.3204,-0.0024,3e-05,0.0,0.791,0.8246,19,pick_place_transfer,True,use_teacher_window
salad_dressing_s2_teacher_w101_110,salad_dressing,2,101,110,object100_step_records_teacher_window,yes,10,121,0.018391,7.7e-05,0.01826,0.018484,0.018441,0.000224,1.0,0.0,0.018391,7.7e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.081597,0.2726,-0.0673,-3.5e-05,0.0,0.8347,0.8719,11,pick_place_transfer,True,use_teacher_window
salad_dressing_s3_teacher_w108_117,salad_dressing,3,108,117,object100_step_records_teacher_window,yes,10,137,0.016178,7.4e-05,0.016058,0.016291,0.016291,0.000233,1.0,0.0,0.016178,7.4e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.096576,0.3211,-0.0045,-0.000357,0.0,0.7883,0.8212,20,pick_place_transfer,True,use_teacher_window
salad_dressing_s4_teacher_w108_117,salad_dressing,4,108,117,object100_step_records_teacher_window,yes,10,128,0.018417,1.1e-05,0.018397,0.018429,0.018429,3.2e-05,1.0,0.0,0.018417,1.1e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.073046,0.2831,-0.0408,2.2e-05,0.0,0.8438,0.8789,11,pick_place_transfer,True,use_teacher_window
salad_dressing_s5_teacher_w149_158,salad_dressing,5,149,158,object100_step_records_teacher_window,yes,10,169,0.0185,1e-05,0.01848,0.018515,0.0185,3.5e-05,1.0,0.0,0.0185,1e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.023246,0.2033,0.0114,4e-05,0.0,0.8817,0.9083,11,pick_place_transfer,True,use_teacher_window
salad_dressing_s6_teacher_w134_143,salad_dressing,6,134,143,object100_step_records_teacher_window,yes,10,154,0.018791,3.9e-05,0.018729,0.018849,0.018849,0.00012,1.0,0.0,0.018791,3.9e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.073707,0.2852,-0.0333,-0.00021,0.0,0.8701,0.8994,11,pick_place_transfer,True,use_teacher_window
salad_dressing_s7_teacher_w122_131,salad_dressing,7,122,131,object100_step_records_teacher_window,yes,10,148,0.012083,0.000183,0.0118,0.012366,0.012366,0.000566,1.0,0.0,0.012083,0.000183,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.097319,0.3089,-0.0212,-0.000912,0.0,0.8243,0.8547,17,pick_place_transfer,True,use_teacher_window
salad_dressing_s8_teacher_w94_103,salad_dressing,8,94,103,object100_step_records_teacher_window,yes,10,114,0.015788,7.7e-05,0.015666,0.015912,0.015912,0.000246,1.0,0.0,0.015788,7.7e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.095569,0.3136,0.0055,-0.000384,0.0,0.8246,0.864,11,pick_place_transfer,True,use_teacher_window
tomato_sauce_s0_teacher_w199_208,tomato_sauce,0,199,208,object100_step_records_teacher_window,yes,10,219,0.037052,9.8e-05,0.036899,0.037206,0.037206,0.000307,0.0,1.0,0.037052,9.8e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.078856,0.2355,-0.0471,-0.000558,0.0,0.9087,0.9292,11,pick_place_transfer,True,use_teacher_window
tomato_sauce_s1_teacher_w157_166,tomato_sauce,1,157,166,object100_step_records_teacher_window,yes,10,195,0.027553,0.000103,0.027444,0.027703,0.027465,0.000259,1.0,0.0,0.027553,0.000103,0.298824,0.45646,0.3,0.4,0.916515,3,0.3,1,0.038364,0.1985,-0.037,3e-05,0.2988,0.8051,0.8282,29,pick_place_transfer,True,use_teacher_window
tomato_sauce_s2_teacher_w156_165,tomato_sauce,2,156,165,object100_step_records_teacher_window,yes,10,178,0.030714,7.7e-05,0.030602,0.030841,0.030841,0.00024,0.0,0.0,0.030714,7.7e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.074251,0.241,-0.0511,-0.000354,0.0,0.8764,0.9017,13,pick_place_transfer,True,use_teacher_window
tomato_sauce_s3_teacher_w121_130,tomato_sauce,3,121,130,object100_step_records_teacher_window,yes,10,151,0.030252,3e-06,0.030244,0.030255,0.030254,1.1e-05,0.0,0.0,0.030252,3e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.082676,0.25,-0.0514,-1e-06,0.0,0.8013,0.8311,21,pick_place_transfer,True,use_teacher_window
tomato_sauce_s4_teacher_w141_150,tomato_sauce,4,141,150,object100_step_records_teacher_window,yes,10,172,0.029191,2.3e-05,0.029155,0.029228,0.029228,7.3e-05,1.0,0.0,0.029191,2.3e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.049431,0.2063,-0.0417,-9.7e-05,0.0,0.8198,0.8459,22,pick_place_transfer,True,use_teacher_window
