window_id,task_key,state_id,teacher_window_start,teacher_window_end,mechanism_type,mechanism_eligible,clean_success,gripper_command_mean,gripper_qpos_mean,gripper_width_mean,clean_open_count_in_window,clean_open_rate_in_window,first_approach_open_step,final_release_step,object_lifted_in_window,eef_z_mean_window,ceiling_open,release_safe_or_too_late,holding_phase,window_alignment_vs_natural_open,reanchored_window_start,reanchored_window_end,recommended_use,n_total_steps
ketchup_s1_teacher_w160_169,ketchup,1,160,169,pick_place_transfer,True,True,0.0,0.01712,0.01712,0,0.0,10,-1,True,0.3012,False,False,True,between_approach_and_release,160,169,use_teacher_window,190
ketchup_s2_teacher_w123_132,ketchup,2,123,132,pick_place_transfer,True,True,0.0,0.01767,0.01767,0,0.0,11,-1,True,0.2898,False,False,True,between_approach_and_release,123,132,use_teacher_window,150
ketchup_s3_teacher_w137_146,ketchup,3,137,146,pick_place_transfer,True,True,0.0,0.018373,0.018373,0,0.0,10,-1,True,0.2649,False,False,True,between_approach_and_release,137,146,use_teacher_window,165
ketchup_s4_teacher_w116_125,ketchup,4,116,125,pick_place_transfer,True,True,0.0,0.010847,0.010847,0,0.0,10,-1,True,0.3031,False,False,True,between_approach_and_release,116,125,use_teacher_window,143
ketchup_s5_teacher_w102_111,ketchup,5,102,111,pick_place_transfer,True,True,0.0,0.01608,0.01608,0,0.0,10,-1,True,0.314,False,False,True,between_approach_and_release,102,111,use_teacher_window,134
ketchup_s6_teacher_w226_235,ketchup,6,226,235,pick_place_transfer,True,True,0.0996,0.01766,0.01766,1,0.1,10,-1,True,0.2762,False,False,True,between_approach_and_release,226,235,use_teacher_window,279
ketchup_s7_teacher_w142_151,ketchup,7,142,151,pick_place_transfer,True,True,0.0,0.016897,0.016897,0,0.0,10,-1,True,0.2649,False,False,True,between_approach_and_release,142,151,use_teacher_window,162
ketchup_s8_teacher_w172_181,ketchup,8,172,181,pick_place_transfer,True,True,0.0,0.016978,0.016978,0,0.0,10,-1,True,0.3097,False,False,True,between_approach_and_release,172,181,use_teacher_window,204
ketchup_s9_teacher_w148_157,ketchup,9,148,157,pick_place_transfer,True,True,0.0,0.016786,0.016786,0,0.0,10,-1,True,0.2379,False,False,True,between_approach_and_release,148,157,use_teacher_window,169
milk_s0_teacher_w130_139,milk,0,130,139,pick_place_transfer,True,True,0.0,0.030056,0.030056,0,0.0,10,-1,True,0.2774,False,False,False,between_approach_and_release,130,139,use_teacher_window,150
milk_s1_teacher_w111_120,milk,1,111,120,pick_place_transfer,True,True,0.0,0.028051,0.028051,0,0.0,10,-1,True,0.2706,False,False,True,between_approach_and_release,111,120,use_teacher_window,133
milk_s2_teacher_w187_196,milk,2,187,196,pick_place_transfer,True,True,0.0,0.026351,0.026351,0,0.0,11,-1,True,0.2839,False,False,True,between_approach_and_release,187,196,use_teacher_window,219
milk_s4_teacher_w108_117,milk,4,108,117,pick_place_transfer,True,True,0.0,0.025539,0.025539,0,0.0,10,-1,True,0.3071,False,False,True,between_approach_and_release,108,117,use_teacher_window,135
milk_s5_teacher_w199_208,milk,5,199,208,pick_place_transfer,True,True,0.8965,0.039218,0.039218,9,0.9,10,-1,True,0.2499,True,False,False,between_approach_and_release,172,185,use_reanchored_pre_open_window,251
milk_s7_teacher_w118_127,milk,7,118,127,pick_place_transfer,True,True,0.0,0.028057,0.028057,0,0.0,10,-1,True,0.3043,False,False,True,between_approach_and_release,118,127,use_teacher_window,138
milk_s8_teacher_w141_150,milk,8,141,150,pick_place_transfer,True,True,0.0,0.027533,0.027533,0,0.0,10,-1,True,0.2242,False,False,True,between_approach_and_release,141,150,use_teacher_window,162
milk_s9_teacher_w125_134,milk,9,125,134,pick_place_transfer,True,True,0.0,0.026913,0.026913,0,0.0,10,-1,True,0.2611,False,False,True,between_approach_and_release,125,134,use_teacher_window,166
orange_juice_s0_teacher_w203_212,orange_juice,0,203,212,pick_place_transfer,True,True,0.0,0.033637,0.033637,0,0.0,10,-1,True,0.239,False,False,False,between_approach_and_release,203,212,use_teacher_window,223
orange_juice_s1_teacher_w116_125,orange_juice,1,116,125,pick_place_transfer,True,True,0.0,0.035538,0.035538,0,0.0,10,-1,True,0.2283,False,False,False,between_approach_and_release,116,125,use_teacher_window,146
orange_juice_s2_teacher_w123_132,orange_juice,2,123,132,pick_place_transfer,True,True,0.0,0.030265,0.030265,0,0.0,10,-1,True,0.2632,False,False,False,between_approach_and_release,123,132,use_teacher_window,143
orange_juice_s3_teacher_w122_131,orange_juice,3,122,131,pick_place_transfer,True,True,0.0,0.025477,0.025477,0,0.0,10,-1,True,0.2226,False,False,True,between_approach_and_release,122,131,use_teacher_window,142
orange_juice_s4_teacher_w123_132,orange_juice,4,123,132,pick_place_transfer,True,True,0.0,0.029594,0.029594,0,0.0,10,-1,True,0.2201,False,False,True,between_approach_and_release,123,132,use_teacher_window,153
orange_juice_s6_teacher_w123_132,orange_juice,6,123,132,pick_place_transfer,True,True,0.0,0.02742,0.02742,0,0.0,10,-1,True,0.2255,False,False,True,between_approach_and_release,123,132,use_teacher_window,144
orange_juice_s7_teacher_w180_189,orange_juice,7,180,189,pick_place_transfer,True,True,0.0,0.039535,0.039535,0,0.0,10,-1,True,0.2104,False,False,False,between_approach_and_release,180,189,use_teacher_window,200
orange_juice_s8_teacher_w92_101,orange_juice,8,92,101,pick_place_transfer,True,True,0.0,0.023424,0.023424,0,0.0,10,-1,True,0.2893,False,False,True,between_approach_and_release,92,101,use_teacher_window,118
salad_dressing_s0_teacher_w111_120,salad_dressing,0,111,120,pick_place_transfer,True,True,0.0,0.017763,0.017763,0,0.0,10,-1,True,0.2791,False,False,True,between_approach_and_release,111,120,use_teacher_window,131
salad_dressing_s1_teacher_w106_115,salad_dressing,1,106,115,pick_place_transfer,True,True,0.0,0.013247,0.013247,0,0.0,10,-1,True,0.3204,False,False,True,between_approach_and_release,106,115,use_teacher_window,134
salad_dressing_s2_teacher_w101_110,salad_dressing,2,101,110,pick_place_transfer,True,True,0.0,0.018391,0.018391,0,0.0,10,-1,True,0.2726,False,False,True,between_approach_and_release,101,110,use_teacher_window,121
salad_dressing_s3_teacher_w108_117,salad_dressing,3,108,117,pick_place_transfer,True,True,0.0,0.016178,0.016178,0,0.0,10,-1,True,0.3211,False,False,True,between_approach_and_release,108,117,use_teacher_window,137
salad_dressing_s4_teacher_w108_117,salad_dressing,4,108,117,pick_place_transfer,True,True,0.0,0.018417,0.018417,0,0.0,10,-1,True,0.2831,False,False,True,between_approach_and_release,108,117,use_teacher_window,128
salad_dressing_s5_teacher_w149_158,salad_dressing,5,149,158,pick_place_transfer,True,True,0.0,0.0185,0.0185,0,0.0,10,-1,True,0.2033,False,False,True,between_approach_and_release,149,158,use_teacher_window,169
salad_dressing_s6_teacher_w134_143,salad_dressing,6,134,143,pick_place_transfer,True,True,0.0,0.018791,0.018791,0,0.0,10,-1,True,0.2852,False,False,True,between_approach_and_release,134,143,use_teacher_window,154
salad_dressing_s7_teacher_w122_131,salad_dressing,7,122,131,pick_place_transfer,True,True,0.0,0.012083,0.012083,0,0.0,10,-1,True,0.3089,False,False,True,between_approach_and_release,122,131,use_teacher_window,148
salad_dressing_s8_teacher_w94_103,salad_dressing,8,94,103,pick_place_transfer,True,True,0.0,0.015788,0.015788,0,0.0,10,-1,True,0.3136,False,False,True,between_approach_and_release,94,103,use_teacher_window,114
tomato_sauce_s0_teacher_w199_208,tomato_sauce,0,199,208,pick_place_transfer,True,True,0.0,0.037052,0.037052,0,0.0,10,-1,True,0.2355,False,False,False,between_approach_and_release,199,208,use_teacher_window,219
tomato_sauce_s1_teacher_w157_166,tomato_sauce,1,157,166,pick_place_transfer,True,True,0.2988,0.027553,0.027553,3,0.3,10,-1,True,0.1985,False,False,True,between_approach_and_release,157,166,use_teacher_window,195
tomato_sauce_s2_teacher_w156_165,tomato_sauce,2,156,165,pick_place_transfer,True,True,0.0,0.030714,0.030714,0,0.0,10,-1,True,0.241,False,False,False,between_approach_and_release,156,165,use_teacher_window,178
tomato_sauce_s3_teacher_w121_130,tomato_sauce,3,121,130,pick_place_transfer,True,True,0.0,0.030252,0.030252,0,0.0,10,-1,True,0.25,False,False,False,between_approach_and_release,121,130,use_teacher_window,151
tomato_sauce_s4_teacher_w141_150,tomato_sauce,4,141,150,pick_place_transfer,True,True,0.0,0.029191,0.029191,0,0.0,10,-1,True,0.2063,False,False,True,between_approach_and_release,141,150,use_teacher_window,172
tomato_sauce_s5_teacher_w136_145,tomato_sauce,5,136,145,pick_place_transfer,True,True,0.3984,0.030818,0.030818,4,0.4,10,-1,True,0.1866,False,False,False,between_approach_and_release,136,145,use_teacher_window,176
tomato_sauce_s6_teacher_w123_132,tomato_sauce,6,123,132,pick_place_transfer,True,True,0.0,0.029003,0.029003,0,0.0,10,-1,True,0.2518,False,False,True,between_approach_and_release,123,132,use_teacher_window,159
tomato_sauce_s8_teacher_w110_119,tomato_sauce,8,110,119,pick_place_transfer,True,True,0.2988,0.032123,0.032123,3,0.3,10,-1,True,0.2343,False,False,False,between_approach_and_release,110,119,use_teacher_window,142
tomato_sauce_s9_teacher_w120_129,tomato_sauce,9,120,129,pick_place_transfer,True,True,0.0,0.027593,0.027593,0,0.0,10,-1,True,0.2422,False,False,True,between_approach_and_release,120,129,use_teacher_window,150
