task_key,state_id,window_start,window_end,window_len_steps,n_trace_steps,gripper_qpos_mean,gripper_qpos_std,gripper_qpos_min,gripper_qpos_max,gripper_qpos_at_start,gripper_qpos_range,gripper_is_closed,gripper_is_open,grip_open_count,grip_close_count,grip_open_rate,grip_action_mean,grip_action_std,grip_action_switches,clean_longest_open_streak,raw_grip_mean,raw_grip_std,eef_displacement,eef_velocity_mean,eef_z_mean,eef_z_std,eef_z_trend,hazard_mean,hazard_max,hazard_above_001,hazard_above_003,release_mean,phase_mode,qpos_delta_from_pre,grip_action_delta_from_pre,window_start_frac,window_center_frac,window_len_frac,step_at_start,steps_remaining,trace_available,trace_path
ketchup,2,39,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
ketchup,5,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
milk,1,8,25,18,300,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,12,6,0.6667,0.3333,0.9428,4,9,0.332026,0.469556,0.034624,0.002334,0.2484,0.0012,-0.0025,0.014351,0.024141,13,0,0.001188,0,0.0,0.8333,0.0267,0.055,0.06,8,275,yes,vis_milk_s1_clean_223915_trace.csv
milk,4,19,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
milk,5,25,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
milk,9,5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
salad_dressing,0,31,48,18,300,0.707103,0.0,0.707103,0.707103,0.707103,0.0,0.0,1.0,18,0,1.0,1.0,0.0,0,18,0.0,0.0,0.001983,0.000117,0.2573,0.0004,-0.0014,0.000817,0.000858,0,0,2e-06,0,0.0,0.0,0.1033,0.1317,0.06,31,252,yes,vis_salad_dressing_s0_clean_225152_trace.csv
salad_dressing,0,7,24,18,300,0.707103,0.0,0.707103,0.707103,0.707103,0.0,0.0,1.0,18,0,1.0,1.0,0.0,0,18,0.0,0.0,0.002123,0.000125,0.2593,0.0005,-0.0015,0.002046,0.005562,0,0,2.2e-05,0,-1e-06,0.2857,0.0233,0.0517,0.06,7,276,yes,vis_salad_dressing_s0_clean_225152_trace.csv
alphabet_soup,6,40,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
bbq_sauce,0,15,32,18,300,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,2,16,0.1111,-0.7778,0.6285,4,1,0.885403,0.313037,0.039384,0.002502,0.2797,0.0133,0.038,0.010128,0.011267,9,0,0.000506,0,0.0,-0.8444,0.05,0.0783,0.06,15,268,yes,vis_bbq_sauce_s0_clean_221754_trace.csv
bbq_sauce,0,5,22,18,300,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,7,11,0.3889,-0.2222,0.975,9,3,0.608715,0.485586,0.04016,0.003204,0.2577,0.0108,0.0341,0.010175,0.018988,7,0,0.000654,0,0.0,-0.4222,0.0167,0.045,0.06,5,278,yes,vis_bbq_sauce_s0_clean_221754_trace.csv
ketchup,4,28,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
milk,1,18,35,18,300,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,5,13,0.2778,-0.4444,0.8958,6,3,0.71939,0.446147,0.016017,0.001962,0.2518,0.0051,0.013,0.010197,0.011626,10,0,0.000388,0,0.0,-0.6667,0.06,0.0883,0.06,18,265,yes,vis_milk_s1_clean_223915_trace.csv
milk,8,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
orange_juice,2,17,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
salad_dressing,5,28,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
tomato_sauce,1,23,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
tomato_sauce,3,17,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
