parent,task,ws,we,source_trace,source_condition,source_job_id,source_dir,n_pre,pre_step_range,pre_hash,feature_safe
k5b_contrast_tomato_far_tomato_sauce_s0_w55_65_env0,tomato_sauce,55,65,trace_tomato_sauce_vis_pgd_job510052.csv,vis_pgd,510052,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,55,0-54,418e9209,True
k5b_contrast_tomato_late_tomato_sauce_s2_w155_165_env2,tomato_sauce,155,165,trace_tomato_sauce_vis_pgd_job510034.csv,vis_pgd,510034,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,155,0-154,be3737ab,True
k5b_neg_alpha_alphabet_soup_s1_w50_60_env1,alphabet_soup,50,60,trace_alphabet_soup_random_linf_job510137.csv,random_linf,510137,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,50,0-49,9dad658d,True
k5b_neg_bbq_bbq_sauce_s0_w60_70_env0,bbq_sauce,60,70,trace_bbq_sauce_vis_pgd_job510158.csv,vis_pgd,510158,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,60,0-59,f81cde5c,True
k5b_neg_cream_cream_cheese_s0_w85_95_env0,cream_cheese,85,95,trace_cream_cheese_random_linf_job510149.csv,random_linf,510149,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,85,0-84,8927695b,True
k5b_rand_alpha_alphabet_soup_s0_w60_70_env0,alphabet_soup,60,70,trace_alphabet_soup_vis_pgd_job510106.csv,vis_pgd,510106,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,60,0-59,cb902475,True
k5b_rand_salad2_salad_dressing_s1_w50_60_env1,salad_dressing,50,60,trace_salad_dressing_vis_pgd_job510126.csv,vis_pgd,510126,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,50,0-49,be35fa4c,True
k5b_rand_salad_salad_dressing_s2_w80_90_env2,salad_dressing,80,90,trace_salad_dressing_random_linf_job510117.csv,random_linf,510117,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,80,0-79,be3946b9,True
k5b_strict_phys_cream2_cream_cheese_s1_w145_155_env1,cream_cheese,145,155,trace_cream_cheese_random_linf_job510079.csv,random_linf,510079,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,145,0-144,bf1470c3,True
k5b_strict_phys_cream_cream_cheese_s2_w50_60_env2,cream_cheese,50,60,trace_cream_cheese_vis_pgd_job510060.csv,vis_pgd,510060,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,50,0-49,b2f6979d,True
k5b_strict_phys_salad_salad_dressing_s2_w70_80_env2,salad_dressing,70,80,trace_salad_dressing_vis_pgd_job510094.csv,vis_pgd,510094,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,70,0-69,e37f1d01,True
k5b_strict_phys_tomato_tomato_sauce_s2_w165_175_env2,tomato_sauce,165,175,trace_tomato_sauce_random_linf_job510089.csv,random_linf,510089,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,165,0-164,0e84d956,True
k5c_cmd_alpha,alphabet_soup,65,75,trace_alphabet_soup_vis_pgd_job520098.csv,vis_pgd,520098,stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e,65,0-64,aa223b57,True
k5c_cmd_butter,butter,80,90,trace_butter_vis_pgd_job520102.csv,vis_pgd,520102,stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e,80,0-79,16de44aa,True
k5c_cmd_cream,cream_cheese,85,95,trace_cream_cheese_random_linf_job510149.csv,random_linf,510149,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,85,0-84,8927695b,True
k5c_cmd_milk_neg,milk,235,245,trace_milk_random_linf_job520067.csv,random_linf,520067,stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e,235,0-234,d10cec9a,True
k5c_cmd_tomato_early,tomato_sauce,50,60,trace_tomato_sauce_vis_pgd_job520056.csv,vis_pgd,520056,stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e,50,0-49,4d7c27d2,True
k5c_phys_bbq,bbq_sauce,70,80,trace_bbq_sauce_random_linf_job520147.csv,random_linf,520147,stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e,70,0-69,7c1c976c,True
k5c_phys_butter,butter,135,145,trace_butter_random_linf_job520117.csv,random_linf,520117,stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e,135,0-134,37daddd6,True
k5c_rand_alpha,alphabet_soup,55,65,trace_alphabet_soup_vis_pgd_job520046.csv,vis_pgd,520046,stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e,55,0-54,3ca9f341,True
k5c_rand_butter1,butter,90,100,trace_butter_vis_pgd_job520006.csv,vis_pgd,520006,stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e,90,0-89,8e4503f9,True
k5c_rand_butter2,butter,95,105,trace_butter_vis_pgd_job520012.csv,vis_pgd,520012,stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e,95,0-94,a5119e2d,True
k5c_sentinel_milk_gold,milk,70,80,trace_milk_random_linf_job500005.csv,random_linf,500005,stageb_v1_1_k5_repeat_stability_rc1a_a20379f,70,0-69,23fcc2f4,True
