suite,task_idx,task_name,instruction,mechanism_type,eligible_for_gripper_duty,expected_event_count,object_names,target_names,parser_confidence,reason,manual_review_required
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,articulated_object,false,0,,cabinet|drawer,high,articulated_or_appliance_interaction,false
libero_goal,1,put_the_bowl_on_the_stove,put the bowl on the stove,single_object_pick_place,true,1,bowl,stove|bowl,high,single_grasp_place_or_put,false
libero_goal,2,put_the_wine_bottle_on_top_of_the_cabinet,put the wine bottle on top of the cabinet,single_object_pick_place,true,1,wine_bottle,cabinet,high,single_grasp_place_or_put,false
libero_goal,3,open_the_top_drawer_and_put_the_bowl_inside,open the top drawer and put the bowl inside,articulated_object,false,0,bowl,bowl|drawer,high,articulated_or_appliance_interaction,false
libero_goal,4,put_the_bowl_on_top_of_the_cabinet,put the bowl on top of the cabinet,single_object_pick_place,true,1,bowl,cabinet|bowl,high,single_grasp_place_or_put,false
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,planar_or_push,false,0,plate,plate|stove,high,push_not_gripper_duty,false
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,single_object_pick_place,true,1,cream_cheese|bowl,bowl,high,single_grasp_place_or_put,false
libero_goal,7,turn_on_the_stove,turn on the stove,articulated_object,false,0,,stove,high,articulated_or_appliance_interaction,false
libero_goal,8,put_the_bowl_on_the_plate,put the bowl on the plate,single_object_pick_place,true,1,plate|bowl,plate|bowl,high,single_grasp_place_or_put,false
libero_goal,9,put_the_wine_bottle_on_the_rack,put the wine bottle on the rack,single_object_pick_place,true,1,wine_bottle,rack,high,single_grasp_place_or_put,false
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,multi_object_transfer,event_level_audit_only,2,alphabet_soup|tomato_sauce,basket,medium,multi_object_or_multi_stage,true
libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,put both the cream cheese box and the butter in the basket,multi_object_transfer,event_level_audit_only,2,cream_cheese|butter,basket,medium,multi_object_or_multi_stage,true
libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,turn on the stove and put the moka pot on it,articulated_object,false,0,moka_pot,stove,high,articulated_or_appliance_interaction,false
libero_10,3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,put the black bowl in the bottom drawer of the cabinet and close it,articulated_object,false,0,black_bowl|bowl,cabinet|bowl|drawer,high,articulated_or_appliance_interaction,false
libero_10,4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,put the white mug on the left plate and put the yellow and white mug on the right plate,unknown_or_low_signal,false,0,white_mug|yellow_and_white_mug|plate,plate,medium,static_parser_low_confidence,true
libero_10,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,pick up the book and place it in the back compartment of the caddy,single_object_pick_place,true,1,book,caddy,high,single_grasp_place_or_put,false
libero_10,6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,put the white mug on the plate and put the chocolate pudding to the right of the plate,unknown_or_low_signal,false,0,white_mug|chocolate_pudding|plate,plate,medium,static_parser_low_confidence,true
libero_10,7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,put both the alphabet soup and the cream cheese box in the basket,multi_object_transfer,event_level_audit_only,2,cream_cheese|alphabet_soup,basket,medium,multi_object_or_multi_stage,true
libero_10,8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,put both moka pots on the stove,articulated_object,false,0,moka_pot,stove,high,articulated_or_appliance_interaction,false
libero_10,9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,put the yellow and white mug in the microwave and close it,articulated_object,false,0,white_mug|yellow_and_white_mug,microwave,high,articulated_or_appliance_interaction,false
