episode_id,task_name,state_id,split,T_gform,T_pred,trigger_error,window_source,delay,window_start,window_end,actual_window_len,clean_natural_open_ratio,clean_open_count,attack_eligible_strict,structural_valid
obj100_chocolate_pudding_rerun_chocolate_pudding_s5,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,5,train,82,,,teacher_oracle,-50,32,49,18,0.0,0,True,True
obj100_chocolate_pudding_rerun_chocolate_pudding_s6,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,6,val,86,,,teacher_oracle,-50,36,53,18,0.0,0,True,True
obj100_chocolate_pudding_rerun_chocolate_pudding_s9,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,9,train,78,,,teacher_oracle,-50,28,45,18,0.0,0,True,True
obj100_cream_cheese_cream_cheese_s4,pick_up_the_cream_cheese_and_place_it_in_the_basket,4,train,78,,,teacher_oracle,-50,28,45,18,0.0,0,True,True
obj100_ketchup_ketchup_s0,pick_up_the_ketchup_and_place_it_in_the_basket,0,train,66,,,teacher_oracle,-50,16,33,18,0.0,0,True,True
obj100_ketchup_ketchup_s1,pick_up_the_ketchup_and_place_it_in_the_basket,1,val,71,,,teacher_oracle,-50,21,38,18,0.0,0,True,True
obj100_ketchup_ketchup_s2,pick_up_the_ketchup_and_place_it_in_the_basket,2,val,75,,,teacher_oracle,-50,25,42,18,0.0,0,True,True
obj100_ketchup_ketchup_s5,pick_up_the_ketchup_and_place_it_in_the_basket,5,test,59,,,teacher_oracle,-50,9,26,18,0.0,0,True,True
obj100_ketchup_ketchup_s9,pick_up_the_ketchup_and_place_it_in_the_basket,9,train,91,,,teacher_oracle,-50,41,58,18,0.0,0,True,True
obj100_milk_milk_s4,pick_up_the_milk_and_place_it_in_the_basket,4,train,69,,,teacher_oracle,-50,19,36,18,0.0,0,True,True
obj100_milk_milk_s5,pick_up_the_milk_and_place_it_in_the_basket,5,test,75,,,teacher_oracle,-50,25,42,18,0.0,0,True,True
obj100_milk_milk_s8,pick_up_the_milk_and_place_it_in_the_basket,8,train,58,,,teacher_oracle,-50,8,25,18,0.0,0,True,True
obj100_orange_juice_orange_juice_s0,pick_up_the_orange_juice_and_place_it_in_the_basket,0,train,100,,,teacher_oracle,-50,50,67,18,0.0,0,True,True
obj100_orange_juice_orange_juice_s1,pick_up_the_orange_juice_and_place_it_in_the_basket,1,train,60,,,teacher_oracle,-50,10,27,18,0.0,0,True,True
obj100_orange_juice_orange_juice_s2,pick_up_the_orange_juice_and_place_it_in_the_basket,2,test,83,,,teacher_oracle,-50,33,50,18,0.0,0,True,True
obj100_orange_juice_orange_juice_s6,pick_up_the_orange_juice_and_place_it_in_the_basket,6,train,81,,,teacher_oracle,-50,31,48,18,0.0556,1,True,True
obj100_orange_juice_orange_juice_s7,pick_up_the_orange_juice_and_place_it_in_the_basket,7,train,87,,,teacher_oracle,-50,37,54,18,0.0,0,True,True
obj100_salad_dressing_salad_dressing_s0,pick_up_the_salad_dressing_and_place_it_in_the_basket,0,test,57,,,teacher_oracle,-50,7,24,18,0.0,0,True,True
obj100_salad_dressing_salad_dressing_s1,pick_up_the_salad_dressing_and_place_it_in_the_basket,1,train,76,,,teacher_oracle,-50,26,43,18,0.0,0,True,True
obj100_salad_dressing_salad_dressing_s2,pick_up_the_salad_dressing_and_place_it_in_the_basket,2,train,59,,,teacher_oracle,-50,9,26,18,0.0,0,True,True
obj100_salad_dressing_salad_dressing_s4,pick_up_the_salad_dressing_and_place_it_in_the_basket,4,train,72,,,teacher_oracle,-50,22,39,18,0.0,0,True,True
obj100_salad_dressing_salad_dressing_s5,pick_up_the_salad_dressing_and_place_it_in_the_basket,5,val,78,,,teacher_oracle,-50,28,45,18,0.0,0,True,True
obj100_tomato_sauce_tomato_sauce_s0,pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,test,99,,,teacher_oracle,-50,49,66,18,0.0,0,True,True
obj100_tomato_sauce_tomato_sauce_s1,pick_up_the_tomato_sauce_and_place_it_in_the_basket,1,train,73,,,teacher_oracle,-50,23,40,18,0.0,0,True,True
obj100_tomato_sauce_tomato_sauce_s3,pick_up_the_tomato_sauce_and_place_it_in_the_basket,3,train,67,,,teacher_oracle,-50,17,34,18,0.0,0,True,True
obj100_tomato_sauce_tomato_sauce_s4,pick_up_the_tomato_sauce_and_place_it_in_the_basket,4,test,90,,,teacher_oracle,-50,40,57,18,0.0,0,True,True
