task_key,state_id,window_start,window_end,label_vulnerability_ready,label_source,label_status,train_use,taxonomy,mechanism_type,vulnerability_score,vulnerability_pred,detector_variant,detector_model,detector_feature_set,vuln_score_available,predicted_phase,phase_confidence,phase_is_critical,hazard_score_mean,hazard_score_max,release_safe_score_mean,release_safe_score_min,phase_available,phase_source,qpos_delta,vis_open_count,task_failure,qpos_label,action_bridge_status,denominator_status,source_batch,provenance_status,provenance_note,join_status,missing_reason,label_1r,adaptive_status,in_calibration_v2
bbq_sauce,0,30,47,,gold_v2,ignore,ignore,polluted,,,,,,,,,,,,,,,,,0.0,0,True,none,0,False,batch3,unknown,,label_only,"mechanism,vuln_detector,phase,clean_control,adaptive_1r,det_dataset",,,
bbq_sauce,0,5,22,0,gold_v2,negative,train,no_action_bridge,negative_unclassified,0,0,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.0,1,True,none,0,True,batch3b,unknown,,vuln_mech_only_no_phase,"phase,clean_control,adaptive_1r",,,
bbq_sauce,0,55,72,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,adaptive_1r",,,
bbq_sauce,4,55,72,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,adaptive_1r",,,
bbq_sauce,5,27,44,0,gold_v2,negative,train,action_positive_physical_positive_task_negative,negative_unclassified,0,0,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.038119,18,True,strong,1,True,batch3,unknown,,vuln_mech_only_no_phase,"phase,clean_control,adaptive_1r",,,
bbq_sauce,9,22,39,1,gold_v2,positive,train,claim_usable,physical_bridge_positive,0,0,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.038021,18,False,strong,1,True,batch3,unknown,,vuln_mech_only_no_phase,"phase,clean_control,adaptive_1r",,,
butter,0,29,46,1,gold_v2,positive,train,action_positive_physical_strong_task_positive,physical_bridge_positive,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.037905,18,False,strong,1,True,batch1,split groups; merged via manual_trace_merge.csv,split groups; merged via manual_trace_merge.csv,vuln_mech_only_no_phase,"phase,clean_control,adaptive_1r",,,
butter,3,29,46,,gold_v2,ignore,ignore,polluted,,,,,,,,,,,,,,,,,0.0,0,True,none,0,False,batch3,unknown,,label_only,"mechanism,vuln_detector,phase,clean_control,adaptive_1r,det_dataset",,,
butter,5,25,42,1,gold_v2,positive,train,claim_usable,physical_bridge_positive,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.037568,18,False,strong,1,True,batch3,unknown,,vuln_mech_only_no_phase,"phase,clean_control,adaptive_1r",,,1
cream_cheese,1,49,66,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,0.0,0.0,0.998401,0.997797,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
cream_cheese,1,59,76,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,0.0,0.0,1.0,1.0,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
cream_cheese,1,69,86,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,0.0,0.0,0.990316,0.962488,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
cream_cheese,1,74,91,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,0.0,0.0,0.882783,0.668868,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
cream_cheese,3,64,81,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,0.0,0.0,0.999999,0.999996,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
cream_cheese,3,69,86,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,0.0,0.0,0.990316,0.962488,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
cream_cheese,4,28,45,1,gold_v2,positive,train,claim_usable,physical_bridge_positive,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,0.0,0.0,0.0,0.0,1,covered_subset,0.038149,18,False,strong,1,True,batch3,unknown,,fully_joined,"clean_control,adaptive_1r",,,
cream_cheese,8,44,61,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,0.0,0.0,0.995247,0.992221,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
cream_cheese,8,49,66,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,0.0,0.0,0.998401,0.997797,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
ketchup,0,16,33,1,gold_v2,positive,train,action_positive_physical_strong_task_positive,physical_bridge_positive,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,0.0,0.0,0.0,0.0,1,covered_subset,0.038042,18,False,strong,1,True,batch1,complete,complete,fully_joined,clean_control,provisional_silver_positive_1r,VIS1R_DONE,1
ketchup,1,18,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",polluted,PRECHECK_FAILED,
ketchup,1,21,38,1,gold_v2,positive,train,claim_usable,physical_bridge_positive,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,0.0,0.0,0.0,0.0,1,covered_subset,0.037871,18,False,strong,1,True,batch3,unknown,,fully_joined,clean_control,polluted,PRECHECK_FAILED,1
ketchup,1,23,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",polluted,PRECHECK_FAILED,
ketchup,1,53,70,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,3.83117e-05,9.09488e-05,0.0,0.0,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
ketchup,1,8,25,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,0.0,0.0,0.0,0.0,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
ketchup,2,14,31,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,0.0,0.0,0.0,0.0,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
ketchup,2,24,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",infra_failed,VIS1R_INFRA_FAILED,
ketchup,2,39,56,,gold_v2,ignore,ignore,polluted,,,,,,,,,,,,,,,,,0.0,0,True,none,0,False,batch3,unknown,,label_only,"mechanism,vuln_detector,phase,clean_control,adaptive_1r,det_dataset",,,
ketchup,2,4,21,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,0.0,0.0,0.0,0.0,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
ketchup,2,54,71,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,5.30796e-05,9.09488e-05,0.0,0.0,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
ketchup,3,28,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",infra_failed,PRECHECK_INFRA,
ketchup,3,33,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",infra_failed,PRECHECK_INFRA,
ketchup,3,53,70,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,3.83117e-05,9.09488e-05,0.0,0.0,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
ketchup,3,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",infra_failed,PRECHECK_INFRA,
ketchup,4,18,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",infra_failed,PRECHECK_INFRA,
ketchup,4,23,40,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,0.0,0.0,0.0,0.0,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
ketchup,4,28,45,0,gold_v2,negative,train,no_action_bridge,negative_unclassified,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,0.0,0.0,0.0,0.0,1,covered_subset,0.0,0,True,none,0,True,batch3b,unknown,,fully_joined,clean_control,provisional_silver_positive_1r,VIS1R_DONE,
ketchup,4,53,70,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,3.83117e-05,9.09488e-05,0.0,0.0,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
ketchup,4,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",infra_failed,PRECHECK_INFRA,
ketchup,5,15,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",infra_failed,PRECHECK_INFRA,
ketchup,5,5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",infra_failed,PRECHECK_INFRA,
ketchup,5,55,72,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,5.30937e-05,9.09488e-05,0.0,0.0,1,covered_subset,,,,,,,,,,orphan,"labels_v2,vuln_detector,adaptive_1r",,,
ketchup,5,9,26,0,gold_v2,negative,train,action_positive_physical_positive_task_negative,negative_unclassified,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,0.0,0.0,0.0,0.0,1,covered_subset,0.037403,18,True,strong,1,True,batch3,unknown,,fully_joined,"clean_control,adaptive_1r",,,1
milk,1,18,35,0,gold_v2,negative,train,no_action_bridge,negative_unclassified,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.0,0,True,none,0,True,batch3b,unknown,,vuln_mech_only_no_phase,"phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
milk,1,23,40,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
milk,1,28,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",polluted,PRECHECK_FAILED,
milk,1,53,70,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,adaptive_1r",,,
milk,1,8,25,1,gold_v2,positive,train,claim_usable,physical_bridge_positive,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.036838,18,False,strong,1,True,batch3,unknown,,vuln_mech_only_no_phase,"phase,clean_control",infra_failed,VIS1R_INFRA_FAILED,1
milk,4,19,36,1,gold_v2,positive,train,claim_usable,physical_bridge_positive,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.03789,18,False,strong,1,True,batch3,unknown,,vuln_mech_only_no_phase,"phase,clean_control",polluted,PRECHECK_FAILED,1
milk,5,25,42,0,gold_v2,negative,train,action_positive_physical_positive_task_negative,negative_unclassified,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.03799,18,True,strong,1,True,batch3,unknown,,vuln_mech_only_no_phase,"phase,clean_control",polluted,PRECHECK_FAILED,1
milk,5,57,74,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase",polluted,PRECHECK_FAILED,
milk,5,67,84,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase",provisional_silver_positive_1r,VIS1R_DONE,
milk,5,77,94,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase",provisional_silver_positive_1r,VIS1R_DONE,
milk,8,8,25,0,gold_v2,negative,train,no_action_bridge,negative_unclassified,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.0,0,True,none,0,True,batch3b,unknown,,vuln_mech_only_no_phase,"phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
milk,9,15,32,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
milk,9,20,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orphan,"labels_v2,mechanism,vuln_detector,phase,clean_control,det_dataset",polluted,PRECHECK_FAILED,
milk,9,25,42,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
milk,9,5,22,1,gold_v2,ignore,ignore,polluted,mechanism_unclear,,,,,,,,,true,,,,,,,0.0,0,True,none,0,False,batch3,unknown,,label_only,"vuln_detector,phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
milk,9,55,72,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,adaptive_1r",,,
orange_juice,2,17,34,0,gold_v2,negative,train,no_action_bridge,negative_unclassified,0,0,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.0,0,True,none,0,True,batch3b,unknown,,vuln_mech_only_no_phase,"phase,clean_control,adaptive_1r",,,
salad_dressing,0,31,48,,gold_v2,ignore,ignore,polluted,,,,,,,,,,,,,,,,,0.0,0,True,none,0,False,batch3,unknown,,label_only,"mechanism,vuln_detector,phase,clean_control,adaptive_1r,det_dataset",,,
salad_dressing,0,7,24,0,gold_v2,negative,train,action_positive_physical_positive_task_negative,negative_unclassified,0,0,V0_gold_only,LR,D_causal_safe,1,,,true,0.0,0.0,0.0,0.0,1,covered_subset,0.036668,18,True,strong,1,True,batch3,unknown,,fully_joined,"clean_control,adaptive_1r",,,1
salad_dressing,5,28,45,0,gold_v2,negative,train,no_action_bridge,negative_unclassified,0,0,V0_gold_only,LR,D_causal_safe,1,,,true,0.0,0.0,0.0,0.0,1,covered_subset,0.0,0,True,none,0,True,batch3b,unknown,,fully_joined,"clean_control,adaptive_1r",,,
tomato_sauce,1,23,40,0,gold_v2,negative,train,no_action_bridge,negative_unclassified,0,0,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,4e-06,1,True,none,0,True,batch3b,unknown,,vuln_mech_only_no_phase,"phase,clean_control,adaptive_1r",,,
tomato_sauce,3,17,34,0,gold_v2,negative,train,no_action_bridge,negative_unclassified,0,0,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.0,0,True,none,0,True,batch3b,unknown,,vuln_mech_only_no_phase,"phase,clean_control,adaptive_1r",,,
tomato_sauce,4,73,90,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,adaptive_1r",,,
tomato_sauce,4,83,100,0,clean_control_negative,negative,true,,clean_control_negative,,,,,,,,,false,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,adaptive_1r",,,
