branch,sha,committer_date,merged_origin_main,no_merged_origin_main,recommended_action,reason
exp/m3-logratio-v2-seed81-canary-20260615,0c197c27a92adaf12c9be85ef264404d742a9586,2026-06-14 21:21:12 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/m3-step78-true-pgd-canary-20260615,26deac3f3c084c1dc3422defabbb96bee3ae341f,2026-06-14 20:34:32 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/m3-target-logratio-v2-20260615,9eb32d3d8c55955b585a929c8c281d7a46172ff8,2026-06-14 21:00:48 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/m3-true-pgd-route-contract-20260615,682ef04e5ef866048eeba7a52640baf81a2db611,2026-06-14 17:28:51 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/sustained-proxy-burst-control-20260530,07e13a02b57afceca7b61e5c947e6b885061d8f4,2026-05-30 17:08:27 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/vis-attack-strength-upgrade-20260602,4337d5865181297ef5f12926a1753ff15676839f,2026-06-03 11:52:40 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/vis-payload-upgrade-validation-20260601,64473d3e45102b5d084d959ad2ad1c805f340ae3,2026-06-02 12:48:12 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/vis-prefix-margin-repair-20260603,5e4f03dc4452afdeb7ce0238f90540e1a19af9ee,2026-06-14 22:15:22 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/vis-token-prefix-redecode-and-crosssuite-audit-20260531,b1445ad06abcda91d76b1b1009fa98cb52892ea6,2026-05-31 10:54:50 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/window-optimality-vis-feasibility-20260601,c6e845c349da42bc7c5228164a825aa605d8884f,2026-06-01 03:21:06 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
experiment/strict-after-close-guard,e81b6b38e6e73deffa0162bef0b1799cd15bdc43,2026-05-14 00:51:22 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
