job_id,task_key,state_id,seed,window_start,window_end,stratum,condition,matched_random,window_len,mechanism_type,parent_teacher_window,paired_vis_job_id,worker_id
34,milk,4,0,93,103,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,108-117,,2
35,milk,4,0,93,103,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,108-117,34,1
36,ketchup,9,0,148,157,teacher_high,vis_pgd,yes,10,pick_place_transfer,148-157,,0
37,ketchup,9,0,148,157,teacher_high,random_linf,yes,10,pick_place_transfer,148-157,36,0
38,ketchup,9,0,133,143,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,148-157,,1
39,ketchup,9,0,133,143,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,148-157,38,2
40,butter,5,0,150,159,teacher_high,vis_pgd,yes,10,pick_place_transfer,150-159,,2
41,butter,5,0,150,159,teacher_high,random_linf,yes,10,pick_place_transfer,150-159,40,1
42,butter,5,0,135,145,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,150-159,,0
43,butter,5,0,135,145,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,150-159,42,0
44,salad_dressing,8,0,94,103,teacher_high,vis_pgd,yes,10,pick_place_transfer,94-103,,1
45,salad_dressing,8,0,94,103,teacher_high,random_linf,yes,10,pick_place_transfer,94-103,44,2
46,salad_dressing,8,0,79,89,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,94-103,,2
47,salad_dressing,8,0,79,89,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,94-103,46,1
48,salad_dressing,0,0,111,120,teacher_high,vis_pgd,yes,10,pick_place_transfer,111-120,,0
49,salad_dressing,0,0,111,120,teacher_high,random_linf,yes,10,pick_place_transfer,111-120,48,0
50,salad_dressing,0,0,96,106,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,111-120,,1
51,salad_dressing,0,0,96,106,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,111-120,50,2
52,ketchup,0,0,145,154,teacher_high,vis_pgd,yes,10,pick_place_transfer,145-154,,2
53,ketchup,0,0,145,154,teacher_high,random_linf,yes,10,pick_place_transfer,145-154,52,1
54,ketchup,0,0,130,140,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,145-154,,0
55,ketchup,0,0,130,140,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,145-154,54,0
56,orange_juice,4,0,123,132,teacher_high,vis_pgd,yes,10,pick_place_transfer,123-132,,1
57,orange_juice,4,0,123,132,teacher_high,random_linf,yes,10,pick_place_transfer,123-132,56,2
58,orange_juice,4,0,108,118,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,123-132,,2
59,orange_juice,4,0,108,118,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,123-132,58,1
60,cream_cheese,9,0,111,120,teacher_high,vis_pgd,yes,10,pick_place_transfer,111-120,,0
61,cream_cheese,9,0,111,120,teacher_high,random_linf,yes,10,pick_place_transfer,111-120,60,0
62,cream_cheese,9,0,96,106,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,111-120,,1
63,cream_cheese,9,0,96,106,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,111-120,62,0
64,orange_juice,0,0,203,212,teacher_high,vis_pgd,yes,10,pick_place_transfer,203-212,,2
65,orange_juice,0,0,203,212,teacher_high,random_linf,yes,10,pick_place_transfer,203-212,64,0
66,orange_juice,0,0,188,198,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,203-212,,0
67,orange_juice,0,0,188,198,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,203-212,66,0
68,orange_juice,3,0,122,131,teacher_high,vis_pgd,yes,10,pick_place_transfer,122-131,,1
69,orange_juice,3,0,122,131,teacher_high,random_linf,yes,10,pick_place_transfer,122-131,68,0
70,orange_juice,3,0,107,117,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,122-131,,2
71,orange_juice,3,0,107,117,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,122-131,70,0
72,tomato_sauce,1,0,157,166,teacher_high,vis_pgd,yes,10,pick_place_transfer,157-166,,0
73,tomato_sauce,1,0,157,166,teacher_high,random_linf,yes,10,pick_place_transfer,157-166,72,0
74,tomato_sauce,1,0,142,152,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,157-166,,1
75,tomato_sauce,1,0,142,152,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,157-166,74,0
76,butter,9,0,130,139,teacher_high,vis_pgd,yes,10,pick_place_transfer,130-139,,2
77,butter,9,0,130,139,teacher_high,random_linf,yes,10,pick_place_transfer,130-139,76,0
78,butter,9,0,115,125,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,130-139,,0
79,butter,9,0,115,125,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,130-139,78,0
80,cream_cheese,0,0,143,152,teacher_medium,vis_pgd,yes,10,pick_place_transfer,143-152,,1
81,cream_cheese,0,0,143,152,teacher_medium,random_linf,yes,10,pick_place_transfer,143-152,80,0
82,milk,0,0,130,139,teacher_medium,vis_pgd,yes,10,pick_place_transfer,130-139,,2
83,milk,0,0,130,139,teacher_medium,random_linf,yes,10,pick_place_transfer,130-139,82,0
84,orange_juice,2,0,123,132,teacher_medium,vis_pgd,yes,10,pick_place_transfer,123-132,,0
85,orange_juice,2,0,123,132,teacher_medium,random_linf,yes,10,pick_place_transfer,123-132,84,0
86,alphabet_soup,3,0,128,137,teacher_medium,vis_pgd,yes,10,pick_place_transfer,128-137,,1
87,alphabet_soup,3,0,128,137,teacher_medium,random_linf,yes,10,pick_place_transfer,128-137,86,0
88,orange_juice,8,0,92,101,teacher_medium,vis_pgd,yes,10,pick_place_transfer,92-101,,2
89,orange_juice,8,0,92,101,teacher_medium,random_linf,yes,10,pick_place_transfer,92-101,88,0
90,salad_dressing,7,0,122,131,teacher_medium,vis_pgd,yes,10,pick_place_transfer,122-131,,0
91,salad_dressing,7,0,122,131,teacher_medium,random_linf,yes,10,pick_place_transfer,122-131,90,0
92,orange_juice,6,0,123,132,teacher_medium,vis_pgd,yes,10,pick_place_transfer,123-132,,1
93,orange_juice,6,0,123,132,teacher_medium,random_linf,yes,10,pick_place_transfer,123-132,92,0
94,orange_juice,1,0,116,125,teacher_medium,vis_pgd,yes,10,pick_place_transfer,116-125,,2
95,orange_juice,1,0,116,125,teacher_medium,random_linf,yes,10,pick_place_transfer,116-125,94,0
96,cream_cheese,3,0,135,144,teacher_medium,vis_pgd,yes,10,pick_place_transfer,135-144,,0
97,cream_cheese,3,0,135,144,teacher_medium,random_linf,yes,10,pick_place_transfer,135-144,96,0
98,salad_dressing,1,0,106,115,teacher_medium,vis_pgd,yes,10,pick_place_transfer,106-115,,1
99,salad_dressing,1,0,106,115,teacher_medium,random_linf,yes,10,pick_place_transfer,106-115,98,0
100,cream_cheese,5,0,134,143,teacher_medium,vis_pgd,yes,10,pick_place_transfer,134-143,,2
101,cream_cheese,5,0,134,143,teacher_medium,random_linf,yes,10,pick_place_transfer,134-143,100,0
102,butter,6,0,207,216,teacher_medium,vis_pgd,yes,10,pick_place_transfer,207-216,,0
103,butter,6,0,207,216,teacher_medium,random_linf,yes,10,pick_place_transfer,207-216,102,0
104,ketchup,3,0,137,146,teacher_medium,vis_pgd,yes,10,pick_place_transfer,137-146,,1
105,ketchup,3,0,137,146,teacher_medium,random_linf,yes,10,pick_place_transfer,137-146,104,0
106,cream_cheese,2,0,125,134,teacher_medium,vis_pgd,yes,10,pick_place_transfer,125-134,,2
107,cream_cheese,2,0,125,134,teacher_medium,random_linf,yes,10,pick_place_transfer,125-134,106,0
108,milk,9,0,125,134,teacher_medium,vis_pgd,yes,10,pick_place_transfer,125-134,,0
109,milk,9,0,125,134,teacher_medium,random_linf,yes,10,pick_place_transfer,125-134,108,0
110,cream_cheese,4,0,166,175,teacher_medium,vis_pgd,yes,10,pick_place_transfer,166-175,,1
111,cream_cheese,4,0,166,175,teacher_medium,random_linf,yes,10,pick_place_transfer,166-175,110,0
112,salad_dressing,6,0,134,143,teacher_medium,vis_pgd,yes,10,pick_place_transfer,134-143,,2
113,salad_dressing,6,0,134,143,teacher_medium,random_linf,yes,10,pick_place_transfer,134-143,112,0
114,alphabet_soup,8,0,131,140,teacher_medium,vis_pgd,yes,10,pick_place_transfer,131-140,,0
115,alphabet_soup,8,0,131,140,teacher_medium,random_linf,yes,10,pick_place_transfer,131-140,114,0
116,milk,2,0,187,196,teacher_medium,vis_pgd,yes,10,pick_place_transfer,187-196,,1
117,milk,2,0,187,196,teacher_medium,random_linf,yes,10,pick_place_transfer,187-196,116,0
118,salad_dressing,5,0,149,158,teacher_medium,vis_pgd,yes,10,pick_place_transfer,149-158,,2
119,salad_dressing,5,0,149,158,teacher_medium,random_linf,yes,10,pick_place_transfer,149-158,118,0
