task,state_id,window_start,window_end,attack_seed,rand_open,rand_streak,rand_done,rand_timeout,rand_steps,rand_label,target_random_sensitive
ketchup,1,65,75,82,0,0,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,150,160,81,6,6,True,False,156,RANDOM_SENSITIVE,1
tomato_sauce,5,150,160,82,0,0,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,145,155,81,6,6,True,False,151,RANDOM_SENSITIVE,1
ketchup,1,55,65,81,3,2,True,False,158,RAND_STRICT_CLEAN,0
tomato_sauce,3,25,35,82,4,3,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,160,170,81,6,6,True,False,166,RANDOM_SENSITIVE,1
ketchup,1,65,75,81,0,0,True,False,184,RAND_STRICT_CLEAN,0
tomato_sauce,5,70,80,81,0,0,True,False,143,RAND_STRICT_CLEAN,0
tomato_sauce,5,160,170,82,6,6,True,False,166,RANDOM_SENSITIVE,1
tomato_sauce,5,60,70,81,1,1,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,40,50,81,0,0,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,60,70,82,1,1,True,False,192,RAND_STRICT_CLEAN,0
tomato_sauce,5,125,135,83,9,6,True,False,135,RANDOM_SENSITIVE,1
tomato_sauce,0,60,70,83,7,5,True,False,194,RANDOM_SENSITIVE,1
tomato_sauce,3,120,130,84,9,8,True,False,130,RANDOM_SENSITIVE,1
tomato_sauce,0,100,110,83,2,1,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,120,130,83,9,9,True,False,131,RANDOM_SENSITIVE,1
tomato_sauce,5,75,85,83,6,5,True,False,176,RANDOM_SENSITIVE,1
tomato_sauce,0,70,80,83,4,4,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,0,70,80,84,6,5,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,60,70,84,1,1,True,False,182,RAND_STRICT_CLEAN,0
tomato_sauce,3,70,80,84,5,5,True,False,138,RAND_USABLE_CLEAN,0
tomato_sauce,5,105,115,84,2,1,True,False,176,RAND_STRICT_CLEAN,0
tomato_sauce,3,60,70,84,4,1,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,65,75,83,5,3,True,False,142,RAND_USABLE_CLEAN,0
tomato_sauce,0,90,100,84,8,7,True,False,186,RANDOM_SENSITIVE,1
tomato_sauce,0,50,60,83,1,1,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,60,70,83,1,1,True,False,210,RAND_STRICT_CLEAN,0
tomato_sauce,0,90,100,83,8,7,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,150,160,83,6,6,True,False,156,RANDOM_SENSITIVE,1
tomato_sauce,3,70,80,83,5,3,True,False,132,RAND_USABLE_CLEAN,0
tomato_sauce,0,80,90,83,10,10,True,False,174,RANDOM_SENSITIVE,1
tomato_sauce,5,140,150,83,9,9,True,False,149,RANDOM_SENSITIVE,1
tomato_sauce,5,110,120,83,2,1,True,False,178,RAND_STRICT_CLEAN,0
tomato_sauce,0,100,110,84,1,1,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,60,70,83,5,3,True,False,170,RAND_USABLE_CLEAN,0
tomato_sauce,5,90,100,83,0,0,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,80,90,83,4,3,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,0,60,70,84,3,1,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,95,105,83,4,4,True,False,147,RAND_USABLE_CLEAN,0
tomato_sauce,5,150,160,84,6,6,True,False,156,RANDOM_SENSITIVE,1
tomato_sauce,0,80,90,84,9,5,True,False,170,RANDOM_SENSITIVE,1
tomato_sauce,0,50,60,84,0,0,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,105,115,83,7,3,True,False,183,RANDOM_SENSITIVE,1
