parent,task,ws,we,cmd_label,is_rand,is_cmd,pV,pR,yield,risk_rand,n_pre,raw_mean,raw_std,raw_last,raw_slope,raw_min,raw_max,dist_mean,dist_last,open_rate,open_streak,close_streak,transitions,last_transition,q0_mean,q0_std,q1_mean,q1_std,arm_mean,arm_max
k5b_contrast_milk_mid_milk_s0_w80_90_env0,milk,80,90,stable_rand_sensitive,1,0,0.8,1.0,-0.2,1.0,80,0.7844,0.4075,0.9961,-0.012107,0.0,0.9961,0.4969,0.4961,0.7875,62,17,2,1,0.033027,0.012403,-0.032927,0.012398,0.0,0.0
k5b_contrast_tomato_early_tomato_sauce_s2_w95_105_env2,tomato_sauce,95,105,stable_cmd_specific,0,1,0.8,0.0,0.8,0.8,95,0.7549,0.4267,0.0,-0.00693,0.0,0.9961,0.497,0.5,0.7579,51,18,7,18,0.032438,0.011907,-0.032296,0.012054,0.0,0.0
k5b_contrast_tomato_far_tomato_sauce_s0_w55_65_env0,tomato_sauce,55,65,stable_cmd_specific,0,1,1.0,0.0,1.0,0.0,55,0.8512,0.3512,0.0,-0.012649,0.0,0.9961,0.4966,0.5,0.8545,45,5,5,1,0.036193,0.005573,-0.036573,0.005214,0.0,0.0
k5b_contrast_tomato_late_tomato_sauce_s2_w155_165_env2,tomato_sauce,155,165,stable_cmd_specific,0,1,1.0,0.0,1.0,0.2,155,0.6426,0.4766,0.0,-0.004552,0.0,0.9961,0.4975,0.5,0.6452,51,22,23,15,0.02547,0.01551,-0.025424,0.015513,0.0,0.0
k5b_neg_alpha_alphabet_soup_s1_w50_60_env1,alphabet_soup,50,60,unstable_or_unknown,0,0,0.4,0.0,0.4,0.4,50,0.498,0.498,0.0,-0.026068,0.0,0.9961,0.498,0.5,0.5,15,23,4,23,0.024128,0.015529,-0.024025,0.015635,0.0,0.0
k5b_neg_bbq_bbq_sauce_s0_w60_70_env0,bbq_sauce,60,70,stable_negative,0,0,0.0,0.0,0.0,0.8,60,0.8965,0.2988,0.0,-0.008967,0.0,0.9961,0.4965,0.5,0.9,54,6,1,6,0.037415,0.004732,-0.037529,0.004782,0.0,0.0
k5b_neg_cream_cream_cheese_s0_w85_95_env0,cream_cheese,85,95,stable_cmd_specific,0,1,0.8,0.0,0.8,0.4,85,0.8789,0.3209,0.0,-0.0073,0.0,0.9961,0.4965,0.5,0.8824,75,10,1,10,0.037206,0.005753,-0.037189,0.005773,0.0,0.0
k5b_rand_alpha_alphabet_soup_s0_w60_70_env0,alphabet_soup,60,70,stable_rand_sensitive,1,0,0.2,0.4,-0.2,1.0,60,0.1826,0.3854,0.9961,-0.00191,0.0,0.9961,0.4993,0.4961,0.1833,1,19,20,1,0.004437,0.006556,-0.004312,0.006569,0.0,0.0
k5b_rand_salad2_salad_dressing_s1_w50_60_env1,salad_dressing,50,60,stable_cmd_specific,0,1,0.6,0.0,0.6,1.0,50,0.8965,0.2988,0.0,-0.002152,0.0,0.9961,0.4965,0.5,0.9,43,2,5,1,0.035903,0.006534,-0.035962,0.006576,0.0,0.0
k5b_rand_salad_salad_dressing_s2_w80_90_env2,salad_dressing,80,90,unstable_or_unknown,0,0,0.4,0.0,0.4,0.8,80,0.9089,0.2815,0.9961,-0.000245,0.0,0.9961,0.4964,0.4961,0.9125,58,2,10,8,0.037177,0.00492,-0.037167,0.004943,0.0,0.0
k5b_strict_phys_cream2_cream_cheese_s1_w145_155_env1,cream_cheese,145,155,stable_negative,0,0,0.0,0.0,0.0,0.2,145,0.5152,0.4977,0.0,-0.00783,0.0,0.9961,0.498,0.5,0.5172,41,21,23,9,0.020394,0.017676,-0.020355,0.017713,0.0,0.0
k5b_strict_phys_cream_cream_cheese_s2_w50_60_env2,cream_cheese,50,60,stable_cmd_specific,0,1,1.0,0.0,1.0,1.0,50,0.8566,0.3456,0.0,-0.014397,0.0,0.9961,0.4966,0.5,0.86,43,7,1,7,0.036581,0.005543,-0.036635,0.005562,0.0,0.0
k5b_strict_phys_salad_salad_dressing_s2_w70_80_env2,salad_dressing,70,80,stable_rand_sensitive,1,0,0.0,1.0,-1.0,1.0,70,0.9676,0.1659,0.9961,0.002231,0.0,0.9961,0.4962,0.4961,0.9714,66,2,2,66,0.037419,0.005138,-0.037426,0.005167,0.0,0.0
k5b_strict_phys_tomato_tomato_sauce_s2_w165_175_env2,tomato_sauce,165,175,stable_rand_sensitive,1,0,1.0,0.6,0.4,1.0,165,0.6097,0.4854,0.0,-0.004888,0.0,0.9961,0.4976,0.5,0.6121,51,23,25,1,0.023979,0.016138,-0.023944,0.016125,0.0,0.0
k5c_cmd_alpha,alphabet_soup,65,75,stable_rand_sensitive,1,0,0.2,1.0,-0.8,1.0,65,0.2145,0.4095,0.9961,0.001306,0.0,0.9961,0.4992,0.4961,0.2154,2,19,24,2,0.004253,0.006332,-0.004101,0.006353,0.0,0.0
k5c_cmd_butter,butter,80,90,stable_cmd_specific,0,1,1.0,0.0,1.0,0.0,80,0.8093,0.3888,0.0,-0.009912,0.0,0.9961,0.4968,0.5,0.8125,63,14,3,14,0.034526,0.010161,-0.034578,0.010159,0.0,0.0
k5c_cmd_cream,cream_cheese,85,95,stable_rand_sensitive,1,0,0.4,0.0,0.4,1.0,85,0.8789,0.3209,0.0,-0.0073,0.0,0.9961,0.4965,0.5,0.8824,75,10,1,10,0.037206,0.005753,-0.037189,0.005773,0.0,0.0
k5c_cmd_milk_neg,milk,235,245,stable_cmd_specific_borderline,0,1,1.0,0.2,0.8,0.2,235,0.8011,0.3952,0.0,-0.001339,0.0,0.9961,0.4968,0.5,0.8043,62,17,23,13,0.033876,0.010763,-0.033905,0.010769,0.0,0.0
k5c_cmd_tomato_early,tomato_sauce,50,60,stable_cmd_specific,0,1,1.0,0.0,1.0,0.0,50,0.8965,0.2988,0.0,-0.010762,0.0,0.9961,0.4965,0.5,0.9,45,5,1,5,0.037201,0.004794,-0.037344,0.004834,0.0,0.0
k5c_phys_bbq,bbq_sauce,70,80,stable_rand_sensitive,1,0,0.0,0.0,0.0,0.4,70,0.7684,0.4183,0.0,-0.015057,0.0,0.9961,0.497,0.5,0.7714,54,16,1,16,0.034507,0.008315,-0.03465,0.008362,0.0,0.0
k5c_phys_butter,butter,135,145,stable_rand_sensitive,1,0,0.4,0.2,0.2,0.6,135,0.5903,0.4894,0.0,-0.005922,0.0,0.9961,0.4977,0.5,0.5926,51,22,25,11,0.024883,0.015447,-0.024916,0.015458,0.0,0.0
k5c_rand_alpha,alphabet_soup,55,65,unstable_or_unknown,0,0,0.2,0.0,0.2,0.2,55,0.1811,0.3842,0.9961,-0.002803,0.0,0.9961,0.4993,0.4961,0.1818,1,19,18,1,0.004698,0.006788,-0.004561,0.006806,0.0,0.0
k5c_rand_butter1,butter,90,100,stable_rand_sensitive,1,0,1.0,0.6,0.4,0.8,90,0.7526,0.4281,0.9961,-0.010233,0.0,0.9961,0.497,0.4961,0.7556,63,17,8,1,0.030838,0.014164,-0.030891,0.014158,0.0,0.0
k5c_rand_butter2,butter,95,105,stable_rand_sensitive,1,0,0.8,1.0,-0.2,1.0,95,0.7654,0.4202,0.9961,-0.007933,0.0,0.9961,0.497,0.4961,0.7684,63,17,8,6,0.029602,0.014789,-0.029657,0.014781,0.0,0.0
k5c_sentinel_milk_gold,milk,70,80,stable_cmd_specific,0,1,1.0,0.0,1.0,1.0,70,0.8822,0.3169,0.0,-0.008644,0.0,0.9961,0.4965,0.5,0.8857,62,8,1,8,0.037272,0.005501,-0.037165,0.00554,0.0,0.0
