episode_id,task,T_gform,causal_trigger,trigger_error,abs_error,first_sustained_open,first_qpos_motion
obj100_cream_cheese_cream_cheese_s8,pick_up_the_cream_cheese_and_p,104,55,-49,49,55,58
obj100_cream_cheese_cream_cheese_s9,pick_up_the_cream_cheese_and_p,104,55,-49,49,55,58
obj100_ketchup_ketchup_s0,pick_up_the_ketchup_and_place_,66,58,-8,8,58,61
obj100_ketchup_ketchup_s1,pick_up_the_ketchup_and_place_,71,45,-26,26,45,48
obj100_ketchup_ketchup_s2,pick_up_the_ketchup_and_place_,75,56,-19,19,56,59
obj100_ketchup_ketchup_s3,pick_up_the_ketchup_and_place_,108,59,-49,49,59,62
obj100_ketchup_ketchup_s4,pick_up_the_ketchup_and_place_,83,45,-38,38,45,48
obj100_ketchup_ketchup_s5,pick_up_the_ketchup_and_place_,59,47,-12,12,47,50
obj100_ketchup_ketchup_s6,pick_up_the_ketchup_and_place_,179,132,-47,47,132,135
obj100_ketchup_ketchup_s7,pick_up_the_ketchup_and_place_,112,63,-49,49,63,66
obj100_ketchup_ketchup_s9,pick_up_the_ketchup_and_place_,91,71,-20,20,71,73
obj100_milk_milk_s0,pick_up_the_milk_and_place_it_,87,52,-35,35,52,55
obj100_milk_milk_s1,pick_up_the_milk_and_place_it_,96,47,-49,49,47,50
obj100_milk_milk_s4,pick_up_the_milk_and_place_it_,69,48,-21,21,48,51
obj100_milk_milk_s5,pick_up_the_milk_and_place_it_,75,68,-7,7,68,70
obj100_milk_milk_s7,pick_up_the_milk_and_place_it_,98,49,-49,49,49,52
obj100_milk_milk_s8,pick_up_the_milk_and_place_it_,58,53,-5,5,53,56
obj100_milk_milk_s9,pick_up_the_milk_and_place_it_,91,49,-42,42,49,52
obj100_orange_juice_orange_juice_s0,pick_up_the_orange_juice_and_p,100,70,-30,30,70,73
obj100_orange_juice_orange_juice_s1,pick_up_the_orange_juice_and_p,60,41,-19,19,41,44
obj100_orange_juice_orange_juice_s2,pick_up_the_orange_juice_and_p,83,56,-27,27,56,59
obj100_orange_juice_orange_juice_s3,pick_up_the_orange_juice_and_p,102,53,-49,49,53,56
obj100_orange_juice_orange_juice_s4,pick_up_the_orange_juice_and_p,103,54,-49,49,54,57
obj100_orange_juice_orange_juice_s6,pick_up_the_orange_juice_and_p,81,64,-17,17,64,67
obj100_orange_juice_orange_juice_s7,pick_up_the_orange_juice_and_p,87,62,-25,25,62,65
obj100_orange_juice_orange_juice_s8,pick_up_the_orange_juice_and_p,49,42,-7,7,42,45
obj100_salad_dressing_salad_dressing_s0,pick_up_the_salad_dressing_and,57,48,-9,9,48,51
obj100_salad_dressing_salad_dressing_s1,pick_up_the_salad_dressing_and,76,57,-19,19,57,60
obj100_salad_dressing_salad_dressing_s2,pick_up_the_salad_dressing_and,59,40,-19,19,40,43
obj100_salad_dressing_salad_dressing_s3,pick_up_the_salad_dressing_and,107,58,-49,49,58,61
obj100_salad_dressing_salad_dressing_s4,pick_up_the_salad_dressing_and,72,53,-19,19,53,56
obj100_salad_dressing_salad_dressing_s5,pick_up_the_salad_dressing_and,78,70,-8,8,70,73
obj100_salad_dressing_salad_dressing_s6,pick_up_the_salad_dressing_and,124,75,-49,49,75,78
obj100_salad_dressing_salad_dressing_s7,pick_up_the_salad_dressing_and,114,65,-49,49,65,67
obj100_salad_dressing_salad_dressing_s8,pick_up_the_salad_dressing_and,97,48,-49,49,48,51
obj100_tomato_sauce_tomato_sauce_s0,pick_up_the_tomato_sauce_and_p,99,80,-19,19,80,86
obj100_tomato_sauce_tomato_sauce_s1,pick_up_the_tomato_sauce_and_p,73,53,-20,20,53,56
obj100_tomato_sauce_tomato_sauce_s2,pick_up_the_tomato_sauce_and_p,146,97,-49,49,97,100
obj100_tomato_sauce_tomato_sauce_s3,pick_up_the_tomato_sauce_and_p,67,63,-4,4,63,66
obj100_tomato_sauce_tomato_sauce_s4,pick_up_the_tomato_sauce_and_p,90,81,-9,9,81,84
obj100_tomato_sauce_tomato_sauce_s5,pick_up_the_tomato_sauce_and_p,113,64,-49,49,64,67
obj100_tomato_sauce_tomato_sauce_s6,pick_up_the_tomato_sauce_and_p,115,66,-49,49,66,69
obj100_tomato_sauce_tomato_sauce_s8,pick_up_the_tomato_sauce_and_p,101,52,-49,49,52,55
obj100_tomato_sauce_tomato_sauce_s9,pick_up_the_tomato_sauce_and_p,113,64,-49,49,64,67
