job_id,task,state_id,window_start,window_end,condition,attack_seed,random_control_seed,seed,candidate_id,tier,track,status
240043,tomato_sauce,5,120,130,random_linf,86,86,0,tomato_sauce_s5_w120_130,J_eligible_usable,S20J_randhead,pending
240044,tomato_sauce,5,120,130,vis_pgd,86,,0,tomato_sauce_s5_w120_130,J_eligible_usable,S20J_randhead,pending
240045,milk,1,140,150,random_linf,86,86,0,milk_s1_w140_150,J_eligible_usable,S20J_randhead,pending
240046,milk,1,140,150,vis_pgd,86,,0,milk_s1_w140_150,J_eligible_usable,S20J_randhead,pending
240047,ketchup,1,155,165,random_linf,86,86,0,ketchup_s1_w155_165,J_eligible_usable,S20J_randhead,pending
240048,ketchup,1,155,165,vis_pgd,86,,0,ketchup_s1_w155_165,J_eligible_usable,S20J_randhead,pending
240049,salad_dressing,1,80,90,random_linf,86,86,0,salad_dressing_s1_w80_90,J_eligible_usable,S20J_randhead,pending
240050,salad_dressing,1,80,90,vis_pgd,86,,0,salad_dressing_s1_w80_90,J_eligible_usable,S20J_randhead,pending
240051,salad_dressing,1,95,105,random_linf,86,86,0,salad_dressing_s1_w95_105,J_eligible_usable,S20J_randhead,pending
240052,salad_dressing,1,95,105,vis_pgd,86,,0,salad_dressing_s1_w95_105,J_eligible_usable,S20J_randhead,pending
240053,ketchup,1,85,95,random_linf,86,86,0,ketchup_s1_w85_95,J_disagreement,S20J_randhead,pending
240054,ketchup,1,85,95,vis_pgd,86,,0,ketchup_s1_w85_95,J_disagreement,S20J_randhead,pending
240055,tomato_sauce,5,85,95,random_linf,86,86,0,tomato_sauce_s5_w85_95,J_disagreement,S20J_randhead,pending
240056,tomato_sauce,5,85,95,vis_pgd,86,,0,tomato_sauce_s5_w85_95,J_disagreement,S20J_randhead,pending
240057,ketchup,1,70,80,random_linf,86,86,0,ketchup_s1_w70_80,J_disagreement,S20J_randhead,pending
240058,ketchup,1,70,80,vis_pgd,86,,0,ketchup_s1_w70_80,J_disagreement,S20J_randhead,pending
240059,milk,1,45,55,random_linf,86,86,0,milk_s1_w45_55,J_predicted_random_sensitive,S20J_randhead,pending
240060,tomato_sauce,5,95,105,random_linf,86,86,0,tomato_sauce_s5_w95_105,J_predicted_random_sensitive,S20J_randhead,pending
