step,clean_grip,targeted_grip,targeted_ok,targeted_err,random_grip,task_key,state_id,window_start,window_end,label_status,taxonomy
11,-1.0,1.0,1,,-1.0,milk,8,8,25,negative,no_action_bridge
13,1.0,-1.0,1,,1.0,milk,8,8,25,negative,no_action_bridge
15,1.0,-1.0,1,,1.0,milk,8,8,25,negative,no_action_bridge
17,1.0,-1.0,1,,1.0,milk,8,8,25,negative,no_action_bridge
19,-1.0,-1.0,1,,-1.0,milk,8,8,25,negative,no_action_bridge
21,1.0,-1.0,1,,1.0,milk,8,8,25,negative,no_action_bridge
23,-1.0,-1.0,1,,-1.0,milk,8,8,25,negative,no_action_bridge
25,-1.0,-1.0,1,,-1.0,milk,8,8,25,negative,no_action_bridge
17,-1.0,1.0,1,,-1.0,orange_juice,2,17,34,negative,no_action_bridge
18,-1.0,1.0,1,,-1.0,orange_juice,2,17,34,negative,no_action_bridge
20,1.0,1.0,1,,1.0,orange_juice,2,17,34,negative,no_action_bridge
22,1.0,1.0,1,,1.0,orange_juice,2,17,34,negative,no_action_bridge
24,1.0,-1.0,1,,1.0,orange_juice,2,17,34,negative,no_action_bridge
26,-1.0,-1.0,1,,-1.0,orange_juice,2,17,34,negative,no_action_bridge
28,-1.0,-1.0,1,,-1.0,orange_juice,2,17,34,negative,no_action_bridge
30,-1.0,-1.0,1,,-1.0,orange_juice,2,17,34,negative,no_action_bridge
32,-1.0,-1.0,1,,-1.0,orange_juice,2,17,34,negative,no_action_bridge
34,-1.0,1.0,1,,-1.0,orange_juice,2,17,34,negative,no_action_bridge
28,-1.0,1.0,1,,-1.0,salad_dressing,5,28,45,negative,no_action_bridge
29,-1.0,1.0,1,,-1.0,salad_dressing,5,28,45,negative,no_action_bridge
31,-1.0,-1.0,1,,-1.0,salad_dressing,5,28,45,negative,no_action_bridge
33,-1.0,-1.0,1,,-1.0,salad_dressing,5,28,45,negative,no_action_bridge
35,-1.0,1.0,1,,-1.0,salad_dressing,5,28,45,negative,no_action_bridge
37,-1.0,1.0,1,,-1.0,salad_dressing,5,28,45,negative,no_action_bridge
39,-1.0,1.0,1,,1.0,salad_dressing,5,28,45,negative,no_action_bridge
41,-1.0,1.0,1,,-1.0,salad_dressing,5,28,45,negative,no_action_bridge
43,-1.0,1.0,1,,-1.0,salad_dressing,5,28,45,negative,no_action_bridge
45,-1.0,-1.0,1,,-1.0,salad_dressing,5,28,45,negative,no_action_bridge
23,-1.0,-1.0,1,,-1.0,tomato_sauce,1,23,40,negative,no_action_bridge
24,-1.0,-1.0,1,,-1.0,tomato_sauce,1,23,40,negative,no_action_bridge
26,-1.0,-1.0,1,,-1.0,tomato_sauce,1,23,40,negative,no_action_bridge
28,-1.0,-1.0,1,,-1.0,tomato_sauce,1,23,40,negative,no_action_bridge
30,-1.0,-1.0,1,,-1.0,tomato_sauce,1,23,40,negative,no_action_bridge
32,-1.0,-1.0,1,,-1.0,tomato_sauce,1,23,40,negative,no_action_bridge
34,-1.0,-1.0,1,,-1.0,tomato_sauce,1,23,40,negative,no_action_bridge
36,-1.0,-1.0,1,,-1.0,tomato_sauce,1,23,40,negative,no_action_bridge
38,-1.0,-1.0,1,,-1.0,tomato_sauce,1,23,40,negative,no_action_bridge
40,-1.0,-1.0,1,,-1.0,tomato_sauce,1,23,40,negative,no_action_bridge
17,-1.0,-1.0,1,,-1.0,tomato_sauce,3,17,34,negative,no_action_bridge
18,1.0,1.0,1,,1.0,tomato_sauce,3,17,34,negative,no_action_bridge
20,-1.0,-1.0,1,,-1.0,tomato_sauce,3,17,34,negative,no_action_bridge
22,1.0,1.0,1,,1.0,tomato_sauce,3,17,34,negative,no_action_bridge
24,-1.0,-1.0,1,,-1.0,tomato_sauce,3,17,34,negative,no_action_bridge
26,-1.0,-1.0,1,,1.0,tomato_sauce,3,17,34,negative,no_action_bridge
28,-1.0,-1.0,1,,-1.0,tomato_sauce,3,17,34,negative,no_action_bridge
30,1.0,-1.0,1,,1.0,tomato_sauce,3,17,34,negative,no_action_bridge
32,-1.0,-1.0,1,,1.0,tomato_sauce,3,17,34,negative,no_action_bridge
34,-1.0,-1.0,1,,-1.0,tomato_sauce,3,17,34,negative,no_action_bridge
