job_id,wave,suite,task_idx,state_id,status,episode_path,summary_exists,artifact_exists,files_stable,eligible_active_complete_snapshot
waveA_libero_spatial_t03_s03,A,libero_spatial,3,3,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t03_s03,True,True,True,True
waveA_libero_spatial_t03_s04,A,libero_spatial,3,4,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t03_s04,True,True,True,True
waveA_libero_spatial_t04_s00,A,libero_spatial,4,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t04_s00,True,True,True,True
waveA_libero_spatial_t04_s01,A,libero_spatial,4,1,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t04_s01,True,True,True,True
waveA_libero_spatial_t04_s02,A,libero_spatial,4,2,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t04_s02,True,True,True,True
waveA_libero_spatial_t04_s03,A,libero_spatial,4,3,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t04_s03,True,True,True,True
waveA_libero_spatial_t04_s04,A,libero_spatial,4,4,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t04_s04,True,True,True,True
waveA_libero_spatial_t05_s00,A,libero_spatial,5,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t05_s00,True,True,True,True
waveA_libero_spatial_t05_s01,A,libero_spatial,5,1,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t05_s01,True,True,True,True
waveA_libero_spatial_t05_s02,A,libero_spatial,5,2,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t05_s02,True,True,True,True
waveA_libero_spatial_t05_s03,A,libero_spatial,5,3,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t05_s03,True,True,True,True
waveA_libero_spatial_t05_s04,A,libero_spatial,5,4,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t05_s04,True,True,True,True
waveA_libero_spatial_t06_s00,A,libero_spatial,6,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t06_s00,True,True,True,True
waveA_libero_spatial_t06_s01,A,libero_spatial,6,1,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t06_s01,True,True,True,True
waveA_libero_spatial_t06_s02,A,libero_spatial,6,2,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t06_s02,True,True,True,True
waveA_libero_spatial_t06_s03,A,libero_spatial,6,3,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t06_s03,True,True,True,True
waveA_libero_spatial_t06_s04,A,libero_spatial,6,4,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t06_s04,True,True,True,True
waveA_libero_spatial_t07_s00,A,libero_spatial,7,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t07_s00,True,True,True,True
waveA_libero_spatial_t07_s01,A,libero_spatial,7,1,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t07_s01,True,True,True,True
waveA_libero_spatial_t07_s02,A,libero_spatial,7,2,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t07_s02,True,True,True,True
waveA_libero_spatial_t07_s03,A,libero_spatial,7,3,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t07_s03,True,True,True,True
waveA_libero_spatial_t07_s04,A,libero_spatial,7,4,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t07_s04,True,True,True,True
waveA_libero_spatial_t08_s00,A,libero_spatial,8,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t08_s00,True,True,True,True
waveA_libero_spatial_t08_s01,A,libero_spatial,8,1,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t08_s01,True,True,True,True
waveA_libero_spatial_t08_s02,A,libero_spatial,8,2,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t08_s02,True,True,True,True
waveA_libero_spatial_t08_s03,A,libero_spatial,8,3,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t08_s03,True,True,True,True
waveA_libero_spatial_t08_s04,A,libero_spatial,8,4,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t08_s04,True,True,True,True
waveA_libero_spatial_t09_s00,A,libero_spatial,9,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t09_s00,True,True,True,True
waveA_libero_spatial_t09_s01,A,libero_spatial,9,1,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t09_s01,True,True,True,True
waveA_libero_spatial_t09_s02,A,libero_spatial,9,2,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t09_s02,True,True,True,True
waveA_libero_spatial_t09_s03,A,libero_spatial,9,3,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t09_s03,True,True,True,True
waveA_libero_spatial_t09_s04,A,libero_spatial,9,4,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t09_s04,True,True,True,True
waveA_libero_goal_t00_s00,A,libero_goal,0,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t00_s00,True,True,False,False
waveA_libero_goal_t00_s01,A,libero_goal,0,1,RUNNING,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t00_s01,False,False,False,False
