task_key,state_id,window_start,window_end,run_type,in_calib,source_global_trace,target_localized_trace,recovery_status
cream_cheese,4,28,45,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_state4_vis_pgd_full_d18_w28_45_seed0_002844_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/cream_cheese_s4/traces/cream_cheese_s4_vis_pgd_w28_45_trace.csv,recovered
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d11_w93_103_seed0_open_streak_stop_K5_Q0_md16_021314_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d11_w93_103_seed0_open_streak_stop_K5_Q0_md16_110921_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d12_w93_104_seed0_012935_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d12_w93_104_seed0_233646_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed0_222239_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed0_223656_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed0_open_streak_stop_K3_Q0_md16_112613_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed0_open_streak_stop_K3_Q0_md16_120646_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed1_003122_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed2_011025_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed2_232150_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w0_17_seed0_211103_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed0_020012_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed0_033233_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed0_090835_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed0_173752_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed0_200849_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed0_234340_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed1_084837_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed1_154615_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed1_222610_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed2_002139_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed2_020818_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed2_033238_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed2_095524_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed2_154425_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed3_024307_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w10_27_seed3_154519_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w15_32_seed0_234817_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w20_37_seed0_014828_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w20_37_seed0_020404_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w20_37_seed0_033857_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w20_37_seed2_100045_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w25_42_seed0_134700_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w30_47_seed0_121907_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w35_52_seed0_121753_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w40_57_seed0_121931_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w42_59_seed0_085823_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w5_22_seed0_012059_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w73_90_seed0_172812_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w83_100_seed0_172633_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w93_110_seed0_173004_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w93_110_seed0_224658_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d18_w93_110_seed1_225200_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d20_w93_112_seed0_min_hold_qpos_cap_K0_Q0.012_md20_114638_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d20_w93_112_seed1_202235_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d20_w93_112_seed2_211341_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d20_w93_112_seed3_221811_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d40_w93_132_seed0_183600_trace.csv,,parse_failed
ketchup,0,16,33,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_state0_vis_pgd_full_d18_w16_33_seed0_010655_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/ketchup_s0/traces/ketchup_s0_vis_pgd_w16_33_trace.csv,already_localized
ketchup,0,16,33,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_state0_vis_pgd_full_d18_w16_33_seed0_162848_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/ketchup_s0/traces/ketchup_s0_vis_pgd_w16_33_trace.csv,already_localized
ketchup,1,21,38,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_state1_vis_pgd_full_d18_w21_38_seed0_004856_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/ketchup_s1/traces/ketchup_s1_vis_pgd_w21_38_trace.csv,recovered
ketchup,1,21,38,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_state1_vis_pgd_full_d18_w21_38_seed0_015804_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/ketchup_s1/traces/ketchup_s1_vis_pgd_w21_38_trace.csv,already_localized
ketchup,1,21,38,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_state1_vis_pgd_full_d18_w21_38_seed0_034748_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/ketchup_s1/traces/ketchup_s1_vis_pgd_w21_38_trace.csv,already_localized
ketchup,1,28,45,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_state1_vis_pgd_full_d18_w28_45_seed0_185132_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/ketchup_s1/traces/ketchup_s1_vis_pgd_w28_45_trace.csv,recovered
ketchup,2,15,32,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_state2_vis_pgd_full_d18_w15_32_seed0_212258_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/ketchup_s2/traces/ketchup_s2_vis_pgd_w15_32_trace.csv,already_localized
ketchup,3,25,42,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_state3_vis_pgd_full_d18_w25_42_seed0_212602_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/ketchup_s3/traces/ketchup_s3_vis_pgd_w25_42_trace.csv,already_localized
ketchup,4,28,45,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_state4_vis_pgd_full_d18_w28_45_seed0_165248_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/ketchup_s4/traces/ketchup_s4_vis_pgd_w28_45_trace.csv,recovered
ketchup,5,9,26,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_state5_vis_pgd_full_d18_w9_26_seed0_034837_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/ketchup_s5/traces/ketchup_s5_vis_pgd_w9_26_trace.csv,recovered
milk,1,18,35,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_milk_state1_vis_pgd_full_d18_w18_35_seed0_144619_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/milk_s1/traces/milk_s1_vis_pgd_w18_35_trace.csv,recovered
milk,1,8,25,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_milk_state1_vis_pgd_full_d18_w8_25_seed0_012004_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/milk_s1/traces/milk_s1_vis_pgd_w8_25_trace.csv,recovered
milk,1,8,25,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_milk_state1_vis_pgd_full_d18_w8_25_seed0_035844_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/milk_s1/traces/milk_s1_vis_pgd_w8_25_trace.csv,already_localized
milk,4,19,36,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_milk_state4_vis_pgd_full_d18_w19_36_seed0_002937_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/milk_s4/traces/milk_s4_vis_pgd_w19_36_trace.csv,recovered
milk,5,25,42,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_milk_state5_vis_pgd_full_d18_w25_42_seed0_045120_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/milk_s5/traces/milk_s5_vis_pgd_w25_42_trace.csv,recovered
milk,8,8,25,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_milk_state8_vis_pgd_full_d18_w8_25_seed0_173517_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/milk_s8/traces/milk_s8_vis_pgd_w8_25_trace.csv,recovered
orange_juice,2,17,34,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_orange_juice_state2_vis_pgd_full_d18_w17_34_seed0_134101_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/orange_juice_s2/traces/orange_juice_s2_vis_pgd_w17_34_trace.csv,recovered
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_rollout_cream_cheese_vis_pgd_s0_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_rollout_ketchup_vis_pgd_s0_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_rollout_tomato_sauce_vis_pgd_s0_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_salad_dressing_s0_vis_pgd_full_d10_w88_97_seed0_015836_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_salad_dressing_s0_vis_pgd_full_d12_w88_99_seed0_004412_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_salad_dressing_s0_vis_pgd_full_d12_w88_99_seed0_232037_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_salad_dressing_s0_vis_pgd_full_d12_w88_99_seed1_010802_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_salad_dressing_s0_vis_pgd_full_d12_w88_99_seed2_013146_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_salad_dressing_s0_vis_pgd_full_d14_w88_101_seed0_234019_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_salad_dressing_s0_vis_pgd_full_d16_w10_25_seed0_001231_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_salad_dressing_s0_vis_pgd_full_d16_w10_25_seed0_114210_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_salad_dressing_s0_vis_pgd_full_d16_w10_25_seed0_222252_trace.csv,,parse_failed
